NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	NBN	NBN	nibrin	45	0.506781280040741	0.0137541825	No	
row_1	PTTG1	PTTG1	PTTG1	pituitary tumor-transforming 1	334	0.36262625455856323	0.0050354907	No	
row_2	PRDX4	PRDX4	PRDX4	peroxiredoxin 4	650	0.2925824224948883	-0.00799457	No	
row_3	E2F8	E2F8	E2F8	E2F transcription factor 8	751	0.2754424810409546	-0.0060001854	No	
row_4	NUDT21	NUDT21	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	1287	0.2064293771982193	-0.03788639	No	
row_5	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1505	0.18631994724273682	-0.047374353	No	
row_6	SPC25	SPC25	null	null	1673	0.1718817800283432	-0.053719275	No	
row_7	EED	EED	EED	embryonic ectoderm development	1739	0.16723772883415222	-0.052819204	No	
row_8	UBE2T	UBE2T	UBE2T	ubiquitin-conjugating enzyme E2T (putative)	2113	0.13987724483013153	-0.07518597	No	
row_9	CDK1	CDK1	null	null	2153	0.13704749941825867	-0.07341326	No	
row_10	H2AFX	H2AFX	H2AFX	H2A histone family, member X	2277	0.12792856991291046	-0.0780417	No	
row_11	RACGAP1	RACGAP1	RACGAP1	Rac GTPase activating protein 1	2356	0.12300525605678558	-0.07957035	No	
row_12	MKI67	MKI67	MKI67	antigen identified by monoclonal antibody Ki-67	2498	0.11352826654911041	-0.085988455	No	
row_13	RNASEH2A	RNASEH2A	RNASEH2A	ribonuclease H2, subunit A	2693	0.1021089032292366	-0.09663565	No	
row_14	CKS2	CKS2	CKS2	CDC28 protein kinase regulatory subunit 2	2854	0.09213484078645706	-0.10515082	No	
row_15	RRM2	RRM2	RRM2	ribonucleotide reductase M2 polypeptide	2906	0.08907768875360489	-0.105859786	No	
row_16	ESPL1	ESPL1	ESPL1	extra spindle poles like 1 (S. cerevisiae)	3010	0.08307172358036041	-0.11054349	No	
row_17	TMPO	TMPO	TMPO	thymopoietin	3243	0.07111889123916626	-0.124988645	No	
row_18	RBBP7	RBBP7	RBBP7	retinoblastoma binding protein 7	3266	0.06920196115970612	-0.12426091	No	
row_19	NME1	NME1	NME1	non-metastatic cells 1, protein (NM23A) expressed in	3290	0.06802809238433838	-0.12364516	No	
row_20	RPA3	RPA3	RPA3	replication protein A3, 14kDa	3386	0.06308845430612564	-0.1284195	No	
row_21	ZW10	ZW10	ZW10	ZW10, kinetochore associated, homolog (Drosophila)	3448	0.059415463358163834	-0.13085021	No	
row_22	HMMR	HMMR	HMMR	hyaluronan-mediated motility receptor (RHAMM)	3490	0.05726207420229912	-0.13190205	No	
row_23	HN1	HN1	HN1	hematological and neurological expressed 1	3510	0.05631820112466812	-0.13138932	No	
row_24	TK1	TK1	TK1	thymidine kinase 1, soluble	3581	0.05336054414510727	-0.1346764	No	
row_25	AK2	AK2	AK2	adenylate kinase 2	3652	0.050184041261672974	-0.13807015	No	
row_26	RAD21	RAD21	RAD21	RAD21 homolog (S. pombe)	3709	0.04696480184793472	-0.1405562	No	
row_27	TUBB	TUBB	TUBB	tubulin, beta	3722	0.046248599886894226	-0.13987373	No	
row_28	NUP153	NUP153	NUP153	nucleoporin 153kDa	3938	0.03633103147149086	-0.15425368	No	
row_29	NOP56	NOP56	null	null	3977	0.03458977863192558	-0.15584926	No	
row_30	DDX39A	DDX39A	null	null	4133	0.028361788019537926	-0.16614333	No	
row_31	CDC25B	CDC25B	CDC25B	cell division cycle 25B	4217	0.025688400492072105	-0.17130299	No	
row_32	SNRPB	SNRPB	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	4449	0.015722304582595825	-0.18753597	No	
row_33	CENPE	CENPE	CENPE	centromere protein E, 312kDa	4467	0.015018658712506294	-0.18826509	No	
row_34	ATAD2	ATAD2	ATAD2	ATPase family, AAA domain containing 2	4500	0.013875060714781284	-0.190121	No	
row_35	CCNB2	CCNB2	CCNB2	cyclin B2	4624	0.00994192622601986	-0.1987118	No	
row_36	PA2G4	PA2G4	PA2G4	proliferation-associated 2G4, 38kDa	4684	0.007070502731949091	-0.20275529	No	
row_37	PPP1R8	PPP1R8	PPP1R8	protein phosphatase 1, regulatory (inhibitor) subunit 8	4745	0.00431362958624959	-0.20696393	No	
row_38	KIF18B	KIF18B	null	null	4777	0.0032038406934589148	-0.20910564	No	
row_39	GINS4	GINS4	GINS4	GINS complex subunit 4 (Sld5 homolog)	4901	-0.002732891356572509	-0.21793856	No	
row_40	ASF1B	ASF1B	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	4943	-0.004544001538306475	-0.22076084	No	
row_41	DCTPP1	DCTPP1	null	null	4985	-0.006028711795806885	-0.22353327	No	
row_42	NAP1L1	NAP1L1	NAP1L1	nucleosome assembly protein 1-like 1	4993	-0.0063545312732458115	-0.22382778	No	
row_43	DEPDC1	DEPDC1	DEPDC1	DEP domain containing 1	5189	-0.01391435693949461	-0.23750938	No	
row_44	KIF4A	KIF4A	KIF4A	kinesin family member 4A	5273	-0.017121177166700363	-0.24295674	No	
row_45	DCK	DCK	DCK	deoxycytidine kinase	5601	-0.028815094381570816	-0.26571566	No	
row_46	UBE2S	UBE2S	UBE2S	ubiquitin-conjugating enzyme E2S	5638	-0.03025173395872116	-0.2673118	No	
row_47	CDKN2C	CDKN2C	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	5641	-0.030343545600771904	-0.2664379	No	
row_48	TOP2A	TOP2A	TOP2A	topoisomerase (DNA) II alpha 170kDa	5666	-0.031370051205158234	-0.2671258	No	
row_49	PPM1D	PPM1D	PPM1D	protein phosphatase 1D magnesium-dependent, delta isoform	5668	-0.03139396011829376	-0.26614404	No	
row_50	MCM4	MCM4	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	5775	-0.03591621667146683	-0.27262905	No	
row_51	CDK4	CDK4	CDK4	cyclin-dependent kinase 4	5843	-0.03933247551321983	-0.27616954	No	
row_52	MXD3	MXD3	MXD3	MAX dimerization protein 3	6010	-0.045702457427978516	-0.28667942	No	
row_53	GINS1	GINS1	GINS1	GINS complex subunit 1 (Psf1 homolog)	6052	-0.04686175659298897	-0.28808054	No	
row_54	DLGAP5	DLGAP5	null	null	6059	-0.04711727797985077	-0.28693354	No	
