NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	STAT1	STAT1	signal transducer and activator of transcription 1, 91kDa	75	0.48062998056411743	0.029972022	Yes	
row_1	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	87	0.46921247243881226	0.063704975	Yes	
row_2	CCR1	CCR1	CCR1	chemokine (C-C motif) receptor 1	102	0.4562230408191681	0.096266516	Yes	
row_3	CD38	CD38	CD38	CD38 molecule	121	0.4388229548931122	0.12726022	Yes	
row_4	IRF1	IRF1	IRF1	interferon regulatory factor 1	123	0.43793749809265137	0.15941092	Yes	
row_5	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	134	0.4332081079483032	0.19056664	Yes	
row_6	PIM1	PIM1	PIM1	pim-1 oncogene	182	0.4140949845314026	0.21765609	Yes	
row_7	CD44	CD44	CD44	CD44 molecule (Indian blood group)	261	0.38684409856796265	0.24051185	Yes	
row_8	TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	306	0.36926695704460144	0.26451862	Yes	
row_9	CXCL9	CXCL9	CXCL9	chemokine (C-X-C motif) ligand 9	416	0.34282657504081726	0.28190705	Yes	
row_10	IL10RB	IL10RB	IL10RB	interleukin 10 receptor, beta	464	0.3324761688709259	0.30299112	Yes	
row_11	STAT3	STAT3	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	513	0.3202936351299286	0.32310697	Yes	
row_12	IL15RA	IL15RA	IL15RA	interleukin 15 receptor, alpha	557	0.3108226954936981	0.3428854	Yes	
row_13	CD14	CD14	CD14	CD14 molecule	624	0.2986260652542114	0.36011294	Yes	
row_14	CSF3R	CSF3R	CSF3R	colony stimulating factor 3 receptor (granulocyte)	630	0.2964964210987091	0.38156912	Yes	
row_15	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	660	0.2914324998855591	0.40092734	Yes	
