NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TALDO1	TALDO1	TALDO1	transaldolase 1	139	0.4296984374523163	0.029037938	No	
row_1	AGFG1	AGFG1	null	null	518	0.3193267583847046	0.030870035	No	
row_2	TLE4	TLE4	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	561	0.3101651668548584	0.05602352	No	
row_3	SLC2A5	SLC2A5	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	719	0.2793671786785126	0.07011275	No	
row_4	MAP7	MAP7	MAP7	microtubule-associated protein 7	1133	0.2247626781463623	0.06083948	No	
row_5	IDE	IDE	IDE	insulin-degrading enzyme	1170	0.22088775038719177	0.0783151	No	
row_6	GMCL1	GMCL1	GMCL1	germ cell-less homolog 1 (Drosophila)	1490	0.18817099928855896	0.07247541	No	
row_7	ARL4A	ARL4A	ARL4A	ADP-ribosylation factor-like 4A	1706	0.16961073875427246	0.07242597	No	
row_8	CDK1	CDK1	null	null	2153	0.13704749941825867	0.0528132	No	
row_9	STAM2	STAM2	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	2160	0.13651032745838165	0.064781286	No	
row_10	CSNK2A2	CSNK2A2	CSNK2A2	casein kinase 2, alpha prime polypeptide	2271	0.12836070358753204	0.068533026	No	
row_11	CLPB	CLPB	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	2733	0.09950955957174301	0.04443236	No	
row_12	PCSK4	PCSK4	PCSK4	proprotein convertase subtilisin/kexin type 4	2806	0.09463904052972794	0.04785278	No	
row_13	BRAF	BRAF	BRAF	v-raf murine sarcoma viral oncogene homolog B1	2883	0.09034941345453262	0.050596025	No	
row_14	NEK2	NEK2	NEK2	NIMA (never in mitosis gene a)-related kinase 2	2954	0.08647571504116058	0.05341873	No	
row_15	BUB1	BUB1	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	3219	0.07225022464990616	0.041003518	No	
row_16	MLLT10	MLLT10	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	3344	0.06476648151874542	0.037972525	No	
row_17	PSMG1	PSMG1	null	null	3410	0.06193120405077934	0.038925253	No	
row_18	GSTM3	GSTM3	GSTM3	glutathione S-transferase M3 (brain)	3453	0.059201791882514954	0.04128343	No	
row_19	CCNB2	CCNB2	CCNB2	cyclin B2	4624	0.00994192622601986	-0.041919637	No	
row_20	STRBP	STRBP	STRBP	spermatid perinuclear RNA binding protein	5156	-0.012666086666285992	-0.07894039	No	
row_21	RPL39L	RPL39L	RPL39L	ribosomal protein L39-like	5487	-0.024653684347867966	-0.100423306	No	
row_22	SHE	SHE	SHE	Src homology 2 domain containing E	5725	-0.03305921331048012	-0.11445737	No	
row_23	KIF2C	KIF2C	KIF2C	kinesin family member 2C	6117	-0.04913428798317909	-0.1381017	No	
row_24	SLC12A2	SLC12A2	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	6482	-0.06345260143280029	-0.15850456	No	
row_25	COIL	COIL	COIL	coilin	6878	-0.07756449282169342	-0.17985408	No	
row_26	RAD17	RAD17	RAD17	RAD17 homolog (S. pombe)	7221	-0.0895715057849884	-0.19630305	Yes	
row_27	CDKN3	CDKN3	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	7238	-0.08990974724292755	-0.18928662	Yes	
row_28	NF2	NF2	NF2	neurofibromin 2 (bilateral acoustic neuroma)	7295	-0.09171151369810104	-0.18498194	Yes	
row_29	HSPA2	HSPA2	HSPA2	heat shock 70kDa protein 2	7300	-0.09179306775331497	-0.1769318	Yes	
row_30	NEFH	NEFH	NEFH	neurofilament, heavy polypeptide 200kDa	7313	-0.09246724843978882	-0.16939552	Yes	
row_31	NPHP1	NPHP1	NPHP1	nephronophthisis 1 (juvenile)	7398	-0.09561444818973541	-0.16674912	Yes	
