NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
IFI27	IFI27	IFI27	interferon, alpha-inducible protein 27	0.7011177	
SUCNR1	SUCNR1	SUCNR1	succinate receptor 1	0.62279207	
SLC39A4	SLC39A4	SLC39A4	solute carrier family 39 (zinc transporter), member 4	0.61685896	
BATF2	BATF2	BATF2	basic leucine zipper transcription factor, ATF-like 2	0.613773	
ZNF552	ZNF552	ZNF552	zinc finger protein 552	0.6035862	
EIF4E3	EIF4E3	EIF4E3	eukaryotic translation initiation factor 4E member 3	0.5956519	
NXT2	NXT2	NXT2	nuclear transport factor 2-like export factor 2	0.58680534	
RP11-486O12.2	RP11-486O12.2	null	null	0.5866923	
IGSF6	IGSF6	IGSF6	immunoglobulin superfamily, member 6	0.57860386	
CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	0.5783093	
MAF	MAF	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.5777199	
GBP1	GBP1	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	0.574934	
PECR	PECR	PECR	peroxisomal trans-2-enoyl-CoA reductase	0.5748481	
CXCR6	CXCR6	CXCR6	chemokine (C-X-C motif) receptor 6	0.5739176	
PPAP2C	PPAP2C	PPAP2C	phosphatidic acid phosphatase type 2C	0.567038	
PLA2G7	PLA2G7	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	0.56464	
RBMXL1	RBMXL1	RBMXL1	RNA binding motif protein, X-linked-like 1	0.5599716	
RXRA	RXRA	RXRA	retinoid X receptor, alpha	0.5598196	
PPP1R2P3	PPP1R2P3	PPP1R2P3	protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 3	0.55797315	
ABHD3	ABHD3	ABHD3	abhydrolase domain containing 3	0.5545632	
AP1S2	AP1S2	AP1S2	adaptor-related protein complex 1, sigma 2 subunit	0.5508096	
ATP6V1A	ATP6V1A	ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	0.5506757	
PRF1	PRF1	PRF1	perforin 1 (pore forming protein)	0.54366535	
RARRES3	RARRES3	RARRES3	retinoic acid receptor responder (tazarotene induced) 3	0.5407715	
GALM	GALM	GALM	galactose mutarotase (aldose 1-epimerase)	0.5398976	
RAB11FIP1	RAB11FIP1	RAB11FIP1	RAB11 family interacting protein 1 (class I)	0.53930587	
ERBB2	ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	0.53276813	
CTSS	CTSS	CTSS	cathepsin S	0.5299923	
ALDH3B1	ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	0.52923346	
LENG9	LENG9	LENG9	leukocyte receptor cluster (LRC) member 9	0.52658266	
AGPAT2	AGPAT2	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	0.52585095	
MAP1LC3B2	MAP1LC3B2	null	null	0.5254384	
ZNF701	ZNF701	ZNF701	zinc finger protein 701	0.5218762	
UBC	UBC	UBC	ubiquitin C	0.52154875	
SLAMF7	SLAMF7	SLAMF7	SLAM family member 7	0.5214819	
TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	0.5202483	
ASB9	ASB9	ASB9	ankyrin repeat and SOCS box-containing 9	0.5200794	
MGAT1	MGAT1	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.5185146	
NCOA4	NCOA4	NCOA4	nuclear receptor coactivator 4	0.5157116	
ANXA9	ANXA9	ANXA9	annexin A9	0.5155746	
ZNF440	ZNF440	ZNF440	zinc finger protein 440	0.51483184	
ADI1	ADI1	ADI1	acireductone dioxygenase 1	0.51405424	
CCL4	CCL4	CCL4	chemokine (C-C motif) ligand 4	0.5119658	
RP1-90J20.12	RP1-90J20.12	null	null	0.51007193	
CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	0.5079469	
NBN	NBN	NBN	nibrin	0.5067813	
ARHGEF34P	ARHGEF34P	null	null	0.50648874	
FZD5	FZD5	FZD5	frizzled homolog 5 (Drosophila)	0.5057638	
FGL2	FGL2	FGL2	fibrinogen-like 2	0.50362337	
CLDN23	CLDN23	CLDN23	claudin 23	0.5031898	
NINJ1	NINJ1	NINJ1	ninjurin 1	0.50039995	
TMBIM1	TMBIM1	TMBIM1	transmembrane BAX inhibitor motif containing 1	0.5003468	
DEGS1	DEGS1	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	0.49865016	
GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	0.49774456	
VCPIP1	VCPIP1	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	0.49437317	
SPINT1	SPINT1	SPINT1	serine peptidase inhibitor, Kunitz type 1	0.49306336	
IL18BP	IL18BP	IL18BP	interleukin 18 binding protein	0.4926595	
EPS8L1	EPS8L1	EPS8L1	EPS8-like 1	0.49156526	
GAMT	GAMT	GAMT	guanidinoacetate N-methyltransferase	0.49142507	
GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	0.49081317	
NEK6	NEK6	NEK6	NIMA (never in mitosis gene a)-related kinase 6	0.49020532	
CD8A	CD8A	CD8A	CD8a molecule	0.490102	
ITGB4	ITGB4	ITGB4	integrin, beta 4	0.48995116	
CREG1	CREG1	CREG1	cellular repressor of E1A-stimulated genes 1	0.48985732	
KALRN	KALRN	KALRN	kalirin, RhoGEF kinase	0.48923987	
EOMES	EOMES	EOMES	eomesodermin homolog (Xenopus laevis)	0.48639914	
FCGR1B	FCGR1B	FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	0.48639047	
GBP5	GBP5	GBP5	guanylate binding protein 5	0.48421016	
SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	0.4838012	
