NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA9	ANXA9	ANXA9	annexin A9	101	0.5588522553443909	0.01242746	Yes	
row_1	ALDH3B1	ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	159	0.5198503732681274	0.026657121	Yes	
row_2	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	172	0.515080451965332	0.043969408	Yes	
row_3	PLXNB1	PLXNB1	PLXNB1	plexin B1	212	0.49080660939216614	0.05847439	Yes	
row_4	RAPGEFL1	RAPGEFL1	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	216	0.4896177649497986	0.075538196	Yes	
row_5	COX6C	COX6C	COX6C	cytochrome c oxidase subunit VIc	292	0.4578912854194641	0.08628069	Yes	
row_6	KCNK5	KCNK5	KCNK5	potassium channel, subfamily K, member 5	315	0.4485142230987549	0.100521155	Yes	
row_7	EMP2	EMP2	EMP2	epithelial membrane protein 2	316	0.4476202130317688	0.116319425	Yes	
row_8	SERPINA3	SERPINA3	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	350	0.43712854385375977	0.12936337	Yes	
row_9	S100A9	S100A9	S100A9	S100 calcium binding protein A9	351	0.43706750869750977	0.1447892	Yes	
row_10	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	423	0.4144276976585388	0.15428667	Yes	
row_11	CA2	CA2	CA2	carbonic anhydrase II	499	0.3959590196609497	0.16284332	Yes	
row_12	LARGE	LARGE	LARGE	like-glycosyltransferase	554	0.38249364495277405	0.17244186	Yes	
row_13	IL17RB	IL17RB	IL17RB	interleukin 17 receptor B	611	0.3719213604927063	0.18152277	Yes	
row_14	GLA	GLA	GLA	galactosidase, alpha	654	0.3630698025226593	0.19130269	Yes	
row_15	CHPT1	CHPT1	CHPT1	choline phosphotransferase 1	686	0.3573584258556366	0.2016757	Yes	
row_16	CD44	CD44	CD44	CD44 molecule (Indian blood group)	696	0.35456544160842896	0.21353951	Yes	
row_17	ITPK1	ITPK1	ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	727	0.3494919538497925	0.22370714	Yes	
row_18	TOP2A	TOP2A	TOP2A	topoisomerase (DNA) II alpha 170kDa	785	0.3401084542274475	0.23159301	Yes	
row_19	TSTA3	TSTA3	TSTA3	tissue specific transplantation antigen P35B	872	0.3263113796710968	0.23689684	Yes	
row_20	PERP	PERP	PERP	PERP, TP53 apoptosis effector	903	0.32054442167282104	0.2460428	Yes	
row_21	SORD	SORD	SORD	sorbitol dehydrogenase	906	0.3199900984764099	0.25719202	Yes	
row_22	ABHD2	ABHD2	ABHD2	abhydrolase domain containing 2	933	0.31625896692276	0.2664757	Yes	
row_23	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	981	0.3087084889411926	0.2739758	Yes	
row_24	AFF1	AFF1	AFF1	AF4/FMR2 family, member 1	1041	0.3009002208709717	0.28033334	Yes	
