NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	23	0.6981833577156067	0.019795872	Yes	
row_1	RTP4	RTP4	RTP4	receptor transporter protein 4	26	0.6937313675880432	0.040972043	Yes	
row_2	CXCR6	CXCR6	CXCR6	chemokine (C-X-C motif) receptor 6	85	0.5805796384811401	0.054625027	Yes	
row_3	CXCL9	CXCL9	CXCL9	chemokine (C-X-C motif) ligand 9	107	0.5542579889297485	0.07014208	Yes	
row_4	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	137	0.5343700051307678	0.084469974	Yes	
row_5	TLR3	TLR3	TLR3	toll-like receptor 3	173	0.512104868888855	0.09768011	Yes	
row_6	IRF1	IRF1	IRF1	interferon regulatory factor 1	227	0.4854297935962677	0.10877004	Yes	
row_7	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	231	0.4846072196960449	0.1234469	Yes	
row_8	TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	245	0.4784848988056183	0.13721314	Yes	
row_9	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	250	0.4743506610393524	0.15150253	Yes	
row_10	CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	253	0.47305408120155334	0.16589656	Yes	
row_11	PTAFR	PTAFR	PTAFR	platelet-activating factor receptor	291	0.4582631587982178	0.17730749	Yes	
row_12	GNA15	GNA15	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	307	0.4511783719062805	0.19009003	Yes	
row_13	TNFSF15	TNFSF15	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	331	0.443892240524292	0.2020707	Yes	
row_14	ITGB3	ITGB3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	421	0.41524264216423035	0.20840277	Yes	
row_15	FZD5	FZD5	FZD5	frizzled homolog 5 (Drosophila)	437	0.41136085987091064	0.21996158	Yes	
row_16	CSF1	CSF1	CSF1	colony stimulating factor 1 (macrophage)	502	0.3950130045413971	0.22747803	Yes	
row_17	TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	518	0.3917463421821594	0.23843403	Yes	
row_18	NMI	NMI	NMI	N-myc (and STAT) interactor	529	0.38973015546798706	0.2496893	Yes	
row_19	AHR	AHR	AHR	aryl hydrocarbon receptor	556	0.38247114419937134	0.25956556	Yes	
