NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SULT1A1	SULT1A1	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	18	0.708915114402771	0.026114147	Yes	
row_1	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	21	0.702817440032959	0.053147815	Yes	
row_2	SQSTM1	SQSTM1	SQSTM1	sequestosome 1	116	0.5465714931488037	0.067496344	Yes	
row_3	GGH	GGH	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	122	0.5418727993965149	0.08808963	Yes	
row_4	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	137	0.5343700051307678	0.10774291	Yes	
row_5	CREG1	CREG1	CREG1	cellular repressor of E1A-stimulated genes 1	139	0.5321561098098755	0.12824929	Yes	
row_6	MGAT1	MGAT1	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	165	0.5164463520050049	0.14641517	Yes	
row_7	GRINA	GRINA	GRINA	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	183	0.5087038278579712	0.16485932	Yes	
row_8	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	198	0.4993257522583008	0.18315744	Yes	
row_9	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	205	0.49479129910469055	0.20185786	Yes	
row_10	IRF1	IRF1	IRF1	interferon regulatory factor 1	227	0.4854297935962677	0.21911317	Yes	
row_11	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	231	0.4846072196960449	0.2376364	Yes	
row_12	HLA-F	HLA-F	HLA-F	major histocompatibility complex, class I, F	373	0.43020957708358765	0.24409145	Yes	
row_13	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	439	0.4110082685947418	0.25529173	Yes	
row_14	ATP6V1C1	ATP6V1C1	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	461	0.40478527545928955	0.2694285	Yes	
row_15	CA2	CA2	CA2	carbonic anhydrase II	499	0.3959590196609497	0.28206864	Yes	
row_16	CLCN2	CLCN2	CLCN2	chloride channel 2	642	0.3652994930744171	0.2859414	Yes	
row_17	CLTB	CLTB	CLTB	clathrin, light chain (Lcb)	715	0.3510076403617859	0.294316	Yes	
row_18	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	843	0.3310222625732422	0.29794633	Yes	
row_19	DGAT1	DGAT1	DGAT1	diacylglycerol O-acyltransferase homolog 1 (mouse)	863	0.32796818017959595	0.309257	Yes	
row_20	CDC5L	CDC5L	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	864	0.3278387784957886	0.32193458	Yes	
row_21	SLC6A8	SLC6A8	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	878	0.32545042037963867	0.33358112	Yes	
row_22	AQP3	AQP3	AQP3	aquaporin 3 (Gill blood group)	949	0.313985139131546	0.34066847	Yes	
row_23	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	1354	0.2611360251903534	0.32159486	No	
row_24	PLCL1	PLCL1	PLCL1	phospholipase C-like 1	1417	0.2543920576572418	0.32695538	No	
row_25	IGFBP2	IGFBP2	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	1606	0.2334481179714203	0.32240787	No	
row_26	TMBIM6	TMBIM6	null	null	1837	0.2104235291481018	0.3139373	No	
row_27	ACAA1	ACAA1	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	1939	0.201380655169487	0.3144318	No	
row_28	PPP1R2	PPP1R2	PPP1R2	protein phosphatase 1, regulatory (inhibitor) subunit 2	1975	0.19927166402339935	0.3196104	No	
row_29	BID	BID	BID	BH3 interacting domain death agonist	2049	0.19292092323303223	0.32179955	No	
row_30	CCNE1	CCNE1	CCNE1	cyclin E1	2076	0.19062469899654388	0.32729363	No	
row_31	CHKA	CHKA	CHKA	choline kinase alpha	2116	0.185745507478714	0.33166036	No	
row_32	AP2S1	AP2S1	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	2378	0.16594266891479492	0.31923127	No	
row_33	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	2415	0.16351033747196198	0.32295477	No	
row_34	NPTXR	NPTXR	NPTXR	neuronal pentraxin receptor	2460	0.1601233184337616	0.32596967	No	
row_35	KLHDC3	KLHDC3	KLHDC3	kelch domain containing 3	2744	0.14177435636520386	0.31101742	No	
row_36	PPIF	PPIF	PPIF	peptidylprolyl isomerase F (cyclophilin F)	2775	0.13976120948791504	0.31425577	No	
row_37	EIF2S3	EIF2S3	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	3068	0.12080276012420654	0.29784268	No	
row_38	RPN1	RPN1	RPN1	ribophorin I	3116	0.11814195662736893	0.29901752	No	
row_39	RXRB	RXRB	RXRB	retinoid X receptor, beta	3120	0.11773893237113953	0.30335388	No	
row_40	DNAJB1	DNAJB1	DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	3264	0.10983917862176895	0.29727572	No	
row_41	PPT1	PPT1	PPT1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	3286	0.10874375700950623	0.29996452	No	
row_42	CHRNA5	CHRNA5	CHRNA5	cholinergic receptor, nicotinic, alpha 5	3402	0.1031130701303482	0.29564807	No	
row_43	ATP6V1F	ATP6V1F	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	3427	0.101678766310215	0.29784703	No	
row_44	SPR	SPR	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	3462	0.09984217584133148	0.2992529	No	
row_45	SEPW1	SEPW1	SEPW1	selenoprotein W, 1	3508	0.0974532887339592	0.29977208	No	
row_46	CXCL2	CXCL2	CXCL2	chemokine (C-X-C motif) ligand 2	3544	0.09524936974048615	0.30092815	No	
row_47	H2AFX	H2AFX	H2AFX	H2A histone family, member X	3636	0.08859148621559143	0.29778314	No	
row_48	STIP1	STIP1	STIP1	stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	3687	0.08531168103218079	0.29747176	No	
row_49	ASNS	ASNS	ASNS	asparagine synthetase	3838	0.07651035487651825	0.28959933	No	
row_50	HMOX1	HMOX1	HMOX1	heme oxygenase (decycling) 1	3855	0.07564759999513626	0.29136932	No	
row_51	TUBA4A	TUBA4A	null	null	3938	0.07090431451797485	0.28819022	No	
row_52	CYB5R1	CYB5R1	CYB5R1	cytochrome b5 reductase 1	4048	0.06522997468709946	0.28284207	No	
row_53	MAOA	MAOA	MAOA	monoamine oxidase A	4468	0.042445726692676544	0.25422853	No	
row_54	PSMC3	PSMC3	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	4522	0.03971321880817413	0.25193727	No	
row_55	WIZ	WIZ	WIZ	-	4687	0.031280986964702606	0.2413049	No	
row_56	TST	TST	TST	thiosulfate sulfurtransferase (rhodanese)	4754	0.028131617233157158	0.23762707	No	
row_57	RAB27A	RAB27A	RAB27A	RAB27A, member RAS oncogene family	4899	0.02166339010000229	0.22806694	No	
row_58	BSG	BSG	BSG	basigin (Ok blood group)	5001	0.016813836991786957	0.22142418	No	
row_59	ARRB2	ARRB2	ARRB2	arrestin, beta 2	5011	0.016315225511789322	0.22140524	No	
row_60	BCL2L11	BCL2L11	BCL2L11	BCL2-like 11 (apoptosis facilitator)	5042	0.014993450604379177	0.21981882	No	
row_61	PPAT	PPAT	PPAT	phosphoribosyl pyrophosphate amidotransferase	5260	0.005416348576545715	0.20435926	No	
row_62	NFKBIA	NFKBIA	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	5494	-0.004703103099018335	0.18771681	No	
row_63	DNAJA1	DNAJA1	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	5610	-0.010277899913489819	0.1798104	No	
row_64	BTG3	BTG3	BTG3	BTG family, member 3	5650	-0.012037592008709908	0.17745982	No	
row_65	MRPL23	MRPL23	MRPL23	mitochondrial ribosomal protein L23	5808	-0.019260957837104797	0.16686808	No	
row_66	MSX1	MSX1	MSX1	msh homeobox homolog 1 (Drosophila)	5858	-0.021171998232603073	0.16414864	No	
row_67	SLC25A4	SLC25A4	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	5918	-0.023783717304468155	0.16080813	No	
row_68	MARK2	MARK2	MARK2	MAP/microtubule affinity-regulating kinase 2	6134	-0.0337153784930706	0.14658733	No	
row_69	PRKCD	PRKCD	PRKCD	protein kinase C, delta	6237	-0.0385705903172493	0.1407137	No	
row_70	AMD1	AMD1	AMD1	adenosylmethionine decarboxylase 1	6730	-0.058968935161828995	0.10746801	No	
row_71	FEN1	FEN1	FEN1	flap structure-specific endonuclease 1	6850	-0.06403780728578568	0.101351686	No	
row_72	HSPA2	HSPA2	HSPA2	heat shock 70kDa protein 2	6867	-0.06483664363622665	0.102703616	No	
row_73	NUPL1	NUPL1	NUPL1	nucleoporin like 1	6891	-0.06572742760181427	0.103584535	No	
row_74	RFC4	RFC4	RFC4	replication factor C (activator 1) 4, 37kDa	6987	-0.06960749626159668	0.09941657	No	
row_75	ENO2	ENO2	ENO2	enolase 2 (gamma, neuronal)	6995	-0.06987665593624115	0.10161326	No	
row_76	POLE3	POLE3	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	7018	-0.07096223533153534	0.10276882	No	
row_77	YKT6	YKT6	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)	7089	-0.07378829270601273	0.10056771	No	
row_78	IL6ST	IL6ST	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	7293	-0.08101706206798553	0.08904256	No	
row_79	FURIN	FURIN	FURIN	furin (paired basic amino acid cleaving enzyme)	7367	-0.08408815413713455	0.087023124	No	
row_80	CEBPG	CEBPG	CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	7606	-0.09451784938573837	0.07349279	No	
row_81	POLR2H	POLR2H	POLR2H	polymerase (RNA) II (DNA directed) polypeptide H	7779	-0.1014944538474083	0.06499793	No	
row_82	PRKACA	PRKACA	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha	7870	-0.10531483590602875	0.06257181	No	
row_83	BMP2	BMP2	BMP2	bone morphogenetic protein 2	7983	-0.11048094183206558	0.058756903	No	
row_84	TGFBRAP1	TGFBRAP1	TGFBRAP1	transforming growth factor, beta receptor associated protein 1	8066	-0.11397723108530045	0.057243418	No	
row_85	CYB5B	CYB5B	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	8179	-0.11798635870218277	0.053718746	No	
row_86	MAPK8IP2	MAPK8IP2	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	8303	-0.1223657950758934	0.049569145	No	
row_87	FKBP4	FKBP4	FKBP4	FK506 binding protein 4, 59kDa	8392	-0.12622876465320587	0.048096184	No	
row_88	ATF3	ATF3	ATF3	activating transcription factor 3	8398	-0.12648533284664154	0.05262636	No	
row_89	PDLIM3	PDLIM3	PDLIM3	PDZ and LIM domain 3	8421	-0.12747888267040253	0.055967428	No	
row_90	HSPA13	HSPA13	null	null	8523	-0.13201448321342468	0.05377951	No	
row_91	EPHX1	EPHX1	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	8654	-0.1372259259223938	0.0496991	No	
row_92	HNRNPU	HNRNPU	null	null	8719	-0.13961733877658844	0.050476857	No	
row_93	PDAP1	PDAP1	PDAP1	PDGFA associated protein 1	8786	-0.1425521969795227	0.05122369	No	
row_94	CNP	CNP	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	8813	-0.14354991912841797	0.0548974	No	
row_95	CDC34	CDC34	CDC34	cell division cycle 34	9030	-0.1528438776731491	0.045211107	No	
row_96	BTG2	BTG2	BTG2	BTG family, member 2	9076	-0.1549779772758484	0.0479548	No	
row_97	DDX21	DDX21	DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	9483	-0.17236098647117615	0.025303837	No	
row_98	CDKN1C	CDKN1C	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	9662	-0.1802540272474289	0.01942138	No	
row_99	CDK2	CDK2	CDK2	cyclin-dependent kinase 2	9677	-0.1809072494506836	0.025406193	No	
row_100	GLS	GLS	GLS	glutaminase	9726	-0.18347971141338348	0.029035434	No	
row_101	PARP2	PARP2	PARP2	poly (ADP-ribose) polymerase family, member 2	9946	-0.19352591037750244	0.0207057	No	
row_102	EIF5	EIF5	EIF5	eukaryotic translation initiation factor 5	10149	-0.20261818170547485	0.013955092	No	
row_103	SIGMAR1	SIGMAR1	null	null	10255	-0.2074042707681656	0.014393679	No	
row_104	GRPEL1	GRPEL1	GRPEL1	GrpE-like 1, mitochondrial (E. coli)	10256	-0.20741508901119232	0.022414459	No	
row_105	TYRO3	TYRO3	TYRO3	TYRO3 protein tyrosine kinase	10277	-0.20818251371383667	0.029020768	No	
row_106	POLG2	POLG2	POLG2	polymerase (DNA directed), gamma 2, accessory subunit	10377	-0.21368691325187683	0.03013555	No	
row_107	DLG4	DLG4	DLG4	discs, large homolog 4 (Drosophila)	10567	-0.22118154168128967	0.025041487	No	
row_108	APOM	APOM	APOM	apolipoprotein M	10812	-0.23483195900917053	0.016503882	No	
row_109	TARS	TARS	TARS	threonyl-tRNA synthetase	10841	-0.23650063574314117	0.023627598	No	
row_110	STARD3	STARD3	STARD3	START domain containing 3	10903	-0.23940391838550568	0.028480742	No	
row_111	NXF1	NXF1	NXF1	nuclear RNA export factor 1	11027	-0.24614673852920532	0.029117774	No	
row_112	FOS	FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	11211	-0.2559553384780884	0.025801664	No	
row_113	UROD	UROD	UROD	uroporphyrinogen decarboxylase	11296	-0.2608826756477356	0.029824628	No	
row_114	ALAS1	ALAS1	ALAS1	aminolevulinate, delta-, synthase 1	11516	-0.27217569947242737	0.024536295	No	
row_115	STK25	STK25	STK25	serine/threonine kinase 25 (STE20 homolog, yeast)	11691	-0.2823786735534668	0.022891847	No	
