NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTCH1	PTCH1	PTCH1	patched homolog 1 (Drosophila)	588	0.37461891770362854	0.018786151	No	
row_1	JAG2	JAG2	JAG2	jagged 2	724	0.35015299916267395	0.06608703	No	
row_2	HDAC11	HDAC11	HDAC11	histone deacetylase 11	1269	0.2720210552215576	0.071332395	No	
row_3	PPARD	PPARD	PPARD	peroxisome proliferative activated receptor, delta	1652	0.22813352942466736	0.081056565	No	
row_4	MAML1	MAML1	MAML1	mastermind-like 1 (Drosophila)	2773	0.1398523896932602	0.023472354	No	
row_5	GNAI1	GNAI1	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	3128	0.11733069270849228	0.017172653	No	
row_6	JAG1	JAG1	JAG1	jagged 1 (Alagille syndrome)	4175	0.05784342810511589	-0.04844955	No	
row_7	AXIN1	AXIN1	AXIN1	axin 1	4393	0.046627555042505264	-0.05642792	No	
row_8	HEY1	HEY1	HEY1	hairy/enhancer-of-split related with YRPW motif 1	4429	0.04425746202468872	-0.05173605	No	
row_9	KAT2A	KAT2A	null	null	4469	0.04243497923016548	-0.04762772	No	
row_10	CTNNB1	CTNNB1	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	4473	0.04196202754974365	-0.041013867	No	
row_11	RBPJ	RBPJ	null	null	5355	0.0010880273766815662	-0.10403622	No	
row_12	NOTCH1	NOTCH1	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	5445	-0.0022942237555980682	-0.110047355	No	
row_13	CUL1	CUL1	CUL1	cullin 1	5616	-0.010532972402870655	-0.1205283	No	
row_14	CCND2	CCND2	CCND2	cyclin D2	5878	-0.02211572229862213	-0.1356522	No	
row_15	FZD8	FZD8	FZD8	frizzled homolog 8 (Drosophila)	6087	-0.031480688601732254	-0.14545	No	
row_16	DVL2	DVL2	DVL2	dishevelled, dsh homolog 2 (Drosophila)	6270	-0.03976412117481232	-0.1520346	No	
row_17	MYC	MYC	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	7025	-0.0712638720870018	-0.19452578	No	
row_18	SKP2	SKP2	SKP2	S-phase kinase-associated protein 2 (p45)	7219	-0.07859771698713303	-0.19557954	No	
row_19	AXIN2	AXIN2	AXIN2	axin 2 (conductin, axil)	7318	-0.08183823525905609	-0.189291	No	
row_20	HEY2	HEY2	HEY2	hairy/enhancer-of-split related with YRPW motif 2	9013	-0.15221454203128815	-0.28603983	No	
row_21	FRAT1	FRAT1	FRAT1	frequently rearranged in advanced T-cell lymphomas	9450	-0.17126768827438354	-0.28944397	Yes	
row_22	PSEN2	PSEN2	PSEN2	presenilin 2 (Alzheimer disease 4)	9588	-0.1767590045928955	-0.27050534	Yes	
row_23	NCSTN	NCSTN	NCSTN	nicastrin	9593	-0.17708970606327057	-0.24197203	Yes	
row_24	NUMB	NUMB	NUMB	numb homolog (Drosophila)	9787	-0.18609470129013062	-0.22553132	Yes	
row_25	LEF1	LEF1	LEF1	lymphoid enhancer-binding factor 1	10147	-0.20256976783275604	-0.21831757	Yes	
row_26	HDAC5	HDAC5	HDAC5	histone deacetylase 5	10644	-0.226242795586586	-0.217079	Yes	
row_27	NOTCH4	NOTCH4	NOTCH4	Notch homolog 4 (Drosophila)	10746	-0.23164565861225128	-0.18662544	Yes	
row_28	ADAM17	ADAM17	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	10871	-0.23802126944065094	-0.1567842	Yes	
row_29	FZD1	FZD1	FZD1	frizzled homolog 1 (Drosophila)	11565	-0.275086909532547	-0.16172856	Yes	
row_30	HDAC2	HDAC2	HDAC2	histone deacetylase 2	13084	-0.3832133114337921	-0.20825821	Yes	
row_31	DLL1	DLL1	DLL1	delta-like 1 (Drosophila)	13169	-0.3950917720794678	-0.14998528	Yes	
row_32	CSNK1E	CSNK1E	CSNK1E	casein kinase 1, epsilon	13203	-0.39939790964126587	-0.08735301	Yes	
row_33	TCF7	TCF7	TCF7	transcription factor 7 (T-cell specific, HMG-box)	13433	-0.43131762742996216	-0.03358627	Yes	
row_34	NCOR2	NCOR2	NCOR2	nuclear receptor co-repressor 2	13503	-0.44440194964408875	0.033787623	Yes	
