NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FTL	FTL	FTL	ferritin, light polypeptide	453	0.7646912336349487	0.023749739	Yes	
row_1	GSR	GSR	GSR	glutathione reductase	756	0.6531417965888977	0.050130635	Yes	
row_2	ATOX1	ATOX1	ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	793	0.6384831070899963	0.09452703	Yes	
row_3	PRDX1	PRDX1	PRDX1	peroxiredoxin 1	943	0.5952083468437195	0.1276278	Yes	
row_4	LSP1	LSP1	LSP1	lymphocyte-specific protein 1	1086	0.5583931803703308	0.15852213	Yes	
row_5	GCLC	GCLC	GCLC	glutamate-cysteine ligase, catalytic subunit	1158	0.538135826587677	0.19302243	Yes	
row_6	SOD1	SOD1	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	1258	0.5148841142654419	0.22380194	Yes	
row_7	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	1426	0.48619773983955383	0.24758945	Yes	
row_8	HHEX	HHEX	HHEX	homeobox, hematopoietically expressed	1691	0.4446886479854584	0.26135978	Yes	
row_9	PRDX4	PRDX4	PRDX4	peroxiredoxin 4	1858	0.4177533984184265	0.28018284	Yes	
row_10	NDUFA6	NDUFA6	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	1925	0.4071776568889618	0.30540594	Yes	
row_11	EGLN2	EGLN2	EGLN2	egl nine homolog 2 (C. elegans)	2239	0.3635219931602478	0.30968657	Yes	
row_12	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	2360	0.3463503122329712	0.32655767	Yes	
row_13	HMOX2	HMOX2	HMOX2	heme oxygenase (decycling) 2	2485	0.32917699217796326	0.341878	Yes	
row_14	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	2550	0.3215142488479614	0.36094144	Yes	
row_15	PRDX2	PRDX2	PRDX2	peroxiredoxin 2	2661	0.30749940872192383	0.37567165	Yes	
row_16	G6PD	G6PD	G6PD	glucose-6-phosphate dehydrogenase	2997	0.2709536552429199	0.37156177	Yes	
row_17	PPP2R4	PPP2R4	PPP2R4	protein phosphatase 2A, regulatory subunit B' (PR 53)	3062	0.2638162076473236	0.3863797	Yes	
