NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SORD	SORD	SORD	sorbitol dehydrogenase	106	1.2377362251281738	0.013818243	Yes	
row_1	SEMA3B	SEMA3B	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	127	1.194945216178894	0.03310699	Yes	
row_2	ALDH3A2	ALDH3A2	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	178	1.1154592037200928	0.048849247	Yes	
row_3	EMP2	EMP2	EMP2	epithelial membrane protein 2	283	1.014075756072998	0.05893122	Yes	
row_4	PLXNB1	PLXNB1	PLXNB1	plexin B1	324	0.973493754863739	0.07293266	Yes	
row_5	COX6C	COX6C	COX6C	cytochrome c oxidase subunit VIc	377	0.941531777381897	0.0855126	Yes	
row_6	SLC16A1	SLC16A1	SLC16A1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)	398	0.9324414730072021	0.100246616	Yes	
row_7	RBBP8	RBBP8	RBBP8	retinoblastoma binding protein 8	460	0.8831875324249268	0.11116402	Yes	
row_8	TSTA3	TSTA3	TSTA3	tissue specific transplantation antigen P35B	515	0.8557682037353516	0.12211137	Yes	
row_9	KIF20A	KIF20A	KIF20A	kinesin family member 20A	607	0.8090563416481018	0.12957521	Yes	
row_10	TOB1	TOB1	TOB1	transducer of ERBB2, 1	639	0.7978050708770752	0.14117844	Yes	
row_11	RAPGEFL1	RAPGEFL1	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	707	0.7670639157295227	0.14964752	Yes	
row_12	ABHD2	ABHD2	ABHD2	abhydrolase domain containing 2	737	0.755348265171051	0.16065857	Yes	
row_13	PRSS23	PRSS23	PRSS23	protease, serine, 23	747	0.7532060742378235	0.17307734	Yes	
row_14	HPRT1	HPRT1	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	927	0.696133553981781	0.17222437	Yes	
row_15	S100A9	S100A9	S100A9	S100 calcium binding protein A9	932	0.6950157284736633	0.18399468	Yes	
row_16	CD44	CD44	CD44	CD44 molecule (Indian blood group)	1053	0.65663743019104	0.1867188	Yes	
row_17	CA2	CA2	CA2	carbonic anhydrase II	1103	0.6436219215393066	0.19434641	Yes	
row_18	BTG3	BTG3	BTG3	BTG family, member 3	1163	0.6270736455917358	0.20096445	Yes	
row_19	ALDH3B1	ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	1251	0.6095604300498962	0.20525578	Yes	
row_20	CAV1	CAV1	CAV1	caveolin 1, caveolae protein, 22kDa	1252	0.6092668771743774	0.21582723	Yes	
row_21	NRIP1	NRIP1	NRIP1	nuclear receptor interacting protein 1	1255	0.6084219813346863	0.22623953	Yes	
row_22	MOCS2	MOCS2	MOCS2	molybdenum cofactor synthesis 2	1256	0.6079831719398499	0.23678872	Yes	
row_23	MDK	MDK	MDK	midkine (neurite growth-promoting factor 2)	1372	0.5840351581573486	0.23861434	Yes	
row_24	PERP	PERP	PERP	PERP, TP53 apoptosis effector	1379	0.5828813314437866	0.2482945	Yes	
row_25	XBP1	XBP1	XBP1	X-box binding protein 1	1501	0.5615873336791992	0.24929716	Yes	
row_26	FRK	FRK	FRK	fyn-related kinase	1576	0.5475034117698669	0.2534509	Yes	
row_27	SLC22A5	SLC22A5	SLC22A5	solute carrier family 22 (organic cation transporter), member 5	1579	0.5470452308654785	0.26279825	Yes	
row_28	ITPK1	ITPK1	ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	1656	0.5353296399116516	0.2665963	Yes	
row_29	KCNK5	KCNK5	KCNK5	potassium channel, subfamily K, member 5	1685	0.5294143557548523	0.27375937	Yes	
row_30	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	1764	0.5182356238365173	0.27711633	Yes	
row_31	RNASEH2A	RNASEH2A	RNASEH2A	ribonuclease H2, subunit A	1846	0.5033289194107056	0.2799979	Yes	
row_32	DNAJC1	DNAJC1	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	1943	0.4882047474384308	0.28153336	Yes	
row_33	CELSR2	CELSR2	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	1974	0.4845166504383087	0.28777292	Yes	
row_34	ANXA9	ANXA9	ANXA9	annexin A9	2080	0.4713243246078491	0.28836533	Yes	
row_35	STIL	STIL	STIL	SCL/TAL1 interrupting locus	2121	0.4652996063232422	0.29354903	Yes	
row_36	PPIF	PPIF	PPIF	peptidylprolyl isomerase F (cyclophilin F)	2149	0.46164458990097046	0.2996085	Yes	
row_37	IL17RB	IL17RB	IL17RB	interleukin 17 receptor B	2151	0.46117109060287476	0.3075381	Yes	
row_38	TPBG	TPBG	TPBG	trophoblast glycoprotein	2167	0.459200382232666	0.31442207	Yes	
row_39	PDCD4	PDCD4	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	2322	0.43854886293411255	0.3109058	Yes	
row_40	ARL3	ARL3	ARL3	ADP-ribosylation factor-like 3	2401	0.42716148495674133	0.3126825	Yes	
row_41	TOP2A	TOP2A	TOP2A	topoisomerase (DNA) II alpha 170kDa	2421	0.42456021904945374	0.31867647	Yes	
row_42	KLF4	KLF4	KLF4	Kruppel-like factor 4 (gut)	2589	0.40440869331359863	0.31362867	Yes	
row_43	TST	TST	TST	thiosulfate sulfurtransferase (rhodanese)	2721	0.38890424370765686	0.31091264	Yes	
row_44	UNC13B	UNC13B	UNC13B	unc-13 homolog B (C. elegans)	2880	0.3705548942089081	0.30592766	Yes	
row_45	GLA	GLA	GLA	galactosidase, alpha	2890	0.370104044675827	0.31169918	Yes	
row_46	SGK1	SGK1	null	null	2924	0.36541813611984253	0.31565553	Yes	
row_47	ST6GALNAC2	ST6GALNAC2	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	2968	0.3615550994873047	0.3188224	Yes	
row_48	FABP5	FABP5	FABP5	fatty acid binding protein 5 (psoriasis-associated)	3124	0.3419279456138611	0.31355745	Yes	
row_49	IMPA2	IMPA2	IMPA2	inositol(myo)-1(or 4)-monophosphatase 2	3153	0.3395971953868866	0.317427	Yes	
row_50	MYOF	MYOF	null	null	3218	0.33285975456237793	0.3185789	Yes	
row_51	FOXC1	FOXC1	FOXC1	forkhead box C1	3376	0.31657421588897705	0.3127295	Yes	
row_52	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	3394	0.3144131898880005	0.3169568	Yes	
row_53	CHPT1	CHPT1	CHPT1	choline phosphotransferase 1	3433	0.30982983112335205	0.3195874	Yes	
row_54	HSPA4L	HSPA4L	HSPA4L	heat shock 70kDa protein 4-like	3563	0.29336637258529663	0.31535816	Yes	
row_55	LLGL2	LLGL2	LLGL2	lethal giant larvae homolog 2 (Drosophila)	3564	0.2930581271648407	0.32044306	Yes	
row_56	ETFB	ETFB	ETFB	electron-transfer-flavoprotein, beta polypeptide	3583	0.2903386056423187	0.32418036	Yes	
row_57	SLC1A4	SLC1A4	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	3699	0.2778302729129791	0.320693	No	
row_58	SERPINA3	SERPINA3	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	4085	0.23440606892108917	0.2969463	No	
row_59	ASS1	ASS1	ASS1	argininosuccinate synthetase 1	4108	0.2313147932291031	0.2993705	No	
row_60	GINS2	GINS2	GINS2	GINS complex subunit 2 (Psf2 homolog)	4155	0.22823436558246613	0.30000737	No	
row_61	SLC29A1	SLC29A1	SLC29A1	solute carrier family 29 (nucleoside transporters), member 1	4201	0.22383582592010498	0.30064023	No	
row_62	FKBP4	FKBP4	FKBP4	FK506 binding protein 4, 59kDa	4337	0.21085692942142487	0.2945459	No	
