NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC24D	SEC24D	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	181	1.1107196807861328	0.014963374	Yes	
row_1	TMED2	TMED2	TMED2	transmembrane emp24 domain trafficking protein 2	252	1.0415832996368408	0.036178194	Yes	
row_2	SCAMP1	SCAMP1	SCAMP1	secretory carrier membrane protein 1	298	0.9972200989723206	0.058075212	Yes	
row_3	RAB5A	RAB5A	RAB5A	RAB5A, member RAS oncogene family	320	0.9756214618682861	0.081156254	Yes	
row_4	ADAM10	ADAM10	ADAM10	ADAM metallopeptidase domain 10	330	0.9718148112297058	0.105005585	Yes	
row_5	COPB2	COPB2	COPB2	coatomer protein complex, subunit beta 2 (beta prime)	347	0.9604089260101318	0.12806325	Yes	
row_6	RAB22A	RAB22A	RAB22A	RAB22A, member RAS oncogene family	369	0.9469068646430969	0.15042046	Yes	
row_7	TMX1	TMX1	null	null	420	0.9133067727088928	0.16984208	Yes	
row_8	ARCN1	ARCN1	ARCN1	archain 1	438	0.8980073928833008	0.19125472	Yes	
row_9	LMAN1	LMAN1	LMAN1	lectin, mannose-binding, 1	445	0.8931037783622742	0.21333596	Yes	
row_10	TOM1L1	TOM1L1	TOM1L1	target of myb1-like 1 (chicken)	514	0.8559492826461792	0.23001535	Yes	
row_11	CAV2	CAV2	CAV2	caveolin 2	582	0.8195481896400452	0.24584918	Yes	
row_12	CLCN3	CLCN3	CLCN3	chloride channel 3	665	0.7885194420814514	0.25982052	Yes	
row_13	STAM	STAM	STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	851	0.7168703675270081	0.26456764	Yes	
row_14	MAPK1	MAPK1	MAPK1	mitogen-activated protein kinase 1	893	0.7078209519386292	0.27945757	Yes	
row_15	SEC22B	SEC22B	SEC22B	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)	897	0.7061758041381836	0.2970428	Yes	
row_16	VAMP3	VAMP3	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	899	0.7050769925117493	0.31474435	Yes	
row_17	RAB14	RAB14	RAB14	RAB14, member RAS oncogene family	910	0.7023018002510071	0.33172777	Yes	
row_18	OCRL	OCRL	OCRL	oculocerebrorenal syndrome of Lowe	922	0.698167085647583	0.34853497	Yes	
row_19	RAB2A	RAB2A	null	null	939	0.6910179853439331	0.36480182	Yes	
row_20	TPD52	TPD52	TPD52	tumor protein D52	1042	0.6593230962753296	0.37407598	Yes	
row_21	RAB9A	RAB9A	null	null	1104	0.6434931755065918	0.38590392	Yes	
