NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSD	CTSD	CTSD	cathepsin D (lysosomal aspartyl peptidase)	57	0.7956745028495789	0.0141840875	Yes	
row_1	GZMB	GZMB	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	85	0.7533114552497864	0.029562188	Yes	
row_2	PLA2G7	PLA2G7	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	91	0.7491967678070068	0.046435915	Yes	
row_3	GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	133	0.7045084834098816	0.059679314	Yes	
row_4	GNGT2	GNGT2	GNGT2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	137	0.7025901675224304	0.075625435	Yes	
row_5	APOC1	APOC1	APOC1	apolipoprotein C-I	158	0.689358115196228	0.0900383	Yes	
row_6	LGMN	LGMN	LGMN	legumain	165	0.6875094175338745	0.105420634	Yes	
row_7	CTSS	CTSS	CTSS	cathepsin S	190	0.6752430200576782	0.11921964	Yes	
row_8	VCPIP1	VCPIP1	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	208	0.6637669205665588	0.13326064	Yes	
row_9	FCER1G	FCER1G	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	237	0.644424557685852	0.14606152	Yes	
row_10	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	246	0.6404169797897339	0.16021593	Yes	
row_11	PIM1	PIM1	PIM1	pim-1 oncogene	261	0.6357674598693848	0.17382967	Yes	
row_12	KYNU	KYNU	KYNU	kynureninase (L-kynurenine hydrolase)	274	0.6283565163612366	0.18741749	Yes	
row_13	LIPA	LIPA	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	276	0.6271855235099792	0.20177351	Yes	
row_14	LTA4H	LTA4H	LTA4H	leukotriene A4 hydrolase	319	0.6089195013046265	0.2127456	Yes	
row_15	PLEK	PLEK	PLEK	pleckstrin	321	0.6086018681526184	0.22667411	Yes	
row_16	IRF1	IRF1	IRF1	interferon regulatory factor 1	324	0.6082785129547119	0.24052289	Yes	
row_17	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	341	0.6011450886726379	0.25319558	Yes	
row_18	WAS	WAS	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	348	0.5966853499412537	0.26648852	Yes	
row_19	ATOX1	ATOX1	ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	361	0.5916193723678589	0.2792312	Yes	
row_20	LAP3	LAP3	LAP3	leucine aminopeptidase 3	383	0.5849112868309021	0.291169	Yes	
row_21	SERPING1	SERPING1	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	407	0.5745422840118408	0.30272368	Yes	
row_22	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	433	0.5635485649108887	0.3138809	Yes	
row_23	C2	C2	C2	complement component 2	435	0.5632835626602173	0.32676685	Yes	
row_24	PRCP	PRCP	PRCP	prolylcarboxypeptidase (angiotensinase C)	471	0.5523717403411865	0.33694407	Yes	
row_25	C1QA	C1QA	C1QA	complement component 1, q subcomponent, A chain	482	0.549651026725769	0.34886587	Yes	
row_26	PIK3R5	PIK3R5	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5, p101	533	0.5323857069015503	0.35749903	Yes	
row_27	CTSB	CTSB	CTSB	cathepsin B	546	0.5268478393554688	0.36875167	Yes	
row_28	PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	551	0.5254076719284058	0.38054943	Yes	
row_29	CTSC	CTSC	CTSC	cathepsin C	578	0.5178918242454529	0.39058405	Yes	
row_30	C1QC	C1QC	C1QC	complement component 1, q subcomponent, C chain	641	0.4964185953140259	0.39752236	Yes	
row_31	APOBEC3G	APOBEC3G	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	746	0.46624287962913513	0.4007305	Yes	
