NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD1D	CD1D	CD1D	CD1d molecule	472	0.5517432689666748	-0.016202083	No	
row_1	IL4I1	IL4I1	IL4I1	interleukin 4 induced 1	521	0.5363114476203918	-0.0022840372	No	
row_2	VNN1	VNN1	VNN1	vanin 1	607	0.5066635012626648	0.008000913	No	
row_3	UBE2L6	UBE2L6	UBE2L6	ubiquitin-conjugating enzyme E2L 6	688	0.4841531217098236	0.01791728	No	
row_4	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	771	0.45797428488731384	0.026840625	No	
row_5	GLUL	GLUL	GLUL	glutamate-ammonia ligase (glutamine synthetase)	864	0.43989843130111694	0.034455866	No	
row_6	GPD2	GPD2	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	968	0.41829434037208557	0.040576417	No	
row_7	ME1	ME1	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	1144	0.38364699482917786	0.040374193	No	
row_8	ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	1175	0.3773850202560425	0.05044057	No	
row_9	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	1272	0.3588894009590149	0.055141035	No	
row_10	PDHA1	PDHA1	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	1369	0.34168174862861633	0.05928372	No	
row_11	NBN	NBN	NBN	nibrin	1432	0.3306337893009186	0.065523684	No	
row_12	BLVRA	BLVRA	BLVRA	biliverdin reductase A	1504	0.3195033073425293	0.070752904	No	
row_13	ELOVL5	ELOVL5	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	1507	0.31903523206710815	0.08094997	No	
row_14	CPT2	CPT2	CPT2	carnitine palmitoyltransferase II	1567	0.3106934428215027	0.08676023	No	
row_15	CBR3	CBR3	CBR3	carbonyl reductase 3	1576	0.30943647027015686	0.09621285	No	
row_16	IDH1	IDH1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1739	0.2874079942703247	0.09382988	No	
row_17	ACAA1	ACAA1	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	1833	0.2766142189502716	0.09608005	No	
row_18	ACSL5	ACSL5	ACSL5	acyl-CoA synthetase long-chain family member 5	1837	0.2761151194572449	0.10481365	No	
row_19	HMGCL	HMGCL	HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1897	0.2692820131778717	0.109281555	No	
row_20	ACSS1	ACSS1	ACSS1	acyl-CoA synthetase short-chain family member 1	1940	0.26318225264549255	0.11477944	No	
row_21	SDHD	SDHD	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	2248	0.22906774282455444	0.1000338	No	
row_22	PRDX6	PRDX6	PRDX6	peroxiredoxin 6	2305	0.22486893832683563	0.10327871	No	
row_23	HSD17B4	HSD17B4	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	2398	0.2161121815443039	0.10363993	No	
row_24	ACSL1	ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	2423	0.2131628841161728	0.10881637	No	
row_25	PSME1	PSME1	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	2580	0.19959475100040436	0.10402024	No	
row_26	PCBD1	PCBD1	PCBD1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)	2736	0.18587496876716614	0.098851606	No	
row_27	NTHL1	NTHL1	NTHL1	nth endonuclease III-like 1 (E. coli)	2755	0.18424898386001587	0.103524104	No	
row_28	MDH2	MDH2	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	2849	0.17543305456638336	0.1024945	No	
row_29	REEP6	REEP6	REEP6	receptor accessory protein 6	2851	0.17521630227565765	0.108101904	No	
row_30	CA2	CA2	CA2	carbonic anhydrase II	2895	0.17093242704868317	0.110537305	No	
row_31	SDHC	SDHC	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	3095	0.1553269773721695	0.10120087	No	
row_32	DECR1	DECR1	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	3138	0.15242420136928558	0.10310855	No	
row_33	CRAT	CRAT	CRAT	carnitine acetyltransferase	3144	0.15186604857444763	0.10767019	No	
row_34	SMS	SMS	SMS	spermine synthase	3185	0.14858204126358032	0.10959775	No	
row_35	ECH1	ECH1	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	3216	0.1459992527961731	0.11216377	No	
row_36	ECI1	ECI1	null	null	3540	0.11862080544233322	0.0926825	No	
row_37	CBR1	CBR1	CBR1	carbonyl reductase 1	3764	0.10301969200372696	0.07991731	No	
row_38	ERP29	ERP29	ERP29	endoplasmic reticulum protein 29	3878	0.09635278582572937	0.07487997	No	
row_39	AUH	AUH	AUH	AU RNA binding protein/enoyl-Coenzyme A hydratase	3906	0.09381721913814545	0.075971164	No	
row_40	ACOT8	ACOT8	ACOT8	acyl-CoA thioesterase 8	3911	0.09364259243011475	0.07871771	No	
row_41	ACO2	ACO2	ACO2	aconitase 2, mitochondrial	3936	0.09225741028785706	0.079975	No	
row_42	EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	3953	0.0913865715265274	0.081781805	No	
row_43	METAP1	METAP1	METAP1	methionyl aminopeptidase 1	4084	0.08343327045440674	0.07509798	No	
row_44	IDH3B	IDH3B	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta	4120	0.08097033202648163	0.075195	No	
