NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOCK2	DOCK2	DOCK2	dedicator of cytokinesis 2	400	0.5771164894104004	-0.016778367	No	
row_1	TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	570	0.5208122730255127	-0.017987346	No	
row_2	TSC1	TSC1	TSC1	tuberous sclerosis 1	610	0.5052204132080078	-0.01009267	No	
row_3	FGD6	FGD6	FGD6	FYVE, RhoGEF and PH domain containing 6	745	0.46657609939575195	-0.009912904	No	
row_4	CEP72	CEP72	CEP72	centrosomal protein 72kDa	838	0.44649773836135864	-0.0071112555	No	
row_5	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	857	0.44143033027648926	9.5331133E-4	No	
row_6	CD2AP	CD2AP	CD2AP	CD2-associated protein	906	0.4312279522418976	0.006624071	No	
row_7	ARHGAP27	ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	918	0.4293411374092102	0.0149400225	No	
row_8	CAPZB	CAPZB	CAPZB	capping protein (actin filament) muscle Z-line, beta	975	0.4168224334716797	0.01972438	No	
row_9	RHOF	RHOF	RHOF	ras homolog gene family, member F (in filopodia)	1083	0.39598754048347473	0.02036516	No	
row_10	ARL8A	ARL8A	ARL8A	ADP-ribosylation factor-like 8A	1139	0.3845690190792084	0.024537401	No	
row_11	ABI1	ABI1	ABI1	abl-interactor 1	1264	0.3602662682533264	0.02318611	No	
row_12	WASF2	WASF2	WASF2	WAS protein family, member 2	1316	0.3516438901424408	0.026949696	No	
row_13	SSH2	SSH2	SSH2	slingshot homolog 2 (Drosophila)	1381	0.3398124873638153	0.029518656	No	
row_14	MAP1S	MAP1S	MAP1S	microtubule-associated protein 1S	1398	0.3368252217769623	0.03550776	No	
row_15	ARFGEF1	ARFGEF1	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	1583	0.30855777859687805	0.028704327	No	
