NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	51	-0.48881847	-1.8149413	0.0	0.0059372187	0.01	3013	tags=39%, list=22%, signal=50%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	158	-0.37993932	-1.7041101	0.0	0.012137661	0.04	2784	tags=38%, list=20%, signal=47%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	64	-0.4031392	-1.5605526	0.012448133	0.049881335	0.23	3202	tags=36%, list=23%, signal=46%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	-0.48402044	-1.5548869	0.01767305	0.039575	0.241	2778	tags=40%, list=20%, signal=50%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	193	-0.33604193	-1.5524987	0.0012562814	0.032475825	0.247	6378	tags=57%, list=46%, signal=103%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	127	-0.33466807	-1.4752499	0.0051880674	0.055791862	0.437	3684	tags=38%, list=26%, signal=51%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	-0.31143352	-1.4460266	0.00622665	0.06193274	0.509	5844	tags=53%, list=42%, signal=90%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	29	-0.43219072	-1.4320048	0.053680982	0.06341629	0.57	3724	tags=52%, list=27%, signal=70%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	194	-0.3007699	-1.3841994	0.010948905	0.08824026	0.747	6267	tags=49%, list=45%, signal=88%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	-0.3081349	-1.3101429	0.06275033	0.1520604	0.936	3900	tags=34%, list=28%, signal=46%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	-0.2578006	-1.194015	0.12926829	0.33550343	0.998	3621	tags=31%, list=26%, signal=41%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.3146725	-1.1890612	0.18802229	0.31657323	0.999	2949	tags=24%, list=21%, signal=30%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	160	-0.24834102	-1.1246579	0.24066924	0.43997312	1.0	4463	tags=38%, list=32%, signal=54%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	136	-0.2324386	-1.0280889	0.42348284	0.6770959	1.0	4610	tags=39%, list=33%, signal=58%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	86	-0.24236824	-0.99095285	0.47263017	0.7417746	1.0	1887	tags=20%, list=14%, signal=23%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	24	-0.29916456	-0.9583706	0.52276295	0.7872139	1.0	5842	tags=54%, list=42%, signal=93%	
CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	CANCER_IMMUNITY_SHARED_TUMOR_SPECIFIC_ANTIGENS	Details ...	2	-0.62013113	-0.94402397	0.58003765	0.7804259	1.0	5197	tags=50%, list=37%, signal=80%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	35	-0.265782	-0.9279593	0.5629742	0.7793957	1.0	1039	tags=14%, list=7%, signal=15%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	140	-0.2066396	-0.909099	0.654105	0.7855514	1.0	4675	tags=38%, list=33%, signal=56%	
CANCER_IMMUNITY_ANTIGENS_OVEREXPRESSED_IN_TUMORS	CANCER_IMMUNITY_ANTIGENS_OVEREXPRESSED_IN_TUMORS	Details ...	27	-0.27258965	-0.8837662	0.6516517	0.8081747	1.0	3519	tags=33%, list=25%, signal=44%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	-0.17949872	-0.82858163	0.8567839	0.8847264	1.0	2368	tags=19%, list=17%, signal=22%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	118	-0.19066024	-0.8202513	0.83355004	0.85976803	1.0	2992	tags=26%, list=21%, signal=33%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	128	-0.18487509	-0.8034555	0.86623377	0.8496775	1.0	4986	tags=38%, list=36%, signal=59%	
