NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	JUN	JUN	jun oncogene	121	0.9534769654273987	0.012036438	Yes	
row_1	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	212	0.8420369625091553	0.023884755	Yes	
row_2	GSTM1	GSTM1	GSTM1	glutathione S-transferase M1	334	0.7440236806869507	0.031355586	Yes	
row_3	MMP2	MMP2	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	340	0.7408612370491028	0.047143225	Yes	
row_4	PMAIP1	PMAIP1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	384	0.7192180156707764	0.059712037	Yes	
row_5	TGFB2	TGFB2	TGFB2	transforming growth factor, beta 2	554	0.6342501640319824	0.061320093	Yes	
row_6	LPPR4	LPPR4	LPPR4	-	623	0.6118238568305969	0.06974068	Yes	
row_7	ATF3	ATF3	ATF3	activating transcription factor 3	642	0.6044877767562866	0.08161591	Yes	
row_8	BMP2	BMP2	BMP2	bone morphogenetic protein 2	822	0.5534345507621765	0.08073946	Yes	
row_9	BTG2	BTG2	BTG2	BTG family, member 2	951	0.5211232304573059	0.08284553	Yes	
row_10	RHOB	RHOB	RHOB	ras homolog gene family, member B	1012	0.5092521905899048	0.08960862	Yes	
row_11	BCL2L2	BCL2L2	BCL2L2	BCL2-like 2	1120	0.4875771701335907	0.092501566	Yes	
row_12	KRT18	KRT18	KRT18	keratin 18	1136	0.48435282707214355	0.101975	Yes	
row_13	CLU	CLU	CLU	clusterin	1139	0.48408740758895874	0.11238243	Yes	
row_14	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1140	0.4839242696762085	0.12293088	Yes	
row_15	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	1163	0.4796442687511444	0.13179563	Yes	
row_16	IFNGR1	IFNGR1	IFNGR1	interferon gamma receptor 1	1437	0.43193113803863525	0.12147534	Yes	
row_17	CD44	CD44	CD44	CD44 molecule (Indian blood group)	1524	0.41875049471855164	0.12438613	Yes	
row_18	PSEN1	PSEN1	PSEN1	presenilin 1 (Alzheimer disease 3)	1534	0.41739967465400696	0.13283388	Yes	
row_19	CASP4	CASP4	CASP4	caspase 4, apoptosis-related cysteine peptidase	1545	0.41650187969207764	0.14118977	Yes	
row_20	WEE1	WEE1	WEE1	WEE1 homolog (S. pombe)	1555	0.41538241505622864	0.14959355	Yes	
row_21	PDGFRB	PDGFRB	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	1566	0.41339465975761414	0.1578817	Yes	
row_22	BAX	BAX	BAX	BCL2-associated X protein	1620	0.40669623017311096	0.16291535	Yes	
row_23	GADD45A	GADD45A	GADD45A	growth arrest and DNA-damage-inducible, alpha	1732	0.39045318961143494	0.16340205	Yes	
row_24	GADD45B	GADD45B	GADD45B	growth arrest and DNA-damage-inducible, beta	1802	0.3834879994392395	0.16677314	Yes	
row_25	FDXR	FDXR	FDXR	ferredoxin reductase	1849	0.37535789608955383	0.17162971	Yes	
row_26	DCN	DCN	DCN	decorin	1922	0.36673682928085327	0.1744188	Yes	
row_27	ANXA1	ANXA1	ANXA1	annexin A1	2002	0.3562478721141815	0.17647322	Yes	
row_28	CCND2	CCND2	CCND2	cyclin D2	2005	0.3558611571788788	0.18408561	Yes	
row_29	CASP6	CASP6	CASP6	caspase 6, apoptosis-related cysteine peptidase	2202	0.32860541343688965	0.17707944	No	
row_30	HMOX1	HMOX1	HMOX1	heme oxygenase (decycling) 1	2458	0.2974766194820404	0.16512957	No	
row_31	ISG20	ISG20	ISG20	interferon stimulated exonuclease gene 20kDa	2474	0.2962946593761444	0.17050377	No	
row_32	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	2557	0.2868545353412628	0.17082869	No	
row_33	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	2659	0.2765932083129883	0.16955641	No	
row_34	PDCD4	PDCD4	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	2692	0.2725983262062073	0.17318512	No	
row_35	BTG3	BTG3	BTG3	BTG family, member 3	2693	0.27253028750419617	0.17912567	No	
row_36	LEF1	LEF1	LEF1	lymphoid enhancer-binding factor 1	2776	0.2636624872684479	0.17894506	No	
row_37	CFLAR	CFLAR	CFLAR	CASP8 and FADD-like apoptosis regulator	3003	0.23863734304904938	0.16780907	No	
row_38	BCL10	BCL10	BCL10	B-cell CLL/lymphoma 10	3049	0.23312005400657654	0.16963747	No	
row_39	CTH	CTH	CTH	cystathionase (cystathionine gamma-lyase)	3123	0.22642450034618378	0.16929577	No	
row_40	TXNIP	TXNIP	TXNIP	thioredoxin interacting protein	3147	0.22412453591823578	0.17251849	No	
row_41	DNAJC3	DNAJC3	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	3315	0.2090921700000763	0.16500364	No	
row_42	AIFM3	AIFM3	null	null	3476	0.1951189786195755	0.15769026	No	
row_43	LGALS3	LGALS3	LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3)	3620	0.1824026107788086	0.15132862	No	
row_44	CAV1	CAV1	CAV1	caveolin 1, caveolae protein, 22kDa	3654	0.17902325093746185	0.15284532	No	
row_45	BIRC3	BIRC3	BIRC3	baculoviral IAP repeat-containing 3	3771	0.1676332950592041	0.14811361	No	
row_46	DIABLO	DIABLO	DIABLO	diablo homolog (Drosophila)	3905	0.15605531632900238	0.14190057	No	
row_47	LUM	LUM	LUM	lumican	4027	0.1462254822254181	0.13634075	No	
row_48	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	4077	0.14205093681812286	0.1358949	No	
row_49	TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	4103	0.13970620930194855	0.1371329	No	
row_50	CDKN1B	CDKN1B	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	4259	0.12607595324516296	0.12867598	No	
row_51	CCND1	CCND1	CCND1	cyclin D1	4498	0.10639423131942749	0.11378989	No	
row_52	CASP8	CASP8	CASP8	caspase 8, apoptosis-related cysteine peptidase	4575	0.1002248004078865	0.11048046	No	
row_53	IFITM3	IFITM3	IFITM3	interferon induced transmembrane protein 3 (1-8U)	4859	0.07770873606204987	0.091716014	No	
row_54	SMAD7	SMAD7	SMAD7	SMAD, mothers against DPP homolog 7 (Drosophila)	5058	0.06005413457751274	0.07871146	No	
row_55	EMP1	EMP1	EMP1	epithelial membrane protein 1	5115	0.05602414906024933	0.075884365	No	
row_56	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	5256	0.045609697699546814	0.06675783	No	
row_57	CASP9	CASP9	CASP9	caspase 9, apoptosis-related cysteine peptidase	5402	0.03336638584733009	0.05700296	No	
row_58	CREBBP	CREBBP	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	5411	0.032235439866781235	0.057127293	No	
row_59	ERBB2	ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	5537	0.023720083758234978	0.048607975	No	
row_60	H1F0	H1F0	H1F0	H1 histone family, member 0	5543	0.023363135755062103	0.048755784	No	
row_61	PPP3R1	PPP3R1	PPP3R1	protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)	5904	-0.0024592415429651737	0.022784669	No	
row_62	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	5974	-0.007442384958267212	0.017958824	No	
row_63	XIAP	XIAP	null	null	6050	-0.013531619682908058	0.012831965	No	
row_64	GNA15	GNA15	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	6368	-0.038012854754924774	-0.009255654	No	
row_65	IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	6418	-0.04210301861166954	-0.0118801575	No	
row_66	TGFBR3	TGFBR3	TGFBR3	transforming growth factor, beta receptor III (betaglycan, 300kDa)	6497	-0.04797942191362381	-0.016473005	No	
row_67	ETF1	ETF1	ETF1	eukaryotic translation termination factor 1	6574	-0.053685467690229416	-0.020796891	No	
row_68	EBP	EBP	EBP	emopamil binding protein (sterol isomerase)	6586	-0.05494815483689308	-0.020394346	No	
row_69	IGF2R	IGF2R	IGF2R	insulin-like growth factor 2 receptor	6617	-0.05692991241812706	-0.02132213	No	
