NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASF1A	ASF1A	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	90	1.0410879850387573	0.013210654	No	
row_1	RPA1	RPA1	RPA1	replication protein A1, 70kDa	311	0.7558277249336243	0.011579665	No	
row_2	SYNCRIP	SYNCRIP	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	452	0.68073570728302	0.014329469	No	
row_3	ING3	ING3	ING3	inhibitor of growth family, member 3	501	0.6622878909111023	0.023404842	No	
row_4	DSCC1	DSCC1	null	null	577	0.6266747117042542	0.029845849	No	
row_5	DUT	DUT	DUT	dUTP pyrophosphatase	724	0.581990122795105	0.030287907	No	
row_6	PLK1	PLK1	PLK1	polo-like kinase 1 (Drosophila)	742	0.576090395450592	0.039978128	No	
row_7	ORC2	ORC2	null	null	1480	0.42483118176460266	-0.005441852	No	
row_8	WEE1	WEE1	WEE1	WEE1 homolog (S. pombe)	1555	0.41538241505622864	-0.0029347725	No	
row_9	CDKN3	CDKN3	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	1608	0.4078695774078369	0.0010261354	No	
row_10	H2AFZ	H2AFZ	H2AFZ	H2A histone family, member Z	1632	0.4050849378108978	0.0070384354	No	
row_11	DEPDC1	DEPDC1	DEPDC1	DEP domain containing 1	1814	0.38155293464660645	0.0011402974	No	
row_12	AURKB	AURKB	AURKB	aurora kinase B	1861	0.37409985065460205	0.0048962208	No	
row_13	CDCA3	CDCA3	CDCA3	cell division cycle associated 3	2084	0.34475579857826233	-0.0046745525	No	
row_14	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	2557	0.2868545353412628	-0.033482842	No	
row_15	MMS22L	MMS22L	null	null	2655	0.27697834372520447	-0.035268996	No	
row_16	SRSF1	SRSF1	null	null	2705	0.27157148718833923	-0.033674873	No	
row_17	TIPIN	TIPIN	TIPIN	TIMELESS interacting protein	2764	0.26463112235069275	-0.032865375	No	
row_18	EZH2	EZH2	EZH2	enhancer of zeste homolog 2 (Drosophila)	2842	0.2553853690624237	-0.033609804	No	
row_19	STAG1	STAG1	STAG1	stromal antigen 1	2848	0.2546856701374054	-0.029143294	No	
row_20	BRMS1L	BRMS1L	BRMS1L	breast cancer metastasis-suppressor 1-like	2890	0.2507246434688568	-0.027363997	No	
row_21	HMMR	HMMR	HMMR	hyaluronan-mediated motility receptor (RHAMM)	3102	0.22815550863742828	-0.03834758	No	
row_22	H2AFX	H2AFX	H2AFX	H2A histone family, member X	3135	0.22501429915428162	-0.03640277	No	
row_23	SMC6	SMC6	SMC6	structural maintenance of chromosomes 6	3503	0.19259966909885406	-0.059379667	No	
row_24	RQCD1	RQCD1	RQCD1	RCD1 required for cell differentiation1 homolog (S. pombe)	3518	0.19158004224300385	-0.05676278	No	
row_25	PAN2	PAN2	null	null	3537	0.19008617103099823	-0.054464456	No	
row_26	SPC25	SPC25	null	null	3583	0.1857769787311554	-0.054206915	No	
row_27	SLBP	SLBP	SLBP	stem-loop (histone) binding protein	3638	0.18030419945716858	-0.05470618	No	
row_28	MCM7	MCM7	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	3685	0.17616070806980133	-0.054703537	No	
row_29	MAD2L1	MAD2L1	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	3743	0.1707448810338974	-0.055601735	No	
row_30	NBN	NBN	NBN	nibrin	3779	0.16713877022266388	-0.054972026	No	
row_31	EXOSC8	EXOSC8	EXOSC8	exosome component 8	3808	0.16415150463581085	-0.05389105	No	
row_32	SMC4	SMC4	SMC4	structural maintenance of chromosomes 4	3820	0.16350598633289337	-0.051588826	No	
row_33	HN1	HN1	HN1	hematological and neurological expressed 1	3935	0.15355952084064484	-0.056948718	No	
row_34	POLE4	POLE4	POLE4	polymerase (DNA-directed), epsilon 4 (p12 subunit)	3956	0.15214388072490692	-0.05551496	No	
row_35	DCK	DCK	DCK	deoxycytidine kinase	3964	0.15137900412082672	-0.053152453	No	
row_36	CDKN1B	CDKN1B	CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	4259	0.12607595324516296	-0.07209399	No	
row_37	HMGB3	HMGB3	HMGB3	high-mobility group box 3	4295	0.12330381572246552	-0.07229548	No	
row_38	MRE11A	MRE11A	MRE11A	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)	4389	0.11456954479217529	-0.07687096	No	
row_39	CCNB2	CCNB2	CCNB2	cyclin B2	4487	0.10734745115041733	-0.081873626	No	
row_40	CDK1	CDK1	null	null	4499	0.10632389038801193	-0.08065568	No	
row_41	TRA2B	TRA2B	null	null	4524	0.10459375381469727	-0.08041379	No	
row_42	NAA38	NAA38	null	null	4643	0.0957152470946312	-0.08716075	No	
row_43	XPO1	XPO1	XPO1	exportin 1 (CRM1 homolog, yeast)	4728	0.08816640824079514	-0.09158386	No	
row_44	USP1	USP1	USP1	ubiquitin specific peptidase 1	4835	0.07995889335870743	-0.09775889	No	
row_45	BIRC5	BIRC5	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	4892	0.07470966130495071	-0.10040553	No	
row_46	CDKN2C	CDKN2C	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	4931	0.07159870117902756	-0.101805106	No	
row_47	DLGAP5	DLGAP5	null	null	4950	0.06977642327547073	-0.101788074	No	
row_48	ZW10	ZW10	ZW10	ZW10, kinetochore associated, homolog (Drosophila)	4971	0.06780412048101425	-0.10195355	No	
row_49	PCNA	PCNA	PCNA	proliferating cell nuclear antigen	5053	0.06054471433162689	-0.10668275	No	
