NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HIBCH	HIBCH	HIBCH	3-hydroxyisobutyryl-Coenzyme A hydrolase	37	1.256837010383606	0.025754437	Yes	
row_1	BCKDHB	BCKDHB	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	95	1.0268762111663818	0.044863384	Yes	
row_2	GSTZ1	GSTZ1	GSTZ1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	223	0.8319284915924072	0.054507855	Yes	
row_3	EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	408	0.7045178413391113	0.057154205	Yes	
row_4	SUCLG2	SUCLG2	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	432	0.6932016611099243	0.07117167	Yes	
row_5	CA2	CA2	CA2	carbonic anhydrase II	549	0.6381016969680786	0.07722667	Yes	
row_6	ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	626	0.6108402013778687	0.08555379	Yes	
row_7	CPT1A	CPT1A	CPT1A	carnitine palmitoyltransferase 1A (liver)	627	0.609811544418335	0.09934619	Yes	
row_8	HSDL2	HSDL2	HSDL2	hydroxysteroid dehydrogenase like 2	666	0.5986628532409668	0.110142164	Yes	
row_9	MCEE	MCEE	MCEE	methylmalonyl CoA epimerase	709	0.5855815410614014	0.1203534	Yes	
row_10	MAOA	MAOA	MAOA	monoamine oxidase A	734	0.5798590183258057	0.13173513	Yes	
row_11	ALDH3A2	ALDH3A2	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	858	0.5419743657112122	0.13511044	Yes	
row_12	HADH	HADH	HADH	hydroxyacyl-Coenzyme A dehydrogenase	912	0.5304872393608093	0.14328118	Yes	
row_13	D2HGDH	D2HGDH	D2HGDH	D-2-hydroxyglutarate dehydrogenase	939	0.5244255065917969	0.1532647	Yes	
row_14	ENO3	ENO3	ENO3	enolase 3 (beta, muscle)	1117	0.48826271295547485	0.15152544	Yes	
row_15	SERINC1	SERINC1	SERINC1	serine incorporator 1	1226	0.4670640528202057	0.15428972	Yes	
row_16	ETFDH	ETFDH	ETFDH	electron-transferring-flavoprotein dehydrogenase	1276	0.459852010011673	0.16115175	Yes	
row_17	SLC22A5	SLC22A5	SLC22A5	solute carrier family 22 (organic cation transporter), member 5	1279	0.4594336152076721	0.17139855	Yes	
row_18	MLYCD	MLYCD	MLYCD	malonyl-CoA decarboxylase	1299	0.45459243655204773	0.18030815	Yes	
row_19	VNN1	VNN1	VNN1	vanin 1	1399	0.437705934047699	0.1830584	Yes	
row_20	ACSL5	ACSL5	ACSL5	acyl-CoA synthetase long-chain family member 5	1549	0.4159509837627411	0.18170571	Yes	
row_21	H2AFZ	H2AFZ	H2AFZ	H2A histone family, member Z	1632	0.4050849378108978	0.18494585	Yes	
row_22	ALDH1A1	ALDH1A1	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	1646	0.40339261293411255	0.19313075	Yes	
row_23	HSD17B11	HSD17B11	null	null	1841	0.37713557481765747	0.18765035	No	
row_24	PPARA	PPARA	PPARA	peroxisome proliferative activated receptor, alpha	1982	0.3582756817340851	0.18564315	No	
row_25	UROS	UROS	UROS	uroporphyrinogen III synthase (congenital erythropoietic porphyria)	2229	0.32518067955970764	0.17523235	No	
row_26	HADHB	HADHB	HADHB	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	2300	0.31542953848838806	0.17731133	No	
row_27	MGLL	MGLL	MGLL	monoglyceride lipase	2324	0.3123694956302643	0.18271533	No	
row_28	ACAT2	ACAT2	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	2407	0.30311137437820435	0.1836491	No	
row_29	AOC3	AOC3	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	2535	0.2889368534088135	0.18101245	No	
row_30	ACADVL	ACADVL	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	2649	0.2774461507797241	0.17912698	No	
row_31	SUCLA2	SUCLA2	SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit	2668	0.27517226338386536	0.18405075	No	
row_32	CRYZ	CRYZ	CRYZ	crystallin, zeta (quinone reductase)	2706	0.27150121331214905	0.18751937	No	
row_33	REEP6	REEP6	REEP6	receptor accessory protein 6	2725	0.26973387598991394	0.19232015	No	
row_34	HSPH1	HSPH1	HSPH1	heat shock 105kDa/110kDa protein 1	2944	0.24606601893901825	0.18214206	No	
row_35	ECHS1	ECHS1	ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	2995	0.2401297688484192	0.18396232	No	
row_36	CBR1	CBR1	CBR1	carbonyl reductase 1	3033	0.23492646217346191	0.1866037	No	
row_37	SETD8	SETD8	SETD8	SET domain containing (lysine methyltransferase) 8	3059	0.23245826363563538	0.19005588	No	
row_38	ACSS1	ACSS1	ACSS1	acyl-CoA synthetase short-chain family member 1	3156	0.22375787794589996	0.18818381	No	
row_39	ACOT2	ACOT2	ACOT2	acyl-CoA thioesterase 2	3299	0.2106306105852127	0.18269281	No	
row_40	RDH11	RDH11	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	3479	0.19499897956848145	0.17417622	No	
row_41	HSP90AA1	HSP90AA1	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	3593	0.1848403662443161	0.17019624	No	
row_42	RAP1GDS1	RAP1GDS1	RAP1GDS1	RAP1, GTP-GDP dissociation stimulator 1	3615	0.18316024541854858	0.17282228	No	
row_43	ACOX1	ACOX1	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	3670	0.17777778208255768	0.1729434	No	
row_44	NBN	NBN	NBN	nibrin	3779	0.16713877022266388	0.16892414	No	
row_45	DHCR24	DHCR24	DHCR24	24-dehydrocholesterol reductase	3844	0.16095659136772156	0.16794263	No	
row_46	CBR3	CBR3	CBR3	carbonyl reductase 3	3877	0.15779848396778107	0.16920067	No	
row_47	OSTC	OSTC	null	null	3946	0.15286153554916382	0.1677472	No	
row_48	SUCLG1	SUCLG1	SUCLG1	succinate-CoA ligase, GDP-forming, alpha subunit	3952	0.1523110270500183	0.17083101	No	
row_49	PDHB	PDHB	PDHB	pyruvate dehydrogenase (lipoamide) beta	4061	0.1428653746843338	0.16626275	No	
row_50	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	4077	0.14205093681812286	0.16839232	No	
row_51	DLST	DLST	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	4257	0.12619087100028992	0.15831944	No	
row_52	ACSL1	ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	4322	0.12088285386562347	0.15643157	No	
row_53	SDHD	SDHD	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	4391	0.11426351964473724	0.15410511	No	
row_54	PTS	PTS	PTS	6-pyruvoyltetrahydropterin synthase	4419	0.11264221370220184	0.15470292	No	
row_55	AADAT	AADAT	AADAT	aminoadipate aminotransferase	4542	0.10344047099351883	0.14823191	No	
row_56	ALAD	ALAD	ALAD	aminolevulinate, delta-, dehydratase	4603	0.09843321889638901	0.14612515	No	
row_57	NCAPH2	NCAPH2	NCAPH2	non-SMC condensin II complex, subunit H2	4604	0.09838669747114182	0.1483504	No	
row_58	DECR1	DECR1	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	4779	0.08486022055149078	0.13770384	No	
row_59	EPHX1	EPHX1	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	4845	0.0789673775434494	0.13479573	No	
row_60	IDI1	IDI1	IDI1	isopentenyl-diphosphate delta isomerase 1	5131	0.05501146242022514	0.11545787	No	
row_61	HMGCL	HMGCL	HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	5225	0.047466009855270386	0.10981517	No	
row_62	PSME1	PSME1	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	5325	0.04013149067759514	0.103573285	No	
row_63	ACSL4	ACSL4	ACSL4	acyl-CoA synthetase long-chain family member 4	5425	0.031249841675162315	0.097130515	No	
row_64	MDH1	MDH1	MDH1	malate dehydrogenase 1, NAD (soluble)	5502	0.02630702592432499	0.09223696	No	
row_65	BLVRA	BLVRA	BLVRA	biliverdin reductase A	5919	-0.0035942685790359974	0.062275644	No	
row_66	TP53INP2	TP53INP2	TP53INP2	tumor protein p53 inducible nuclear protein 2	6023	-0.012481918558478355	0.055119522	No	
row_67	ACAA1	ACAA1	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	6077	-0.015706611797213554	0.05164722	No	
row_68	MDH2	MDH2	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	6209	-0.02580142952501774	0.04277025	No	
row_69	GPD2	GPD2	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	6422	-0.04231458529829979	0.028417125	No	
row_70	HCCS	HCCS	HCCS	holocytochrome c synthase (cytochrome c heme-lyase)	6661	-0.06031591445207596	0.012593482	No	
