NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TDRD7	TDRD7	TDRD7	tudor domain containing 7	139	0.926334023475647	0.0060425363	No	
row_1	BTG1	BTG1	BTG1	B-cell translocation gene 1, anti-proliferative	161	0.8936455249786377	0.020064756	No	
row_2	ARL4A	ARL4A	ARL4A	ADP-ribosylation factor-like 4A	168	0.8855122923851013	0.035032153	No	
row_3	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	212	0.8420369625091553	0.046562985	No	
row_4	HERC6	HERC6	HERC6	hect domain and RLD 6	361	0.7327481508255005	0.048586424	No	
row_5	IFI44	IFI44	IFI44	interferon-induced protein 44	407	0.7046753168106079	0.057583187	No	
row_6	IFIT1	IFIT1	IFIT1	interferon-induced protein with tetratricopeptide repeats 1	637	0.6065992712974548	0.051544603	No	
row_7	SSPN	SSPN	SSPN	sarcospan (Kras oncogene-associated gene)	662	0.5995932817459106	0.060234934	No	
row_8	ARID5B	ARID5B	ARID5B	AT rich interactive domain 5B (MRF1-like)	728	0.5814979076385498	0.06564037	No	
row_9	NAMPT	NAMPT	null	null	793	0.5637814998626709	0.0708101	No	
row_10	CFH	CFH	CFH	complement factor H	804	0.5595391988754272	0.07981795	No	
row_11	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1140	0.4839242696762085	0.0639667	No	
row_12	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	1163	0.4796442687511444	0.0707156	No	
row_13	TNFAIP6	TNFAIP6	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	1169	0.4786336421966553	0.07867844	No	
row_14	SOCS3	SOCS3	SOCS3	suppressor of cytokine signaling 3	1232	0.4660552442073822	0.082293265	No	
row_15	IRF7	IRF7	IRF7	interferon regulatory factor 7	1320	0.45022743940353394	0.08382172	No	
row_16	DDX60	DDX60	null	null	1526	0.41862598061561584	0.076252274	No	
row_17	CASP4	CASP4	CASP4	caspase 4, apoptosis-related cysteine peptidase	1545	0.41650187969207764	0.08219268	No	
row_18	NFKBIA	NFKBIA	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	1660	0.40133634209632874	0.0809148	No	
row_19	CFB	CFB	CFB	complement factor B	1667	0.40056633949279785	0.08744735	No	
row_20	IFI27	IFI27	IFI27	interferon, alpha-inducible protein 27	1749	0.388942688703537	0.088344514	No	
row_21	ISG15	ISG15	ISG15	ISG15 ubiquitin-like modifier	1906	0.3689536154270172	0.08346079	No	
row_22	MX1	MX1	MX1	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	2141	0.3373577296733856	0.072376974	No	
row_23	ST3GAL5	ST3GAL5	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	2197	0.3290412127971649	0.07411576	No	
row_24	PNP	PNP	null	null	2267	0.31962698698043823	0.0746766	No	
row_25	AUTS2	AUTS2	AUTS2	autism susceptibility candidate 2	2326	0.31229230761528015	0.075906746	No	
row_26	NMI	NMI	NMI	N-myc (and STAT) interactor	2341	0.3106970191001892	0.08029662	No	
row_27	STAT2	STAT2	STAT2	signal transducer and activator of transcription 2, 113kDa	2363	0.30811330676078796	0.08413445	No	
row_28	PELI1	PELI1	PELI1	pellino homolog 1 (Drosophila)	2376	0.30635493993759155	0.088593684	No	
row_29	USP18	USP18	USP18	ubiquitin specific peptidase 18	2431	0.30076226592063904	0.08991305	No	
row_30	IRF9	IRF9	null	null	2464	0.29717308282852173	0.09276373	No	
row_31	PLSCR1	PLSCR1	PLSCR1	phospholipid scramblase 1	2468	0.29694750905036926	0.09771132	No	
row_32	ISG20	ISG20	ISG20	interferon stimulated exonuclease gene 20kDa	2474	0.2962946593761444	0.102502674	No	
row_33	TRIM25	TRIM25	TRIM25	tripartite motif-containing 25	2500	0.29360073804855347	0.10579831	No	
row_34	EIF2AK2	EIF2AK2	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	2524	0.2908845841884613	0.1091916	No	
row_35	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	2557	0.2868545353412628	0.1118628	No	
row_36	IFNAR2	IFNAR2	IFNAR2	interferon (alpha, beta and omega) receptor 2	2572	0.28503474593162537	0.11580632	No	
row_37	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	2659	0.2765932083129883	0.11438713	No	
row_38	TNFAIP3	TNFAIP3	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2757	0.26580479741096497	0.111983426	No	
row_39	LATS2	LATS2	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	2805	0.25974228978157043	0.113096416	No	
row_40	OASL	OASL	OASL	2'-5'-oligoadenylate synthetase-like	2807	0.25966718792915344	0.117540464	No	
row_41	ISOC1	ISOC1	ISOC1	isochorismatase domain containing 1	2826	0.25732359290122986	0.12071222	No	
row_42	PFKP	PFKP	PFKP	phosphofructokinase, platelet	2887	0.2508885860443115	0.120729454	No	
row_43	IFIT3	IFIT3	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	2910	0.24963778257369995	0.12347776	No	
row_44	TXNIP	TXNIP	TXNIP	thioredoxin interacting protein	3147	0.22412453591823578	0.110279545	No	
row_45	BPGM	BPGM	BPGM	2,3-bisphosphoglycerate mutase	3292	0.21138961613178253	0.103524566	No	
row_46	DDX58	DDX58	DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	3346	0.2068311721086502	0.10328259	No	
row_47	PNPT1	PNPT1	PNPT1	polyribonucleotide nucleotidyltransferase 1	3635	0.18049821257591248	0.08555855	No	
row_48	LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	3788	0.16606321930885315	0.07743565	No	
row_49	LY6E	LY6E	LY6E	lymphocyte antigen 6 complex, locus E	3881	0.15763339400291443	0.073512696	No	
row_50	TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	4103	0.13970620930194855	0.059932802	No	
row_51	OAS2	OAS2	OAS2	2'-5'-oligoadenylate synthetase 2, 69/71kDa	4228	0.1293209046125412	0.053199228	No	
row_52	DHX58	DHX58	null	null	4340	0.11936728656291962	0.047234282	No	
row_53	CASP8	CASP8	CASP8	caspase 8, apoptosis-related cysteine peptidase	4575	0.1002248004078865	0.03202592	No	
row_54	RTP4	RTP4	RTP4	receptor transporter protein 4	4632	0.09677136689424515	0.029652307	No	
