NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MDM2	MDM2	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	15	1.431281566619873	0.021035273	Yes	
row_1	FBXW7	FBXW7	FBXW7	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)	18	1.4158811569213867	0.042774204	Yes	
row_2	CDK5R1	CDK5R1	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	20	1.400373101234436	0.06434588	Yes	
row_3	TM4SF1	TM4SF1	TM4SF1	transmembrane 4 L six family member 1	26	1.3292616605758667	0.084528714	Yes	
row_4	FOS	FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	27	1.3238413333892822	0.10498996	Yes	
row_5	SLC7A11	SLC7A11	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	54	1.1543726921081543	0.12094853	Yes	
row_6	FOXO3	FOXO3	null	null	92	1.0292867422103882	0.13417695	Yes	
row_7	SDC1	SDC1	SDC1	syndecan 1	96	1.0261881351470947	0.14982037	Yes	
row_8	EPHA2	EPHA2	EPHA2	EPH receptor A2	110	0.9841179847717285	0.16408917	Yes	
row_9	RPS27L	RPS27L	RPS27L	ribosomal protein S27-like	111	0.9825296401977539	0.17927513	Yes	
row_10	CGRRF1	CGRRF1	CGRRF1	cell growth regulator with ring finger domain 1	113	0.9809887409210205	0.19436482	Yes	
row_11	JUN	JUN	JUN	jun oncogene	121	0.9534769654273987	0.20859465	Yes	
row_12	BTG1	BTG1	BTG1	B-cell translocation gene 1, anti-proliferative	161	0.8936455249786377	0.21958174	Yes	
row_13	TM7SF3	TM7SF3	TM7SF3	transmembrane 7 superfamily member 3	196	0.8611149191856384	0.23042823	Yes	
row_14	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	212	0.8420369625091553	0.24235617	Yes	
row_15	DDB2	DDB2	DDB2	damage-specific DNA binding protein 2, 48kDa	266	0.7994896173477173	0.25087386	Yes	
row_16	SESN1	SESN1	SESN1	sestrin 1	272	0.7911788821220398	0.2627401	Yes	
row_17	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	315	0.7537187337875366	0.27134717	Yes	
row_18	KLF4	KLF4	KLF4	Kruppel-like factor 4 (gut)	357	0.7355571985244751	0.27974597	Yes	
row_19	PIDD	PIDD	null	null	372	0.7262941002845764	0.28995743	Yes	
row_20	ZMAT3	ZMAT3	ZMAT3	zinc finger, matrin type 3	414	0.7009865045547485	0.2978219	Yes	
row_21	TAX1BP3	TAX1BP3	TAX1BP3	Tax1 (human T-cell leukemia virus type I) binding protein 3	499	0.6625165343284607	0.30197698	Yes	
row_22	ATF3	ATF3	ATF3	activating transcription factor 3	642	0.6044877767562866	0.3010338	Yes	
row_23	IP6K2	IP6K2	null	null	644	0.6043182015419006	0.3103017	Yes	
row_24	ZFP36L1	ZFP36L1	ZFP36L1	zinc finger protein 36, C3H type-like 1	692	0.5899513363838196	0.3160154	Yes	
row_25	ABCC5	ABCC5	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	801	0.5602943897247314	0.31685203	Yes	
row_26	TOB1	TOB1	TOB1	transducer of ERBB2, 1	809	0.5574679374694824	0.3249612	Yes	
row_27	BMP2	BMP2	BMP2	bone morphogenetic protein 2	822	0.5534345507621765	0.33264577	Yes	
row_28	PERP	PERP	PERP	PERP, TP53 apoptosis effector	825	0.5529276728630066	0.34104693	Yes	
row_29	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	844	0.5464696884155273	0.3481893	Yes	
row_30	BTG2	BTG2	BTG2	BTG family, member 2	951	0.5211232304573059	0.34856537	Yes	
row_31	CDKN2AIP	CDKN2AIP	null	null	990	0.513393223285675	0.35374773	Yes	
row_32	MXD1	MXD1	MXD1	MAX dimerization protein 1	1061	0.4998380243778229	0.35640258	Yes	
row_33	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1140	0.4839242696762085	0.35823196	Yes	
row_34	TSC22D1	TSC22D1	TSC22D1	TSC22 domain family, member 1	1144	0.48279571533203125	0.36547673	Yes	
row_35	HINT1	HINT1	HINT1	histidine triad nucleotide binding protein 1	1295	0.45526906847953796	0.36164773	Yes	
row_36	TRIAP1	TRIAP1	TRIAP1	TP53 regulated inhibitor of apoptosis 1	1340	0.44753843545913696	0.3653776	Yes	
row_37	RPS12	RPS12	RPS12	ribosomal protein S12	1451	0.4299420714378357	0.36405465	Yes	
row_38	DGKA	DGKA	DGKA	diacylglycerol kinase, alpha 80kDa	1517	0.42018529772758484	0.36584058	Yes	
row_39	IRAK1	IRAK1	IRAK1	interleukin-1 receptor-associated kinase 1	1570	0.41293975710868835	0.3684562	Yes	
row_40	RCHY1	RCHY1	RCHY1	ring finger and CHY zinc finger domain containing 1	1619	0.4068450629711151	0.3712674	Yes	
row_41	BAX	BAX	BAX	BCL2-associated X protein	1620	0.40669623017311096	0.37755328	Yes	
row_42	BLCAP	BLCAP	BLCAP	bladder cancer associated protein	1673	0.3994702398777008	0.37996072	Yes	
row_43	GADD45A	GADD45A	GADD45A	growth arrest and DNA-damage-inducible, alpha	1732	0.39045318961143494	0.38179418	Yes	
row_44	FDXR	FDXR	FDXR	ferredoxin reductase	1849	0.37535789608955383	0.37919295	Yes	
row_45	PTPN14	PTPN14	PTPN14	protein tyrosine phosphatase, non-receptor type 14	2000	0.3565601408481598	0.3738383	Yes	
row_46	CCND2	CCND2	CCND2	cyclin D2	2005	0.3558611571788788	0.37904873	Yes	
row_47	NUDT15	NUDT15	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	2061	0.3480006754398346	0.38044333	Yes	
row_48	H2AFJ	H2AFJ	H2AFJ	H2A histone family, member J	2083	0.344817191362381	0.38425165	Yes	
row_49	HSPA4L	HSPA4L	HSPA4L	heat shock 70kDa protein 4-like	2244	0.3224770724773407	0.37764582	Yes	
row_50	HRAS	HRAS	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	2353	0.3092299997806549	0.37460202	Yes	
row_51	PPP1R15A	PPP1R15A	PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A	2414	0.30251994729042053	0.3749315	Yes	
row_52	AEN	AEN	null	null	2428	0.3008551597595215	0.37863985	Yes	
row_53	HMOX1	HMOX1	HMOX1	heme oxygenase (decycling) 1	2458	0.2974766194820404	0.38113692	Yes	
row_54	TPRKB	TPRKB	TPRKB	TP53RK binding protein	2503	0.2933926284313202	0.38248435	Yes	
row_55	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	2557	0.2868545353412628	0.38307878	Yes	
row_56	VWA5A	VWA5A	null	null	2571	0.28505438566207886	0.3865429	Yes	
row_57	ERCC5	ERCC5	ERCC5	me))	2854	0.2536661624908447	0.37003615	No	
row_58	EI24	EI24	EI24	etoposide induced 2.4 mRNA	2868	0.2529538571834564	0.3730041	No	
row_59	ISCU	ISCU	null	null	2892	0.2505723536014557	0.37521088	No	
row_60	INHBB	INHBB	INHBB	inhibin, beta B (activin AB beta polypeptide)	2905	0.2500005066394806	0.37820563	No	
row_61	TXNIP	TXNIP	TXNIP	thioredoxin interacting protein	3147	0.22412453591823578	0.36421224	No	
row_62	PLXNB2	PLXNB2	PLXNB2	plexin B2	3304	0.21016421914100647	0.35616028	No	
row_63	RB1	RB1	RB1	retinoblastoma 1 (including osteosarcoma)	3343	0.20690222084522247	0.35660553	No	
row_64	TRAF4	TRAF4	TRAF4	TNF receptor-associated factor 4	3474	0.19543392956256866	0.35020927	No	
row_65	MXD4	MXD4	MXD4	MAX dimerization protein 4	3596	0.18446384370326996	0.3442954	No	
row_66	DDIT4	DDIT4	DDIT4	DNA-damage-inducible transcript 4	3603	0.18378013372421265	0.34670126	No	
row_67	SLC35D1	SLC35D1	SLC35D1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1	3666	0.17800119519233704	0.34496135	No	
row_68	ITGB4	ITGB4	ITGB4	integrin, beta 4	3751	0.16940024495124817	0.34149483	No	
row_69	CYFIP2	CYFIP2	CYFIP2	cytoplasmic FMR1 interacting protein 2	3932	0.15365521609783173	0.33083096	No	
row_70	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	4077	0.14205093681812286	0.32259548	No	
row_71	TPD52L1	TPD52L1	TPD52L1	tumor protein D52-like 1	4096	0.14015203714370728	0.3234578	No	
row_72	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	4280	0.12429090589284897	0.31212276	No	
row_73	CCNG1	CCNG1	CCNG1	cyclin G1	4282	0.12399599701166153	0.3139668	No	
row_74	PRKAB1	PRKAB1	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	4466	0.1090652346611023	0.30239645	No	
row_75	NINJ1	NINJ1	NINJ1	ninjurin 1	4567	0.10053087770938873	0.2967065	No	
row_76	WWP1	WWP1	WWP1	WW domain containing E3 ubiquitin protein ligase 1	4613	0.09786086529493332	0.29495934	No	
row_77	NOL8	NOL8	NOL8	nucleolar protein 8	4619	0.09763678163290024	0.29610622	No	
row_78	APAF1	APAF1	APAF1	apoptotic peptidase activating factor	4698	0.09094715863466263	0.29186177	No	
row_79	RAP2B	RAP2B	RAP2B	RAP2B, member of RAS oncogene family	4775	0.08500280231237411	0.2876703	No	
