NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STS	STS	STS	steroid sulfatase (microsomal), arylsulfatase C, isozyme S	276	0.7885410189628601	0.006065386	No	
row_1	EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	408	0.7045178413391113	0.019803947	No	
row_2	VPS4B	VPS4B	VPS4B	vacuolar protein sorting 4 homolog B (S. cerevisiae)	562	0.631865382194519	0.029570015	No	
row_3	PEX11A	PEX11A	PEX11A	peroxisomal biogenesis factor 11A	673	0.596291720867157	0.04126115	No	
row_4	PEX2	PEX2	null	null	779	0.5669168829917908	0.052346207	No	
row_5	ABCC5	ABCC5	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	801	0.5602943897247314	0.06925926	No	
row_6	MLYCD	MLYCD	MLYCD	malonyl-CoA decarboxylase	1299	0.45459243655204773	0.048437074	No	
row_7	SEMA3C	SEMA3C	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	1407	0.43640008568763733	0.05508632	No	
row_8	CAT	CAT	CAT	catalase	1479	0.4249332547187805	0.06394954	No	
row_9	ACSL5	ACSL5	ACSL5	acyl-CoA synthetase long-chain family member 5	1549	0.4159509837627411	0.07266133	No	
row_10	ALDH1A1	ALDH1A1	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	1646	0.40339261293411255	0.07901689	No	
row_11	CRABP2	CRABP2	CRABP2	cellular retinoic acid binding protein 2	1702	0.3946489691734314	0.08803582	No	
row_12	SCP2	SCP2	SCP2	sterol carrier protein 2	1824	0.37961238622665405	0.091810055	No	
row_13	HSD17B11	HSD17B11	null	null	1841	0.37713557481765747	0.10306006	No	
row_14	CNBP	CNBP	CNBP	CCHC-type zinc finger, nucleic acid binding protein	2035	0.3516994118690491	0.100734316	No	
row_15	IDE	IDE	IDE	insulin-degrading enzyme	2189	0.3297152817249298	0.1005646	No	
