NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDLIM1	PDLIM1	PDLIM1	PDZ and LIM domain 1 (elfin)	108	0.9880342483520508	0.04615614	No	
row_1	JUNB	JUNB	JUNB	jun B proto-oncogene	950	0.5211568474769592	0.014222275	No	
row_2	CAT	CAT	CAT	catalase	1479	0.4249332547187805	-4.938139E-4	No	
row_3	MBP	MBP	MBP	myelin basic protein	2258	0.32096537947654724	-0.038828135	No	
row_4	GLRX	GLRX	GLRX	glutaredoxin (thioltransferase)	2635	0.2794145941734314	-0.05057302	No	
row_5	PFKP	PFKP	PFKP	phosphofructokinase, platelet	2887	0.2508885860443115	-0.054901537	No	
row_6	GCLM	GCLM	GCLM	glutamate-cysteine ligase, modifier subunit	3671	0.17767508327960968	-0.1014129	No	
row_7	FES	FES	FES	feline sarcoma oncogene	4338	0.11946771293878555	-0.14270161	No	
row_8	SRXN1	SRXN1	SRXN1	sulfiredoxin 1 homolog (S. cerevisiae)	4446	0.11052725464105606	-0.1443518	No	
row_9	ABCC1	ABCC1	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	5331	0.039486415684223175	-0.20565295	No	
row_10	MSRA	MSRA	MSRA	methionine sulfoxide reductase A	5359	0.036809034645557404	-0.20558272	No	
row_11	NQO1	NQO1	NQO1	NAD(P)H dehydrogenase, quinone 1	7851	-0.14593514800071716	-0.37643012	No	
row_12	STK25	STK25	STK25	serine/threonine kinase 25 (STE20 homolog, yeast)	8032	-0.15902119874954224	-0.38067454	No	
row_13	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	8247	-0.17495816946029663	-0.38648996	No	
row_14	LSP1	LSP1	LSP1	lymphocyte-specific protein 1	8488	-0.1923360973596573	-0.39322358	No	
