NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICA1	ICA1	ICA1	islet cell autoantigen 1, 69kDa	895	0.4995119273662567	-0.047562525	No	
row_1	COPE	COPE	COPE	coatomer protein complex, subunit epsilon	1074	0.4637795388698578	-0.04469521	No	
row_2	ARFGEF1	ARFGEF1	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	1266	0.42686203122138977	-0.044012852	No	
row_3	SSPN	SSPN	SSPN	sarcospan (Kras oncogene-associated gene)	1732	0.3423825204372406	-0.06592146	No	
row_4	ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	2135	0.2913160026073456	-0.08502008	No	
row_5	RPS6KA3	RPS6KA3	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	2484	0.2519990801811218	-0.10155947	No	
row_6	AP1G1	AP1G1	AP1G1	adaptor-related protein complex 1, gamma 1 subunit	2860	0.20800647139549255	-0.121531405	No	
row_7	DOPEY1	DOPEY1	DOPEY1	dopey family member 1	2870	0.20673833787441254	-0.115186855	No	
row_8	STX16	STX16	STX16	syntaxin 16	3015	0.19273976981639862	-0.119038515	No	
row_9	MON2	MON2	MON2	MON2 homolog (S. cerevisiae)	3330	0.16229362785816193	-0.13616341	No	
row_10	TPD52	TPD52	TPD52	tumor protein D52	3353	0.16022256016731262	-0.13232848	No	
row_11	PAM	PAM	PAM	peptidylglycine alpha-amidating monooxygenase	3509	0.1454523503780365	-0.13857183	No	
row_12	ARFIP1	ARFIP1	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	3752	0.12566764652729034	-0.15175012	No	
row_13	ERGIC3	ERGIC3	ERGIC3	ERGIC and golgi 3	3753	0.12563644349575043	-0.14750057	No	
row_14	SEC24D	SEC24D	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	3984	0.10839790850877762	-0.16039875	No	
row_15	ARFGEF2	ARFGEF2	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	4014	0.10562001913785934	-0.15891485	No	
row_16	ABCA1	ABCA1	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	4148	0.09470834583044052	-0.1652901	No	
row_17	GALC	GALC	GALC	galactosylceramidase	4181	0.09182196855545044	-0.16448896	No	
row_18	STX12	STX12	STX12	syntaxin 12	4232	0.08887910842895508	-0.16508372	No	
row_19	NAPA	NAPA	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	4234	0.08873149752616882	-0.16215448	No	
row_20	M6PR	M6PR	M6PR	mannose-6-phosphate receptor (cation dependent)	4252	0.08741280436515808	-0.16042216	No	
