NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICA1	ICA1	ICA1	islet cell autoantigen 1, 69kDa	685	0.37045973539352417	-0.032320123	No	
row_1	TPD52	TPD52	TPD52	tumor protein D52	1161	0.29122504591941833	-0.053154938	No	
row_2	SSPN	SSPN	SSPN	sarcospan (Kras oncogene-associated gene)	1377	0.2642856538295746	-0.056501724	No	
row_3	COPE	COPE	COPE	coatomer protein complex, subunit epsilon	1485	0.25111523270606995	-0.052675195	No	
row_4	KRT18	KRT18	KRT18	keratin 18	2012	0.1992325335741043	-0.081407875	No	
row_5	DOPEY1	DOPEY1	DOPEY1	dopey family member 1	2017	0.19873635470867157	-0.07256881	No	
row_6	MON2	MON2	MON2	MON2 homolog (S. cerevisiae)	2056	0.19583973288536072	-0.06631146	No	
row_7	ARFIP1	ARFIP1	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	2302	0.17188704013824463	-0.076062344	No	
row_8	AP1G1	AP1G1	AP1G1	adaptor-related protein complex 1, gamma 1 subunit	2693	0.14194752275943756	-0.09763114	No	
row_9	ARFGEF1	ARFGEF1	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	2800	0.1341664046049118	-0.09910357	No	
row_10	SEC24D	SEC24D	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	3009	0.11889250576496124	-0.10862353	No	
row_11	GALC	GALC	GALC	galactosylceramidase	3110	0.11113079637289047	-0.11072176	No	
row_12	NAPA	NAPA	NAPA	N-ethylmaleimide-sensitive factor attachment protein, alpha	3259	0.10256815701723099	-0.11667021	No	
row_13	STX12	STX12	STX12	syntaxin 12	3351	0.09680937975645065	-0.11877799	No	
row_14	RAB2A	RAB2A	null	null	3454	0.0901075005531311	-0.121985786	No	
row_15	TMX1	TMX1	null	null	3573	0.0817546397447586	-0.1267295	No	
row_16	ARFGEF2	ARFGEF2	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	3733	0.07185594737529755	-0.13488066	No	
row_17	STX16	STX16	STX16	syntaxin 16	3914	0.060820985585451126	-0.14505105	No	
row_18	VPS4B	VPS4B	VPS4B	vacuolar protein sorting 4 homolog B (S. cerevisiae)	3977	0.056345172226428986	-0.1469286	No	
row_19	SGMS1	SGMS1	null	null	4185	0.04503420740365982	-0.15976852	No	
row_20	RPS6KA3	RPS6KA3	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3	4226	0.04254569485783577	-0.16069539	No	
row_21	SNAP23	SNAP23	SNAP23	synaptosomal-associated protein, 23kDa	4349	0.03563440591096878	-0.16784531	No	
row_22	SNX2	SNX2	SNX2	sorting nexin 2	4361	0.03515918180346489	-0.16702281	No	
row_23	PAM	PAM	PAM	peptidylglycine alpha-amidating monooxygenase	4870	0.007531915325671434	-0.20326315	No	
row_24	VAMP7	VAMP7	null	null	5227	-0.011900311335921288	-0.2283558	No	
row_25	ARFGAP3	ARFGAP3	ARFGAP3	ADP-ribosylation factor GTPase activating protein 3	5241	-0.012483324855566025	-0.22871874	No	
row_26	ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	5286	-0.014089921489357948	-0.23124054	No	
row_27	RER1	RER1	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	5399	-0.019352130591869354	-0.23841804	No	
row_28	DNM1L	DNM1L	DNM1L	dynamin 1-like	5555	-0.026706637814641	-0.24835463	No	
row_29	ERGIC3	ERGIC3	ERGIC3	ERGIC and golgi 3	5951	-0.0448746457695961	-0.27474168	No	
row_30	CLN5	CLN5	CLN5	ceroid-lipofuscinosis, neuronal 5	6009	-0.04720462113618851	-0.27667892	No	
row_31	RAB14	RAB14	RAB14	RAB14, member RAS oncogene family	6611	-0.07471905648708344	-0.3165315	No	
row_32	USO1	USO1	null	null	6966	-0.09138555824756622	-0.33782968	No	
row_33	TMED10	TMED10	TMED10	transmembrane emp24-like trafficking protein 10 (yeast)	7245	-0.10317593067884445	-0.35311285	No	
row_34	M6PR	M6PR	M6PR	mannose-6-phosphate receptor (cation dependent)	7322	-0.10742376744747162	-0.35365283	No	
row_35	AP2S1	AP2S1	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	7341	-0.10870583355426788	-0.3499568	No	
row_36	VAMP3	VAMP3	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	7376	-0.11072936654090881	-0.34732014	No	
row_37	COG2	COG2	COG2	component of oligomeric golgi complex 2	7448	-0.11382129788398743	-0.34720623	No	
row_38	SOD1	SOD1	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	7522	-0.11750657111406326	-0.34706712	No	
row_39	GLA	GLA	GLA	galactosidase, alpha	7630	-0.12218894809484482	-0.34916162	No	
row_40	CLCN3	CLCN3	CLCN3	chloride channel 3	7702	-0.12567849457263947	-0.34850317	No	
row_41	TMED2	TMED2	TMED2	transmembrane emp24 domain trafficking protein 2	8159	-0.14889463782310486	-0.37450626	No	
row_42	STAM	STAM	STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	8202	-0.1506974846124649	-0.37061018	No	
row_43	MAPK1	MAPK1	MAPK1	mitogen-activated protein kinase 1	8390	-0.16012397408485413	-0.37672412	No	
row_44	STX7	STX7	STX7	syntaxin 7	8415	-0.1614324450492859	-0.37103868	No	
row_45	AP3B1	AP3B1	AP3B1	adaptor-related protein complex 3, beta 1 subunit	8745	-0.17644371092319489	-0.38662997	No	
row_46	RAB22A	RAB22A	RAB22A	RAB22A, member RAS oncogene family	8862	-0.18199850618839264	-0.3866259	No	
row_47	NAPG	NAPG	NAPG	N-ethylmaleimide-sensitive factor attachment protein, gamma	8980	-0.1870954930782318	-0.3864597	No	
row_48	GNAS	GNAS	GNAS	GNAS complex locus	9009	-0.1881643682718277	-0.37983465	No	
row_49	COPB1	COPB1	COPB1	coatomer protein complex, subunit beta 1	9042	-0.18975673615932465	-0.37342456	No	
row_50	IGF2R	IGF2R	IGF2R	insulin-like growth factor 2 receptor	9064	-0.19135569036006927	-0.3661488	No	
row_51	CAV2	CAV2	CAV2	caveolin 2	9490	-0.21037498116493225	-0.38709572	No	
row_52	ZW10	ZW10	ZW10	ZW10, kinetochore associated, homolog (Drosophila)	9527	-0.21183818578720093	-0.3799596	No	
row_53	ABCA1	ABCA1	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	9763	-0.22421607375144958	-0.38658702	No	
row_54	VPS45	VPS45	null	null	10220	-0.24667082726955414	-0.40809965	No	
row_55	CTSC	CTSC	CTSC	cathepsin C	10769	-0.27738258242607117	-0.43482766	Yes	
row_56	ARCN1	ARCN1	ARCN1	archain 1	10867	-0.28344860672950745	-0.428796	Yes	
row_57	RAB9A	RAB9A	null	null	10942	-0.2875809371471405	-0.42091808	Yes	
row_58	GBF1	GBF1	GBF1	golgi-specific brefeldin A resistance factor 1	10990	-0.2905375063419342	-0.41095984	Yes	
row_59	BNIP3	BNIP3	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	11027	-0.29309678077697754	-0.40009183	Yes	
row_60	CD63	CD63	CD63	CD63 molecule	11085	-0.2964487075805664	-0.39058232	Yes	
row_61	ATP1A1	ATP1A1	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	11101	-0.2974337339401245	-0.3780027	Yes	
row_62	VAMP4	VAMP4	VAMP4	vesicle-associated membrane protein 4	11194	-0.3030187785625458	-0.37071216	Yes	
row_63	SEC22B	SEC22B	SEC22B	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)	11267	-0.3067963421344757	-0.36180773	Yes	
row_64	TOM1L1	TOM1L1	TOM1L1	target of myb1-like 1 (chicken)	11269	-0.30715078115463257	-0.34777358	Yes	
row_65	ATP7A	ATP7A	ATP7A	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	11431	-0.31671059131622314	-0.3448236	Yes	
