NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FRAT1	FRAT1	FRAT1	frequently rearranged in advanced T-cell lymphomas	141	0.5417429804801941	0.052474197	No	
row_1	CCND2	CCND2	CCND2	cyclin D2	570	0.39068323373794556	0.06690784	No	
row_2	JAG1	JAG1	JAG1	jagged 1 (Alagille syndrome)	643	0.37782689929008484	0.10539418	No	
row_3	TCF7	TCF7	TCF7	transcription factor 7 (T-cell specific, HMG-box)	659	0.3757695257663727	0.14773177	No	
row_4	LEF1	LEF1	LEF1	lymphoid enhancer-binding factor 1	1635	0.2338302880525589	0.10480418	No	
row_5	JAG2	JAG2	JAG2	jagged 2	1964	0.2031673938035965	0.10474723	No	
row_6	GNAI1	GNAI1	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	2793	0.1346750259399414	0.060909167	No	
row_7	NUMB	NUMB	NUMB	numb homolog (Drosophila)	3281	0.10081183165311813	0.037620783	No	
row_8	KAT2A	KAT2A	null	null	3666	0.07656940817832947	0.01892042	No	
row_9	NOTCH4	NOTCH4	NOTCH4	Notch homolog 4 (Drosophila)	3678	0.0758669376373291	0.026896428	No	
row_10	PTCH1	PTCH1	PTCH1	patched homolog 1 (Drosophila)	4161	0.04572010785341263	-0.002398164	No	
row_11	AXIN2	AXIN2	AXIN2	axin 2 (conductin, axil)	4861	0.007970110513269901	-0.051620826	No	
row_12	AXIN1	AXIN1	AXIN1	axin 1	5872	-0.04106314852833748	-0.11933006	No	
row_13	CUL1	CUL1	CUL1	cullin 1	6452	-0.06755925714969635	-0.15305991	No	
row_14	PSEN2	PSEN2	PSEN2	presenilin 2 (Alzheimer disease 4)	6673	-0.07785481214523315	-0.15984707	No	
row_15	DLL1	DLL1	DLL1	delta-like 1 (Drosophila)	7932	-0.13771376013755798	-0.23418054	No	
row_16	HEY1	HEY1	HEY1	hairy/enhancer-of-split related with YRPW motif 1	8216	-0.1516495943069458	-0.23696135	No	
row_17	ADAM17	ADAM17	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	8615	-0.17042019963264465	-0.2458232	No	
row_18	HEY2	HEY2	HEY2	hairy/enhancer-of-split related with YRPW motif 2	8994	-0.1875440776348114	-0.25127196	No	
row_19	MYC	MYC	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	9237	-0.19940117001533508	-0.24559473	No	
row_20	CTNNB1	CTNNB1	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	9280	-0.20060043036937714	-0.22543176	No	
row_21	NOTCH1	NOTCH1	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	9508	-0.2113095372915268	-0.21730268	No	
row_22	RBPJ	RBPJ	null	null	9942	-0.23308393359184265	-0.22143559	No	
row_23	DVL2	DVL2	DVL2	dishevelled, dsh homolog 2 (Drosophila)	10974	-0.28961122035980225	-0.26193586	Yes	
row_24	MAML1	MAML1	MAML1	mastermind-like 1 (Drosophila)	11080	-0.2961871922016144	-0.23524888	Yes	
row_25	PPARD	PPARD	PPARD	peroxisome proliferative activated receptor, delta	11523	-0.32218873500823975	-0.22973289	Yes	
row_26	SKP2	SKP2	SKP2	S-phase kinase-associated protein 2 (p45)	11744	-0.3357354402542114	-0.20672642	Yes	
row_27	HDAC2	HDAC2	HDAC2	histone deacetylase 2	11771	-0.33705344796180725	-0.16965088	Yes	
row_28	NCSTN	NCSTN	NCSTN	nicastrin	11810	-0.3394070267677307	-0.13316429	Yes	
row_29	NCOR2	NCOR2	NCOR2	nuclear receptor co-repressor 2	12207	-0.36803707480430603	-0.11905146	Yes	
row_30	FZD8	FZD8	FZD8	frizzled homolog 8 (Drosophila)	12585	-0.39859166741371155	-0.1000456	Yes	
row_31	HDAC11	HDAC11	HDAC11	histone deacetylase 11	12646	-0.40476563572883606	-0.057586133	Yes	
row_32	CSNK1E	CSNK1E	CSNK1E	casein kinase 1, epsilon	12736	-0.4122525751590729	-0.016342023	Yes	
row_33	FZD1	FZD1	FZD1	frizzled homolog 1 (Drosophila)	12882	-0.428883820772171	0.022806318	Yes	
row_34	HDAC5	HDAC5	HDAC5	histone deacetylase 5	13254	-0.4800175130367279	0.05164993	Yes	
