NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	141	0.38520578	1.317583	0.16067654	1.0	0.806	1990	tags=33%, list=14%, signal=38%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	86	0.56640774	1.2897104	0.28397566	1.0	0.828	3537	tags=67%, list=25%, signal=90%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	137	0.44138166	1.2182851	0.3211382	1.0	0.891	2438	tags=36%, list=17%, signal=44%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	171	0.49029738	1.2142222	0.32865733	1.0	0.893	3665	tags=58%, list=26%, signal=78%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	175	0.4077074	1.2060542	0.29471543	0.8960357	0.903	2454	tags=41%, list=18%, signal=49%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	25	0.44462284	1.2048597	0.26623377	0.75020397	0.905	1126	tags=32%, list=8%, signal=35%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	54	0.32500258	1.1623882	0.24561404	0.7462748	0.93	2543	tags=41%, list=18%, signal=50%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	170	0.27667186	1.1444502	0.25820568	0.69388777	0.933	2141	tags=24%, list=15%, signal=27%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	65	0.44744143	1.130365	0.3713693	0.6445179	0.943	2158	tags=37%, list=15%, signal=43%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	142	0.27137247	1.0156282	0.40292275	0.81110203	0.983	2448	tags=30%, list=18%, signal=35%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	136	0.25120497	1.0056509	0.44936708	0.7584311	0.984	1603	tags=21%, list=11%, signal=24%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	133	0.26018748	0.99885374	0.4536817	0.70941174	0.984	2249	tags=29%, list=16%, signal=34%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.332395	0.95255953	0.5020325	0.736869	0.988	2192	tags=31%, list=16%, signal=36%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	158	0.2596608	0.9510916	0.51476794	0.68694276	0.988	1830	tags=25%, list=13%, signal=29%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	84	0.29873815	0.9103923	0.5590062	0.7085847	0.993	2665	tags=36%, list=19%, signal=44%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	158	0.28896707	0.8836373	0.5429769	0.7058091	0.993	2449	tags=34%, list=18%, signal=40%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	141	0.28484496	0.88055897	0.57708335	0.6690298	0.993	2514	tags=35%, list=18%, signal=43%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	118	0.22201101	0.8352022	0.6787234	0.6976535	0.997	1644	tags=22%, list=12%, signal=25%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	29	0.24301894	0.7967996	0.778481	0.71539897	0.997	883	tags=21%, list=6%, signal=22%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	140	0.1647483	0.68503433	0.9594272	0.8270184	0.999	2766	tags=27%, list=20%, signal=34%	
