NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
ZFPM1	ZFPM1	ZFPM1	zinc finger protein, multitype 1	1.0531994	
FBXW7	FBXW7	FBXW7	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)	0.9915705	
TSPYL5	TSPYL5	TSPYL5	TSPY-like 5	0.96709794	
RAPGEF3	RAPGEF3	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3	0.93338	
GSTM1	GSTM1	GSTM1	glutathione S-transferase M1	0.9211305	
LPAR6	LPAR6	null	null	0.89695364	
ALS2CL	ALS2CL	ALS2CL	ALS2 C-terminal like	0.8876925	
SPNS2	SPNS2	null	null	0.8784001	
ECSCR	ECSCR	null	null	0.87252927	
FOS	FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	0.86917275	
NIPAL2	NIPAL2	null	null	0.85114384	
COX4I2	COX4I2	COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	0.8423929	
PDLIM1	PDLIM1	PDLIM1	PDZ and LIM domain 1 (elfin)	0.84156626	
RNF19A	RNF19A	null	null	0.8167916	
CCM2L	CCM2L	null	null	0.8155968	
CAMKK1	CAMKK1	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	0.8146071	
PLAC9	PLAC9	PLAC9	placenta-specific 9	0.8011067	
NEURL1B	NEURL1B	null	null	0.7885845	
RP11-378A13.1	RP11-378A13.1	null	null	0.7805791	
RAMP3	RAMP3	RAMP3	receptor (calcitonin) activity modifying protein 3	0.77820027	
NOSTRIN	NOSTRIN	NOSTRIN	nitric oxide synthase trafficker	0.7777151	
ARHGEF15	ARHGEF15	ARHGEF15	Rho guanine nucleotide exchange factor (GEF) 15	0.7750247	
CLEC3B	CLEC3B	CLEC3B	C-type lectin domain family 3, member B	0.7673326	
FAM110D	FAM110D	null	null	0.7647133	
PPM1K	PPM1K	PPM1K	protein phosphatase 1K (PP2C domain containing)	0.763744	
HAAO	HAAO	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	0.7621787	
GSTM5	GSTM5	GSTM5	glutathione S-transferase M5	0.76140016	
KCNK6	KCNK6	KCNK6	potassium channel, subfamily K, member 6	0.75877416	
CLEC14A	CLEC14A	CLEC14A	C-type lectin domain family 14, member A	0.7396733	
IDNK	IDNK	null	null	0.7388203	
APLNR	APLNR	null	null	0.7361529	
NRARP	NRARP	null	null	0.72981787	
SORL1	SORL1	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	0.7190219	
