NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	217	0.7496535181999207	0.0011336643	No	
row_1	EIF3J	EIF3J	null	null	372	0.6727258563041687	0.0050944816	No	
row_2	AARS	AARS	AARS	alanyl-tRNA synthetase	436	0.6449664235115051	0.015008735	No	
row_3	CD47	CD47	CD47	CD47 molecule	439	0.6444365978240967	0.029319257	No	
row_4	NCK1	NCK1	NCK1	NCK adaptor protein 1	534	0.609279990196228	0.036192834	No	
row_5	DARS	DARS	DARS	aspartyl-tRNA synthetase	743	0.552762508392334	0.033560514	No	
row_6	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	768	0.5452328324317932	0.044056017	No	
row_7	TGFB2	TGFB2	TGFB2	transforming growth factor, beta 2	830	0.5295869708061218	0.05152678	No	
row_8	RIPK2	RIPK2	RIPK2	receptor-interacting serine-threonine kinase 2	966	0.5055227875709534	0.053110175	No	
row_9	DEGS1	DEGS1	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	986	0.500331699848175	0.06295985	No	
row_10	TLR3	TLR3	TLR3	toll-like receptor 3	1008	0.49610328674316406	0.072570145	No	
row_11	MRPL3	MRPL3	MRPL3	mitochondrial ribosomal protein L3	1166	0.46959564089775085	0.07175785	No	
row_12	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	1212	0.46168267726898193	0.07886172	No	
row_13	ACVR2A	ACVR2A	ACVR2A	activin A receptor, type IIA	1620	0.4030700922012329	0.05849103	No	
row_14	TPD52	TPD52	TPD52	tumor protein D52	1684	0.39404454827308655	0.062776975	No	
row_15	EIF3A	EIF3A	null	null	1821	0.3777587115764618	0.06142229	No	
row_16	INHBA	INHBA	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	1858	0.3726361393928528	0.06717918	No	
row_17	RARS	RARS	RARS	arginyl-tRNA synthetase	1865	0.37199562788009644	0.07508965	No	
row_18	STAT1	STAT1	STAT1	signal transducer and activator of transcription 1, 91kDa	2026	0.35424119234085083	0.0714731	No	
row_19	ABI1	ABI1	ABI1	abl-interactor 1	2243	0.33053332567214966	0.063277945	No	
row_20	BCL10	BCL10	BCL10	B-cell CLL/lymphoma 10	2373	0.3160957098007202	0.061045982	No	
row_21	UBE2D1	UBE2D1	UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	2397	0.3133656680583954	0.066412844	No	
row_22	LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	2440	0.30822911858558655	0.07029147	No	
row_23	CTSS	CTSS	CTSS	cathepsin S	2751	0.2773047387599945	0.054109477	No	
row_24	IFNAR2	IFNAR2	IFNAR2	interferon (alpha, beta and omega) receptor 2	2871	0.2662685811519623	0.051482514	No	
row_25	WARS	WARS	WARS	tryptophanyl-tRNA synthetase	3035	0.2530284523963928	0.045378916	No	
row_26	CCR1	CCR1	CCR1	chemokine (C-C motif) receptor 1	3036	0.2529899775981903	0.051053613	No	
row_27	RPL39	RPL39	RPL39	ribosomal protein L39	3113	0.2467089593410492	0.0510953	No	
row_28	CD8A	CD8A	CD8A	CD8a molecule	3303	0.22944320738315582	0.04258379	No	
row_29	NPM1	NPM1	NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	3518	0.21099071204662323	0.03185176	No	
row_30	SRGN	SRGN	null	null	3531	0.21008120477199554	0.035696816	No	
row_31	GALNT1	GALNT1	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	3696	0.1944429576396942	0.028206848	No	
row_32	IGSF6	IGSF6	IGSF6	immunoglobulin superfamily, member 6	3869	0.18004904687404633	0.019815901	No	
row_33	CCL4	CCL4	CCL4	chemokine (C-C motif) ligand 4	3913	0.17715699970722198	0.02068224	No	
row_34	B2M	B2M	B2M	beta-2-microglobulin	4069	0.16493698954582214	0.013180823	No	
row_35	RPS3A	RPS3A	RPS3A	ribosomal protein S3A	4229	0.15407486259937286	0.005146704	No	
row_36	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	4310	0.14795272052288055	0.002684179	No	
row_37	PRF1	PRF1	PRF1	perforin 1 (pore forming protein)	4405	0.14174991846084595	-9.291851E-4	No	
row_38	GLMN	GLMN	GLMN	glomulin, FKBP associated protein	4461	0.13767676055431366	-0.0018155859	No	
row_39	GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	4524	0.13240352272987366	-0.0033261215	No	
row_40	CCL2	CCL2	CCL2	chemokine (C-C motif) ligand 2	4583	0.12732604146003723	-0.004661489	No	
row_41	EIF5A	EIF5A	EIF5A	eukaryotic translation initiation factor 5A	4690	0.11964765191078186	-0.009637795	No	
row_42	IFNGR2	IFNGR2	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	4740	0.11623022705316544	-0.010571664	No	
row_43	NME1	NME1	NME1	non-metastatic cells 1, protein (NM23A) expressed in	4805	0.11243168264627457	-0.012674709	No	
row_44	UBE2N	UBE2N	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	4881	0.10535728186368942	-0.015731348	No	
row_45	AKT1	AKT1	AKT1	v-akt murine thymoma viral oncogene homolog 1	4932	0.1022457480430603	-0.01705116	No	
