NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP2	IGFBP2	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	9	1.3015613555908203	0.019210735	No	
row_1	SDC1	SDC1	SDC1	syndecan 1	129	0.838162362575531	0.023388693	No	
row_2	GADD45A	GADD45A	GADD45A	growth arrest and DNA-damage-inducible, alpha	295	0.7036406993865967	0.02218459	No	
row_3	CTHRC1	CTHRC1	CTHRC1	collagen triple helix repeat containing 1	301	0.7016453742980957	0.032529976	No	
row_4	PFN2	PFN2	PFN2	profilin 2	326	0.6905935406684875	0.041331593	No	
row_5	CD44	CD44	CD44	CD44 molecule (Indian blood group)	495	0.6234831213951111	0.038687143	No	
row_6	SLC6A8	SLC6A8	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	707	0.5603274703025818	0.031966817	No	
row_7	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	768	0.5452328324317932	0.03594471	No	
row_8	CD59	CD59	CD59	CD59 molecule, complement regulatory protein	775	0.5438143610954285	0.043809187	No	
row_9	ITGA2	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	817	0.5314275622367859	0.048951525	No	
row_10	MMP1	MMP1	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	887	0.5198255777359009	0.05189033	No	
row_11	PMP22	PMP22	PMP22	peripheral myelin protein 22	952	0.5085808038711548	0.055019405	No	
row_12	IL8	IL8	IL8	interleukin 8	1028	0.49167391657829285	0.057094358	No	
row_13	CALU	CALU	CALU	calumenin	1050	0.48806509375572205	0.06302247	No	
row_14	SGCD	SGCD	SGCD	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	1138	0.4736012816429138	0.06395314	No	
row_15	GPC1	GPC1	GPC1	glypican 1	1153	0.47184857726097107	0.0701404	No	
row_16	CADM1	CADM1	null	null	1163	0.4700167179107666	0.07666159	No	
row_17	PVR	PVR	PVR	poliovirus receptor	1193	0.46476075053215027	0.08165507	No	
row_18	SNAI2	SNAI2	SNAI2	snail homolog 2 (Drosophila)	1381	0.43711963295936584	0.07479156	No	
row_19	VEGFA	VEGFA	null	null	1653	0.39897626638412476	0.0612665	No	
row_20	CALD1	CALD1	CALD1	caldesmon 1	1705	0.3912005126476288	0.0635452	No	
row_21	INHBA	INHBA	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	1858	0.3726361393928528	0.05823077	No	
row_22	GJA1	GJA1	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)	2207	0.3343222439289093	0.03814623	No	
row_23	PLAUR	PLAUR	PLAUR	plasminogen activator, urokinase receptor	2473	0.3050006628036499	0.023621336	No	
row_24	EDIL3	EDIL3	EDIL3	EGF-like repeats and discoidin I-like domains 3	2709	0.28098955750465393	0.010901262	No	
row_25	ITGAV	ITGAV	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	2726	0.2795834541320801	0.014009772	No	
row_26	SGCB	SGCB	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	3366	0.22436848282814026	-0.028813694	No	
row_27	TPM4	TPM4	TPM4	tropomyosin 4	3397	0.22168295085430145	-0.027602004	No	
row_28	SFRP1	SFRP1	SFRP1	secreted frizzled-related protein 1	3533	0.20998170971870422	-0.03416821	No	
row_29	VIM	VIM	VIM	vimentin	3541	0.209329292178154	-0.031480424	No	
row_30	PLOD2	PLOD2	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	3846	0.1822660267353058	-0.050700884	No	
row_31	SERPINE2	SERPINE2	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	4055	0.16591589152812958	-0.06322289	No	
row_32	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	4072	0.1648268699645996	-0.061865594	No	
row_33	PLOD3	PLOD3	PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	4278	0.1504296511411667	-0.0744068	No	
row_34	TPM1	TPM1	TPM1	tropomyosin 1 (alpha)	4482	0.13623635470867157	-0.08701985	No	
