NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AK4	AK4	null	null	0	1.7438948154449463	0.03111401	Yes	
row_1	MET	MET	MET	met proto-oncogene (hepatocyte growth factor receptor)	22	1.1312801837921143	0.049777202	Yes	
row_2	ARPP19	ARPP19	null	null	58	0.9641520380973816	0.06444471	Yes	
row_3	LDHA	LDHA	LDHA	lactate dehydrogenase A	103	0.877490758895874	0.076914296	Yes	
row_4	SDC1	SDC1	SDC1	syndecan 1	129	0.838162362575531	0.0900581	Yes	
row_5	TALDO1	TALDO1	TALDO1	transaldolase 1	135	0.8333673477172852	0.10456469	Yes	
row_6	PDK3	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	227	0.7407128810882568	0.11119035	Yes	
row_7	DSC2	DSC2	DSC2	desmocollin 2	246	0.7306249141693115	0.12292243	Yes	
row_8	PPP2CB	PPP2CB	PPP2CB	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	279	0.7101452350616455	0.13327529	Yes	
row_9	GNPDA1	GNPDA1	GNPDA1	glucosamine-6-phosphate deaminase 1	317	0.694148063659668	0.14298064	Yes	
row_10	CLN6	CLN6	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	328	0.6897348761558533	0.1545625	Yes	
row_11	TSTA3	TSTA3	TSTA3	tissue specific transplantation antigen P35B	330	0.6880928874015808	0.1667668	Yes	
row_12	HK2	HK2	HK2	hexokinase 2	336	0.6869287490844727	0.17866069	Yes	
row_13	EGLN3	EGLN3	EGLN3	egl nine homolog 3 (C. elegans)	339	0.6850873231887817	0.19073896	Yes	
row_14	CD44	CD44	CD44	CD44 molecule (Indian blood group)	495	0.6234831213951111	0.1906384	Yes	
row_15	IL13RA1	IL13RA1	IL13RA1	interleukin 13 receptor, alpha 1	503	0.6199475526809692	0.20119238	Yes	
row_16	CTH	CTH	CTH	cystathionase (cystathionine gamma-lyase)	510	0.616923451423645	0.21176483	Yes	
row_17	UGP2	UGP2	UGP2	UDP-glucose pyrophosphorylase 2	518	0.615056037902832	0.22223155	Yes	
row_18	HOMER1	HOMER1	HOMER1	homer homolog 1 (Drosophila)	596	0.5898516774177551	0.22717942	Yes	
row_19	HS2ST1	HS2ST1	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	639	0.5765238404273987	0.23442407	Yes	
row_20	COPB2	COPB2	COPB2	coatomer protein complex, subunit beta 2 (beta prime)	652	0.5735207200050354	0.24378765	Yes	
row_21	GYS1	GYS1	GYS1	glycogen synthase 1 (muscle)	713	0.5583822727203369	0.24940513	Yes	
row_22	DEPDC1	DEPDC1	DEPDC1	DEP domain containing 1	730	0.5551044344902039	0.25815046	Yes	
row_23	STC2	STC2	STC2	stanniocalcin 2	766	0.5454784035682678	0.26534814	Yes	
row_24	TXN	TXN	TXN	thioredoxin	781	0.5426192879676819	0.27401555	Yes	
row_25	NANP	NANP	NANP	N-acetylneuraminic acid phosphatase	804	0.5352749228477478	0.2819726	Yes	
row_26	PGAM1	PGAM1	PGAM1	phosphoglycerate mutase 1 (brain)	819	0.5312352180480957	0.29043686	Yes	
row_27	NOL3	NOL3	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)	837	0.5287906527519226	0.2986403	Yes	
row_28	GALK2	GALK2	GALK2	galactokinase 2	869	0.5231335759162903	0.30572897	Yes	
row_29	RPE	RPE	RPE	ribulose-5-phosphate-3-epimerase	1037	0.49013373255729675	0.30238023	Yes	
row_30	KDELR3	KDELR3	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	1062	0.4857694208621979	0.30930915	Yes	
row_31	SLC35A3	SLC35A3	SLC35A3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3	1132	0.47418761253356934	0.31277272	Yes	
row_32	GPC1	GPC1	GPC1	glypican 1	1153	0.47184857726097107	0.31974298	Yes	
row_33	SLC37A4	SLC37A4	SLC37A4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	1159	0.47071707248687744	0.32777926	Yes	
row_34	EXT1	EXT1	EXT1	exostoses (multiple) 1	1176	0.4679376482963562	0.3349694	Yes	
row_35	ERO1L	ERO1L	ERO1L	ERO1-like (S. cerevisiae)	1277	0.4502910375595093	0.3357617	Yes	
row_36	P4HA1	P4HA1	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	1470	0.42535483837127686	0.32944676	Yes	
row_37	GFPT1	GFPT1	GFPT1	glutamine-fructose-6-phosphate transaminase 1	1494	0.42264705896377563	0.3353219	Yes	
row_38	MXI1	MXI1	MXI1	MAX interactor 1	1505	0.42120611667633057	0.34211278	Yes	
row_39	B4GALT4	B4GALT4	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	1564	0.41178974509239197	0.34525964	Yes	
row_40	ANG	ANG	ANG	angiogenin, ribonuclease, RNase A family, 5	1574	0.41041648387908936	0.3519304	Yes	
row_41	MDH2	MDH2	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	1606	0.4053739309310913	0.35691804	Yes	
