NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1C1	ATP6V1C1	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	28	1.0870195627212524	0.018211888	Yes	
row_1	LDHA	LDHA	LDHA	lactate dehydrogenase A	103	0.877490758895874	0.02918323	Yes	
row_2	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	150	0.8074777126312256	0.04088277	Yes	
row_3	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	414	0.6526587009429932	0.03395046	Yes	
row_4	NDUFB4	NDUFB4	NDUFB4	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa	481	0.6265593767166138	0.040829204	Yes	
row_5	PDHX	PDHX	PDHX	pyruvate dehydrogenase complex, component X	676	0.5679359436035156	0.03732669	Yes	
row_6	FDX1	FDX1	FDX1	ferredoxin 1	724	0.5564715266227722	0.044279076	Yes	
row_7	TOMM70A	TOMM70A	TOMM70A	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)	847	0.526890754699707	0.045237504	Yes	
row_8	CYCS	CYCS	CYCS	cytochrome c, somatic	866	0.5235859155654907	0.0536821	Yes	
row_9	TIMM8B	TIMM8B	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B (yeast)	980	0.5024094581604004	0.05483777	Yes	
row_10	OAT	OAT	OAT	ornithine aminotransferase (gyrate atrophy)	983	0.5015761852264404	0.064033665	Yes	
row_11	PRDX3	PRDX3	PRDX3	peroxiredoxin 3	1069	0.48486414551734924	0.06689466	Yes	
row_12	DLAT	DLAT	DLAT	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	1071	0.4844786524772644	0.075844705	Yes	
row_13	MTX2	MTX2	MTX2	metaxin 2	1136	0.4738142490386963	0.080023974	Yes	
row_14	SDHD	SDHD	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	1211	0.4618176519870758	0.083254084	Yes	
row_15	ACAT1	ACAT1	ACAT1	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	1249	0.4545537531375885	0.08903416	Yes	
row_16	ISCA1	ISCA1	null	null	1280	0.4499485492706299	0.095236495	Yes	
row_17	NDUFA5	NDUFA5	NDUFA5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	1345	0.4415171444416046	0.09881428	Yes	
row_18	ECHS1	ECHS1	ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	1393	0.4358840882778168	0.10352092	Yes	
row_19	ATP6V1G1	ATP6V1G1	ATP6V1G1	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	1425	0.43222010135650635	0.109320514	Yes	
row_20	OPA1	OPA1	OPA1	optic atrophy 1 (autosomal dominant)	1426	0.43199291825294495	0.11736568	Yes	
row_21	VDAC2	VDAC2	VDAC2	voltage-dependent anion channel 2	1515	0.41983217000961304	0.11879784	Yes	
