NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NINJ1	NINJ1	NINJ1	ninjurin 1	50	0.5003999471664429	0.018146085	Yes	
row_1	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	53	0.4977445602416992	0.039644167	Yes	
row_2	SPINT2	SPINT2	SPINT2	serine peptidase inhibitor, Kunitz type, 2	128	0.4355882406234741	0.05323843	Yes	
row_3	SLC6A6	SLC6A6	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	133	0.43358492851257324	0.071802296	Yes	
row_4	JUP	JUP	JUP	junction plakoglobin	145	0.42752113938331604	0.08959682	Yes	
row_5	CA2	CA2	CA2	carbonic anhydrase II	193	0.41077667474746704	0.10406269	Yes	
row_6	TMEM176B	TMEM176B	TMEM176B	transmembrane protein 176B	225	0.3979939818382263	0.11912857	Yes	
row_7	FBP1	FBP1	FBP1	fructose-1,6-bisphosphatase 1	256	0.38789522647857666	0.13382758	Yes	
row_8	VNN1	VNN1	VNN1	vanin 1	278	0.3798943758010864	0.14882886	Yes	
row_9	CYP27A1	CYP27A1	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	287	0.3775634765625	0.16466789	Yes	
row_10	KYNU	KYNU	KYNU	kynureninase (L-kynurenine hydrolase)	320	0.36694028973579407	0.17831127	Yes	
row_11	GSTM4	GSTM4	GSTM4	glutathione S-transferase M4	321	0.3667961359024048	0.19426003	Yes	
row_12	CBR1	CBR1	CBR1	carbonyl reductase 1	344	0.3604554533958435	0.20834383	Yes	
row_13	PTGR1	PTGR1	null	null	407	0.3457017242908478	0.21889658	Yes	
row_14	PSMB10	PSMB10	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	498	0.3241937458515167	0.22649145	Yes	
row_15	ENPEP	ENPEP	ENPEP	glutamyl aminopeptidase (aminopeptidase A)	653	0.29229140281677246	0.22807589	Yes	
row_16	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	660	0.2914324998855591	0.24031432	Yes	
row_17	ACP2	ACP2	ACP2	acid phosphatase 2, lysosomal	676	0.2870694696903229	0.25171286	Yes	
row_18	BLVRB	BLVRB	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	745	0.2766668200492859	0.25883046	Yes	
row_19	ASL	ASL	ASL	argininosuccinate lyase	1011	0.24010495841503143	0.2501273	Yes	
row_20	PGD	PGD	PGD	phosphogluconate dehydrogenase	1059	0.23549066483974457	0.25697148	Yes	
