NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAPN5	CAPN5	CAPN5	calpain 5	5	0.8554350733757019	0.04295884	Yes	
row_1	C2	C2	C2	complement component 2	7	0.8388986587524414	0.085368246	Yes	
row_2	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	172	0.515080451965332	0.09964544	Yes	
row_3	C1QA	C1QA	C1QA	complement component 1, q subcomponent, A chain	254	0.4728076159954071	0.11775706	Yes	
row_4	ITGB3	ITGB3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	421	0.41524264216423035	0.12683456	Yes	
row_5	C1S	C1S	C1S	complement component 1, s subcomponent	514	0.39234209060668945	0.14007956	Yes	
row_6	A2M	A2M	A2M	alpha-2-macroglobulin	544	0.3858310878276825	0.15753016	Yes	
row_7	CFB	CFB	CFB	complement factor B	561	0.3812611997127533	0.1756852	Yes	
row_8	CFI	CFI	CFI	complement factor I	565	0.3800172805786133	0.19471312	Yes	
row_9	APOC2	APOC2	APOC2	apolipoprotein C-II	702	0.35308679938316345	0.20280273	Yes	
row_10	P2RY1	P2RY1	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	754	0.345602810382843	0.21663244	Yes	
row_11	RABIF	RABIF	RABIF	RAB interacting factor	758	0.344787061214447	0.2338763	Yes	
row_12	CTSH	CTSH	CTSH	cathepsin H	866	0.32719579339027405	0.2427425	Yes	
row_13	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	889	0.32335272431373596	0.25753316	Yes	
row_14	SERPING1	SERPING1	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	1066	0.2978847622871399	0.2599478	Yes	
row_15	CTSB	CTSB	CTSB	cathepsin B	1137	0.2886184751987457	0.26952407	Yes	
row_16	ANG	ANG	ANG	angiogenin, ribonuclease, RNase A family, 5	1347	0.2619917690753937	0.26774547	Yes	
row_17	PLEK	PLEK	PLEK	pleckstrin	1375	0.2583846151828766	0.27888623	Yes	
row_18	C1R	C1R	C1R	complement component 1, r subcomponent	1384	0.25749367475509644	0.29134968	Yes	
row_19	PLAU	PLAU	PLAU	plasminogen activator, urokinase	1660	0.22739529609680176	0.28306785	Yes	
row_20	SPARC	SPARC	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1715	0.22149793803691864	0.290397	Yes	
