NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD21	RAD21	RAD21	RAD21 homolog (S. pombe)	119	0.5441188216209412	0.010071728	Yes	
row_1	MCM2	MCM2	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	134	0.5354157090187073	0.02746343	Yes	
row_2	PTTG1	PTTG1	PTTG1	pituitary tumor-transforming 1	155	0.5225657820701599	0.043977972	Yes	
row_3	CDKN2C	CDKN2C	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	215	0.4898553490638733	0.056537945	Yes	
row_4	MAPK14	MAPK14	MAPK14	mitogen-activated protein kinase 14	268	0.46639731526374817	0.06879938	Yes	
row_5	PBK	PBK	PBK	PDZ binding kinase	464	0.4045732021331787	0.068558685	Yes	
row_6	CUL5	CUL5	CUL5	cullin 5	648	0.3641258180141449	0.067798175	Yes	
row_7	RPS6KA5	RPS6KA5	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	677	0.35955312848091125	0.07812783	Yes	
row_8	PURA	PURA	PURA	purine-rich element binding protein A	694	0.3550260066986084	0.08917261	Yes	
row_9	TOP2A	TOP2A	TOP2A	topoisomerase (DNA) II alpha 170kDa	785	0.3401084542274475	0.09433481	Yes	
row_10	ATF5	ATF5	ATF5	activating transcription factor 5	802	0.3383326232433319	0.10480566	Yes	
row_11	ATRX	ATRX	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	939	0.3152809739112854	0.10577637	Yes	
row_12	CENPE	CENPE	CENPE	centromere protein E, 312kDa	992	0.30734479427337646	0.11256957	Yes	
row_13	HMMR	HMMR	HMMR	hyaluronan-mediated motility receptor (RHAMM)	1125	0.28929612040519714	0.11293717	Yes	
row_14	CHMP1A	CHMP1A	null	null	1260	0.2730710208415985	0.11260182	Yes	
row_15	RACGAP1	RACGAP1	RACGAP1	Rac GTPase activating protein 1	1274	0.2709178626537323	0.12097265	Yes	
row_16	MCM3	MCM3	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	1401	0.2557189166545868	0.12062124	Yes	
row_17	TMPO	TMPO	TMPO	thymopoietin	1470	0.24881140887737274	0.12424105	Yes	
row_18	E2F2	E2F2	E2F2	E2F transcription factor 2	1490	0.24667833745479584	0.13134314	Yes	
row_19	HSPA8	HSPA8	HSPA8	heat shock 70kDa protein 8	1526	0.24264995753765106	0.13714571	Yes	
row_20	CASC5	CASC5	CASC5	cancer susceptibility candidate 5	1539	0.24109388887882233	0.14456376	Yes	
row_21	CCNF	CCNF	CCNF	cyclin F	1609	0.23307479918003082	0.14756998	Yes	
row_22	CDC25B	CDC25B	CDC25B	cell division cycle 25B	1674	0.22595618665218353	0.15069428	Yes	
row_23	EFNA5	EFNA5	EFNA5	ephrin-A5	1678	0.22534511983394623	0.15822396	Yes	
row_24	SMC1A	SMC1A	SMC1A	structural maintenance of chromosomes 1A	1825	0.21130427718162537	0.15489429	Yes	
row_25	ORC5	ORC5	null	null	1926	0.2025662213563919	0.15460216	Yes	
row_26	ESPL1	ESPL1	ESPL1	extra spindle poles like 1 (S. cerevisiae)	1967	0.19958312809467316	0.15856127	Yes	
row_27	LMNB1	LMNB1	LMNB1	lamin B1	2150	0.18267357349395752	0.151635	Yes	
row_28	MAD2L1	MAD2L1	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	2260	0.17597347497940063	0.14977553	Yes	
row_29	NUSAP1	NUSAP1	NUSAP1	nucleolar and spindle associated protein 1	2300	0.17291352152824402	0.15289032	Yes	
