NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	151	0.526207685470581	0.009393902	No	
row_1	ITGB4	ITGB4	ITGB4	integrin, beta 4	297	0.4558393657207489	0.016507348	No	
row_2	EPHB3	EPHB3	EPHB3	EPH receptor B3	371	0.43071848154067993	0.027848044	No	
row_3	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	423	0.4144276976585388	0.040148206	No	
row_4	PC	PC	PC	pyruvate carboxylase	536	0.3875030279159546	0.047008026	No	
row_5	LARGE	LARGE	LARGE	like-glycosyltransferase	554	0.38249364495277405	0.06053042	No	
row_6	MRAS	MRAS	MRAS	muscle RAS oncogene homolog	608	0.37221503257751465	0.0710585	No	
row_7	DAPK2	DAPK2	DAPK2	death-associated protein kinase 2	699	0.3535202741622925	0.078195564	No	
row_8	SLC6A8	SLC6A8	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	878	0.32545042037963867	0.07789966	No	
row_9	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	889	0.32335272431373596	0.0896467	No	
row_10	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	1217	0.27749940752983093	0.07674908	No	
row_11	EFS	EFS	EFS	embryonal Fyn-associated substrate	1355	0.26081687211990356	0.07691965	No	
row_12	PFKM	PFKM	PFKM	phosphofructokinase, muscle	1507	0.2446962296962738	0.07545829	No	
row_13	SOD3	SOD3	SOD3	superoxide dismutase 3, extracellular	1562	0.23794707655906677	0.08073674	No	
row_14	SPARC	SPARC	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1715	0.22149793803691864	0.078308664	No	
row_15	ATP6AP1	ATP6AP1	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	1782	0.2152682989835739	0.08184662	No	
row_16	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	1800	0.21356673538684845	0.08885508	No	
row_17	AGL	AGL	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	1892	0.2056158035993576	0.09021668	No	
row_18	PPP1R3C	PPP1R3C	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	1938	0.20157934725284576	0.09474226	No	
row_19	NAV2	NAV2	NAV2	neuron navigator 2	2163	0.18178284168243408	0.085586816	No	
row_20	PTP4A3	PTP4A3	PTP4A3	protein tyrosine phosphatase type IVA, member 3	2296	0.1731334775686264	0.08273709	No	
row_21	SCD	SCD	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	2318	0.17189668118953705	0.08785006	No	
row_22	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	2415	0.16351033747196198	0.08722722	No	
row_23	PRNP	PRNP	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	2564	0.15345478057861328	0.08246402	No	
row_24	CRYAB	CRYAB	CRYAB	crystallin, alpha B	2575	0.15277767181396484	0.08763357	No	
row_25	SGCD	SGCD	SGCD	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	2750	0.14114239811897278	0.08051929	No	
row_26	GABARAPL2	GABARAPL2	GABARAPL2	GABA(A) receptor-associated protein-like 2	2930	0.12946057319641113	0.07259371	No	
row_27	ACSL1	ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	2970	0.12622813880443573	0.0746467	No	
row_28	FOXO4	FOXO4	null	null	3454	0.10019606351852417	0.043654293	No	
row_29	GJA5	GJA5	GJA5	gap junction protein, alpha 5, 40kDa (connexin 40)	3537	0.09539816528558731	0.041415323	No	
row_30	MEF2A	MEF2A	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	3538	0.09534047544002533	0.045091715	No	
row_31	COX7A1	COX7A1	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	3637	0.088398776948452	0.041428193	No	
row_32	IFRD1	IFRD1	IFRD1	interferon-related developmental regulator 1	3704	0.08436315506696701	0.03991836	No	
row_33	ADCY9	ADCY9	ADCY9	adenylate cyclase 9	3813	0.07791424542665482	0.035128888	No	
row_34	PLXNB2	PLXNB2	PLXNB2	plexin B2	4254	0.05346744880080223	0.0054377266	No	
row_35	SVIL	SVIL	SVIL	supervillin	4406	0.04573807120323181	-0.003695602	No	
