NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD5	FZD5	FZD5	frizzled homolog 5 (Drosophila)	437	0.41136085987091064	0.03789337	No	
row_1	ARRB1	ARRB1	ARRB1	arrestin, beta 1	519	0.39164668321609497	0.09799605	No	
row_2	PPARD	PPARD	PPARD	peroxisome proliferative activated receptor, delta	1652	0.22813352942466736	0.055218745	No	
row_3	TCF7L2	TCF7L2	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	3056	0.12138359993696213	-0.024955759	No	
row_4	SKP1	SKP1	null	null	3676	0.08585290610790253	-0.05489294	No	
row_5	JAG1	JAG1	JAG1	jagged 1 (Alagille syndrome)	4175	0.05784342810511589	-0.080867544	No	
row_6	DTX2	DTX2	DTX2	deltex homolog 2 (Drosophila)	4450	0.04342819005250931	-0.09320617	No	
row_7	KAT2A	KAT2A	null	null	4469	0.04243497923016548	-0.08735541	No	
row_8	RBX1	RBX1	RBX1	ring-box 1	5057	0.014386666938662529	-0.12702519	No	
row_9	NOTCH1	NOTCH1	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	5445	-0.0022942237555980682	-0.15438898	No	
row_10	CUL1	CUL1	CUL1	cullin 1	5616	-0.010532972402870655	-0.16480625	No	
row_11	FZD7	FZD7	FZD7	frizzled homolog 7 (Drosophila)	5859	-0.021231800317764282	-0.17858577	No	
row_12	LFNG	LFNG	LFNG	lunatic fringe homolog (Drosophila)	7160	-0.07617679983377457	-0.25898254	No	
row_13	SAP30	SAP30	SAP30	Sin3A-associated protein, 30kDa	7547	-0.09218719601631165	-0.27114642	No	
row_14	NOTCH3	NOTCH3	NOTCH3	Notch homolog 3 (Drosophila)	8706	-0.13919684290885925	-0.33075535	No	
row_15	APH1A	APH1A	APH1A	anterior pharynx defective 1 homolog A (C. elegans)	8950	-0.14911670982837677	-0.32308462	No	
row_16	FBXW11	FBXW11	FBXW11	F-box and WD-40 domain protein 11	9425	-0.17002587020397186	-0.32845896	No	
row_17	PSEN2	PSEN2	PSEN2	presenilin 2 (Alzheimer disease 4)	9588	-0.1767590045928955	-0.3103282	No	
row_18	DTX4	DTX4	DTX4	deltex 4 homolog (Drosophila)	9595	-0.17711950838565826	-0.2809507	No	
row_19	MAML2	MAML2	MAML2	mastermind-like 2 (Drosophila)	11375	-0.2649686336517334	-0.3639222	Yes	
row_20	PSENEN	PSENEN	PSENEN	presenilin enhancer 2 homolog (C. elegans)	11523	-0.2728230357170105	-0.3285491	Yes	
row_21	FZD1	FZD1	FZD1	frizzled homolog 1 (Drosophila)	11565	-0.275086909532547	-0.28519422	Yes	
row_22	HES1	HES1	HES1	hairy and enhancer of split 1, (Drosophila)	11895	-0.29444608092308044	-0.25923243	Yes	
row_23	CCND1	CCND1	CCND1	cyclin D1	12318	-0.32051900029182434	-0.2355514	Yes	
row_24	HEYL	HEYL	HEYL	hairy/enhancer-of-split related with YRPW motif-like	12541	-0.3371948301792145	-0.19472294	Yes	
row_25	ST3GAL6	ST3GAL6	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	13132	-0.389351487159729	-0.17150444	Yes	
row_26	DLL1	DLL1	DLL1	delta-like 1 (Drosophila)	13169	-0.3950917720794678	-0.10759524	Yes	
row_27	PRKCA	PRKCA	PRKCA	protein kinase C, alpha	13500	-0.44410669803619385	-0.056518577	Yes	
row_28	NOTCH2	NOTCH2	NOTCH2	Notch homolog 2 (Drosophila)	13802	-0.5373721122741699	0.01233331	Yes	
