NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	SMAD6	SMAD6	SMAD, mothers against DPP homolog 6 (Drosophila)	374	0.4299583435058594	0.015027096	No	
row_1	APC	APC	APC	adenomatosis polyposis coli	410	0.41856321692466736	0.053290512	No	
row_2	TGFBR1	TGFBR1	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	1518	0.24297916889190674	-0.0025411104	No	
row_3	IFNGR2	IFNGR2	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	2122	0.1849755346775055	-0.027827037	No	
row_4	KLF10	KLF10	KLF10	Kruppel-like factor 10	2662	0.146876260638237	-0.052228272	No	
row_5	ID1	ID1	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	2945	0.1281452625989914	-0.059996966	No	
row_6	ACVR1	ACVR1	ACVR1	activin A receptor, type I	3094	0.11884807795286179	-0.059047736	No	
row_7	UBE2D3	UBE2D3	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	3350	0.10593940317630768	-0.06704067	No	
row_8	XIAP	XIAP	null	null	4128	0.06113394722342491	-0.11688784	No	
row_9	TRIM33	TRIM33	TRIM33	tripartite motif-containing 33	4139	0.06032845377922058	-0.11172873	No	
row_10	CTNNB1	CTNNB1	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	4473	0.04196202754974365	-0.13155627	No	
row_11	ARID4B	ARID4B	ARID4B	AT rich interactive domain 4B (RBP1- like)	5041	0.015018689446151257	-0.17081419	No	
row_12	PPM1A	PPM1A	PPM1A	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	5237	0.006152757443487644	-0.18421938	No	
row_13	SKIL	SKIL	SKIL	SKI-like	5726	-0.015076269395649433	-0.21779802	No	
row_14	SMAD3	SMAD3	SMAD3	SMAD, mothers against DPP homolog 3 (Drosophila)	5954	-0.02503415197134018	-0.23166195	No	
row_15	ID2	ID2	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	5957	-0.025067148730158806	-0.2293635	No	
row_16	SPTBN1	SPTBN1	SPTBN1	spectrin, beta, non-erythrocytic 1	5996	-0.026960531249642372	-0.22946607	No	
row_17	SMAD7	SMAD7	SMAD7	SMAD, mothers against DPP homolog 7 (Drosophila)	6004	-0.027178119868040085	-0.22732106	No	
row_18	HDAC1	HDAC1	HDAC1	histone deacetylase 1	6954	-0.06841080635786057	-0.28881207	No	
row_19	FKBP1A	FKBP1A	FKBP1A	FK506 binding protein 1A, 12kDa	7023	-0.07121691107749939	-0.28675768	No	
row_20	PPP1CA	PPP1CA	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform	7196	-0.07772675901651382	-0.29153818	No	
row_21	FURIN	FURIN	FURIN	furin (paired basic amino acid cleaving enzyme)	7367	-0.08408815413713455	-0.29555532	No	
row_22	FNTA	FNTA	FNTA	farnesyltransferase, CAAX box, alpha	7933	-0.10810408741235733	-0.32560107	No	
row_23	BMP2	BMP2	BMP2	bone morphogenetic protein 2	7983	-0.11048094183206558	-0.31835696	No	
