NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
PSRC1	PSRC1	PSRC1	proline/serine-rich coiled-coil 1	0.99477434	
SLC39A4	SLC39A4	SLC39A4	solute carrier family 39 (zinc transporter), member 4	0.9349825	
IFI27	IFI27	IFI27	interferon, alpha-inducible protein 27	0.93045765	
RBMXL1	RBMXL1	RBMXL1	RNA binding motif protein, X-linked-like 1	0.90825695	
PTGES3P1	PTGES3P1	null	null	0.899857	
CAPN5	CAPN5	CAPN5	calpain 5	0.8554351	
BTN2A3P	BTN2A3P	null	null	0.85185283	
C2	C2	C2	complement component 2	0.83889866	
APOL1	APOL1	APOL1	apolipoprotein L, 1	0.8362347	
AP1S2	AP1S2	AP1S2	adaptor-related protein complex 1, sigma 2 subunit	0.8157841	
RP11-486O12.2	RP11-486O12.2	null	null	0.7974114	
SNX16	SNX16	SNX16	sorting nexin 16	0.7908802	
PCDHGB2	PCDHGB2	PCDHGB2	protocadherin gamma subfamily B, 2	0.7809526	
TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	0.77506506	
MPHOSPH9	MPHOSPH9	MPHOSPH9	M-phase phosphoprotein 9	0.7593869	
NBN	NBN	NBN	nibrin	0.7503967	
ZNF563	ZNF563	ZNF563	zinc finger protein 563	0.73454195	
ZNF440	ZNF440	ZNF440	zinc finger protein 440	0.72779816	
SULT1A1	SULT1A1	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	0.7089151	
TUFT1	TUFT1	TUFT1	tuftelin 1	0.7087313	
MAF	MAF	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.7050322	
TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.70281744	
GBP1	GBP1	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	0.7010879	
CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	0.69818336	
C8orf59	C8orf59	C8ORF59	chromosome 8 open reading frame 59	0.6976759	
GAREML	GAREML	null	null	0.69664097	
RTP4	RTP4	RTP4	receptor transporter protein 4	0.69373137	
SUCNR1	SUCNR1	SUCNR1	succinate receptor 1	0.69088745	
NXT2	NXT2	NXT2	nuclear transport factor 2-like export factor 2	0.6894571	
FAM91A1	FAM91A1	FAM91A1	family with sequence similarity 91, member A1	0.68502635	
BATF2	BATF2	BATF2	basic leucine zipper transcription factor, ATF-like 2	0.6799503	
ZNF468	ZNF468	ZNF468	zinc finger protein 468	0.6798868	
APOL2	APOL2	APOL2	apolipoprotein L, 2	0.67800516	
ENY2	ENY2	ENY2	enhancer of yellow 2 homolog (Drosophila)	0.6693639	
ASB9	ASB9	ASB9	ankyrin repeat and SOCS box-containing 9	0.66692275	
APOL6	APOL6	APOL6	apolipoprotein L, 6	0.6643862	
VCPIP1	VCPIP1	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	0.6598824	
ATAD2	ATAD2	ATAD2	ATPase family, AAA domain containing 2	0.65974665	
ARHGEF34P	ARHGEF34P	null	null	0.65935165	
ARHGEF10L	ARHGEF10L	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	0.65491796	
OSBPL8	OSBPL8	OSBPL8	oxysterol binding protein-like 8	0.65234107	
TXNL4B	TXNL4B	TXNL4B	thioredoxin-like 4B	0.65208733	
HLA-A	HLA-A	HLA-A	major histocompatibility complex, class I, A	0.64923424	
EIF4E3	EIF4E3	EIF4E3	eukaryotic translation initiation factor 4E member 3	0.64615977	
ZFX	ZFX	ZFX	zinc finger protein, X-linked	0.63916355	
FCGR1B	FCGR1B	FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	0.63829136	
RNF19A	RNF19A	null	null	0.6361583	
TRAM1	TRAM1	TRAM1	translocation associated membrane protein 1	0.63534904	
SH3D21	SH3D21	null	null	0.6350992	
JHDM1D-AS1	JHDM1D-AS1	null	null	0.6323431	
ZNF701	ZNF701	ZNF701	zinc finger protein 701	0.6315221	
ZNF16	ZNF16	ZNF16	zinc finger protein 16	0.6315174	
UBR2	UBR2	UBR2	ubiquitin protein ligase E3 component n-recognin 2	0.63055456	
CECR6	CECR6	CECR6	cat eye syndrome chromosome region, candidate 6	0.6298251	
PRRG4	PRRG4	PRRG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	0.62893087	
KCNE3	KCNE3	KCNE3	potassium voltage-gated channel, Isk-related family, member 3	0.6275972	
GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	0.6274506	
