NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	52	1.067726492881775	0.016443484	No	
row_1	IL32	IL32	IL32	interleukin 32	236	0.8777911067008972	0.019811323	No	
row_2	PDLIM4	PDLIM4	PDLIM4	PDZ and LIM domain 4	316	0.8292918801307678	0.029788263	No	
row_3	ITGB3	ITGB3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	513	0.7405989766120911	0.029618843	No	
row_4	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	731	0.6615545153617859	0.026433619	No	
row_5	COL8A2	COL8A2	COL8A2	collagen, type VIII, alpha 2	860	0.6177393198013306	0.028860524	No	
row_6	CAPG	CAPG	CAPG	capping protein (actin filament), gelsolin-like	1131	0.5462641716003418	0.01965755	No	
row_7	EFEMP2	EFEMP2	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	1516	0.4713723063468933	7.865266E-4	No	
row_8	CADM1	CADM1	null	null	1533	0.4678049087524414	0.008481846	No	
row_9	SFRP4	SFRP4	SFRP4	secreted frizzled-related protein 4	1627	0.45326173305511475	0.010329087	No	
row_10	SPARC	SPARC	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1644	0.4505544900894165	0.017697938	No	
row_11	FMOD	FMOD	FMOD	fibromodulin	1646	0.45047610998153687	0.026150925	No	
row_12	LRP1	LRP1	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	1709	0.44175028800964355	0.030023923	No	
row_13	CXCL12	CXCL12	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	1725	0.43894097208976746	0.03724536	No	
row_14	PLOD1	PLOD1	PLOD1	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	2035	0.39273250102996826	0.022314155	No	
row_15	TGM2	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	2048	0.39113450050354004	0.028847968	No	
row_16	PCOLCE2	PCOLCE2	PCOLCE2	procollagen C-endopeptidase enhancer 2	2154	0.37667280435562134	0.028377252	No	
row_17	SFRP1	SFRP1	SFRP1	secreted frizzled-related protein 1	2396	0.34190449118614197	0.017405588	No	
row_18	TIMP3	TIMP3	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	2551	0.3213365375995636	0.012341265	No	
row_19	NNMT	NNMT	NNMT	nicotinamide N-methyltransferase	2583	0.31801941990852356	0.016116241	No	
row_20	COPA	COPA	COPA	coatomer protein complex, subunit alpha	2966	0.2743871808052063	-0.0063380226	No	
row_21	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	2975	0.27400779724121094	-0.0017313603	No	
row_22	ECM1	ECM1	ECM1	extracellular matrix protein 1	3040	0.2659703195095062	-0.0013297875	No	
row_23	BMP1	BMP1	BMP1	bone morphogenetic protein 1	3187	0.2502409517765045	-0.0071606147	No	
row_24	IGFBP2	IGFBP2	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	3206	0.2481028288602829	-0.0037679558	No	
row_25	SNAI2	SNAI2	SNAI2	snail homolog 2 (Drosophila)	3411	0.22777192294597626	-0.014221742	No	
row_26	SDC4	SDC4	SDC4	syndecan 4 (amphiglycan, ryudocan)	3588	0.21237406134605408	-0.022940448	No	
row_27	WIPF1	WIPF1	WIPF1	WAS/WASL interacting protein family, member 1	3822	0.19180692732334137	-0.036173742	No	
row_28	MXRA5	MXRA5	MXRA5	matrix-remodelling associated 5	4022	0.1724853366613388	-0.047311965	No	
row_29	SERPINE2	SERPINE2	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	4050	0.1698368936777115	-0.04605188	No	
row_30	COL5A3	COL5A3	COL5A3	collagen, type V, alpha 3	4158	0.16014377772808075	-0.050765205	No	
row_31	LEPRE1	LEPRE1	LEPRE1	leucine proline-enriched proteoglycan (leprecan) 1	4420	0.14136762917041779	-0.066979565	No	
row_32	SERPINH1	SERPINH1	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	4450	0.13915176689624786	-0.06644495	No	
row_33	BGN	BGN	BGN	biglycan	4577	0.13038590550422668	-0.07309657	No	
row_34	PPIB	PPIB	PPIB	peptidylprolyl isomerase B (cyclophilin B)	4655	0.12390613555908203	-0.07632446	No	
row_35	QSOX1	QSOX1	null	null	4800	0.11196015775203705	-0.08462754	No	
row_36	FZD8	FZD8	FZD8	frizzled homolog 8 (Drosophila)	5331	0.0726478323340416	-0.12161121	No	
row_37	TIMP1	TIMP1	TIMP1	TIMP metallopeptidase inhibitor 1	5409	0.06651489436626434	-0.12592524	No	
row_38	VCAM1	VCAM1	VCAM1	vascular cell adhesion molecule 1	5523	0.05716979131102562	-0.13302162	No	
row_39	PCOLCE	PCOLCE	PCOLCE	procollagen C-endopeptidase enhancer	5606	0.05231870338320732	-0.1379662	No	
row_40	ENO2	ENO2	ENO2	enolase 2 (gamma, neuronal)	5647	0.04951286315917969	-0.13992414	No	
row_41	GPX7	GPX7	GPX7	glutathione peroxidase 7	5944	0.027252783998847008	-0.16083126	No	
