NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	52	1.067726492881775	0.026716026	Yes	
row_1	PC	PC	PC	pyruvate carboxylase	311	0.830853283405304	0.031806502	Yes	
row_2	LARGE	LARGE	LARGE	like-glycosyltransferase	735	0.6595249176025391	0.020100618	Yes	
row_3	SYNGR2	SYNGR2	SYNGR2	synaptogyrin 2	864	0.6162843704223633	0.0284497	Yes	
row_4	OCEL1	OCEL1	OCEL1	occludin/ELL domain containing 1	908	0.6050183773040771	0.042611375	Yes	
row_5	LSP1	LSP1	LSP1	lymphocyte-specific protein 1	1086	0.5583931803703308	0.045772355	Yes	
row_6	DAPK2	DAPK2	DAPK2	death-associated protein kinase 2	1216	0.5225539803504944	0.05137458	Yes	
row_7	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	1280	0.5103834867477417	0.061392445	Yes	
row_8	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	1364	0.4975125193595886	0.06959971	Yes	
row_9	ATP6AP1	ATP6AP1	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	1416	0.4880260229110718	0.07984557	Yes	
row_10	SCD	SCD	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	1510	0.47190138697624207	0.08660033	Yes	
row_11	CFD	CFD	CFD	complement factor D (adipsin)	1625	0.45361489057540894	0.0913178	Yes	
row_12	SPARC	SPARC	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1644	0.4505544900894165	0.102875836	Yes	
row_13	ITGB4	ITGB4	ITGB4	integrin, beta 4	1645	0.4505234360694885	0.11573198	Yes	
row_14	MRAS	MRAS	MRAS	muscle RAS oncogene homolog	1663	0.4479079842567444	0.12728666	Yes	
row_15	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	1734	0.43779438734054565	0.13472795	Yes	
