NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX9	SOX9	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	49	1.4573893547058105	0.018974258	Yes	
row_1	MPZL2	MPZL2	null	null	101	1.2476197481155396	0.034563065	Yes	
row_2	SEMA3B	SEMA3B	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	127	1.194945216178894	0.05121749	Yes	
row_3	CROT	CROT	CROT	carnitine O-octanoyltransferase	246	1.0448588132858276	0.058830556	Yes	
row_4	EMP1	EMP1	EMP1	epithelial membrane protein 1	279	1.0179036855697632	0.07224374	Yes	
row_5	LY96	LY96	LY96	lymphocyte antigen 96	289	1.0031803846359253	0.08709203	Yes	
row_6	GPNMB	GPNMB	GPNMB	glycoprotein (transmembrane) nmb	311	0.9822578430175781	0.100749634	Yes	
row_7	BPGM	BPGM	BPGM	2,3-bisphosphoglycerate mutase	374	0.943486750125885	0.11084452	Yes	
row_8	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	384	0.9389885663986206	0.12470106	Yes	
row_9	CBR4	CBR4	CBR4	carbonyl reductase 4	403	0.9271017909049988	0.13772339	Yes	
row_10	CAB39L	CAB39L	CAB39L	calcium binding protein 39-like	427	0.9049121141433716	0.15004145	Yes	
row_11	PLEK2	PLEK2	PLEK2	pleckstrin 2	558	0.8289808630943298	0.15345183	Yes	
row_12	TRIB1	TRIB1	TRIB1	tribbles homolog 1 (Drosophila)	690	0.7742883563041687	0.15594494	Yes	
row_13	ITGA2	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	713	0.7654139399528503	0.16618009	Yes	
row_14	MAP7	MAP7	MAP7	microtubule-associated protein 7	761	0.747616171836853	0.17433313	Yes	
row_15	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	811	0.7289108633995056	0.1820526	Yes	
row_16	MTMR10	MTMR10	MTMR10	myotubularin related protein 10	1067	0.6529878973960876	0.17370823	Yes	
row_17	CA2	CA2	CA2	carbonic anhydrase II	1103	0.6436219215393066	0.181122	Yes	
row_18	PTCD2	PTCD2	PTCD2	pentatricopeptide repeat domain 2	1227	0.6117662191390991	0.18168248	Yes	
row_19	ATG10	ATG10	ATG10	ATG10 autophagy related 10 homolog (S. cerevisiae)	1324	0.5921168327331543	0.1838911	Yes	
row_20	DCBLD2	DCBLD2	DCBLD2	discoidin, CUB and LCCL domain containing 2	1331	0.5906544327735901	0.19258283	Yes	
row_21	CBX8	CBX8	CBX8	chromobox homolog 8 (Pc class homolog, Drosophila)	1344	0.5890373587608337	0.20081587	Yes	
row_22	TMEM158	TMEM158	TMEM158	transmembrane protein 158	1414	0.5790346264839172	0.20477408	Yes	
row_23	INHBA	INHBA	INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	1562	0.5495818257331848	0.20263897	Yes	
row_24	JUP	JUP	JUP	junction plakoglobin	1660	0.5340569019317627	0.20387828	Yes	
