NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	42	0.8223224878311157	0.014365231	No	
row_1	IL32	IL32	IL32	interleukin 32	105	0.7335633039474487	0.025404327	No	
row_2	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	116	0.7168920040130615	0.039854042	No	
row_3	CAPG	CAPG	CAPG	capping protein (actin filament), gelsolin-like	238	0.6442292928695679	0.044732228	No	
row_4	COL8A2	COL8A2	COL8A2	collagen, type VIII, alpha 2	255	0.6374172568321228	0.057065565	No	
row_5	SFRP4	SFRP4	SFRP4	secreted frizzled-related protein 4	532	0.5330666303634644	0.048372857	No	
row_6	ITGB3	ITGB3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	626	0.5009199976921082	0.0522443	No	
row_7	SPARC	SPARC	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	660	0.4902709126472473	0.06023282	No	
row_8	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	709	0.47617098689079285	0.066837296	No	
row_9	FMOD	FMOD	FMOD	fibromodulin	791	0.45479899644851685	0.07060105	No	
row_10	SDC4	SDC4	SDC4	syndecan 4 (amphiglycan, ryudocan)	823	0.44919517636299133	0.07786494	No	
row_11	CADM1	CADM1	null	null	926	0.42890825867652893	0.07956083	No	
row_12	TGM2	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	1034	0.4060993194580078	0.0804121	No	
row_13	TIMP3	TIMP3	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	1478	0.32345572113990784	0.05519628	No	
row_14	PDLIM4	PDLIM4	PDLIM4	PDZ and LIM domain 4	1490	0.32170936465263367	0.06120934	No	
row_15	COPA	COPA	COPA	coatomer protein complex, subunit alpha	1621	0.3028879165649414	0.05821145	No	
row_16	LRP1	LRP1	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	1889	0.2704407274723053	0.044611473	No	
row_17	PLOD1	PLOD1	PLOD1	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	1974	0.25853317975997925	0.04400402	No	
row_18	ECM1	ECM1	ECM1	extracellular matrix protein 1	2311	0.22437475621700287	0.024435181	No	
row_19	NNMT	NNMT	NNMT	nicotinamide N-methyltransferase	2440	0.21191836893558502	0.019656613	No	
row_20	PVR	PVR	PVR	poliovirus receptor	2539	0.20330560207366943	0.016866991	No	
row_21	WIPF1	WIPF1	WIPF1	WAS/WASL interacting protein family, member 1	2564	0.20109325647354126	0.019386264	No	
row_22	QSOX1	QSOX1	null	null	2793	0.18082433938980103	0.0067121107	No	
row_23	COL5A3	COL5A3	COL5A3	collagen, type V, alpha 3	2924	0.16798359155654907	8.588879E-4	No	
row_24	IGFBP2	IGFBP2	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	2975	0.16413599252700806	7.1419723E-4	No	
row_25	PPIB	PPIB	PPIB	peptidylprolyl isomerase B (cyclophilin B)	3105	0.15450239181518555	-0.005351989	No	
row_26	CD44	CD44	CD44	CD44 molecule (Indian blood group)	3106	0.15448732674121857	-0.0020821693	No	
row_27	SFRP1	SFRP1	SFRP1	secreted frizzled-related protein 1	3118	0.15357086062431335	3.7213246E-4	No	
row_28	GLIPR1	GLIPR1	GLIPR1	GLI pathogenesis-related 1 (glioma)	3215	0.14603538811206818	-0.0034849008	No	
row_29	CXCL12	CXCL12	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	3278	0.13979125022888184	-0.005013359	No	
row_30	PCOLCE2	PCOLCE2	PCOLCE2	procollagen C-endopeptidase enhancer 2	3414	0.12941473722457886	-0.012044788	No	
row_31	ADAM12	ADAM12	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	3568	0.11652348935604095	-0.020651812	No	
row_32	VCAM1	VCAM1	VCAM1	vascular cell adhesion molecule 1	4018	0.08735767751932144	-0.051299036	No	
row_33	FZD8	FZD8	FZD8	frizzled homolog 8 (Drosophila)	4357	0.06541842967271805	-0.07437703	No	
row_34	SNAI2	SNAI2	SNAI2	snail homolog 2 (Drosophila)	4484	0.05721883848309517	-0.08228516	No	
row_35	TIMP1	TIMP1	TIMP1	TIMP metallopeptidase inhibitor 1	4488	0.05695454776287079	-0.08129681	No	
row_36	BASP1	BASP1	BASP1	brain abundant, membrane attached signal protein 1	4698	0.04575376212596893	-0.09545469	No	
row_37	TGFB1	TGFB1	TGFB1	transforming growth factor, beta 1 (Camurati-Engelmann disease)	4966	0.029838914051651955	-0.11414716	No	
row_38	GPC1	GPC1	GPC1	glypican 1	5312	0.010678545571863651	-0.13889039	No	
