NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAPN5	CAPN5	CAPN5	calpain 5	36	0.8357365727424622	0.021050466	Yes	
row_1	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	42	0.8223224878311157	0.04396613	Yes	
row_2	AKR1A1	AKR1A1	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	45	0.8136807084083557	0.06685442	Yes	
row_3	GPC4	GPC4	GPC4	glypican 4	327	0.6072767376899719	0.06369574	Yes	
row_4	GALK1	GALK1	GALK1	galactokinase 1	390	0.5820947289466858	0.07568346	Yes	
row_5	SLC37A4	SLC37A4	SLC37A4	solute carrier family 37 (glycerol-6-phosphate transporter), member 4	464	0.5540332794189453	0.086080246	Yes	
row_6	PC	PC	PC	pyruvate carboxylase	577	0.5185681581497192	0.09264887	Yes	
row_7	PDK3	PDK3	PDK3	pyruvate dehydrogenase kinase, isozyme 3	609	0.5065371990203857	0.10474267	Yes	
row_8	PHKA2	PHKA2	PHKA2	phosphorylase kinase, alpha 2 (liver)	879	0.43551596999168396	0.09759091	Yes	
row_9	CHST12	CHST12	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	916	0.4294663071632385	0.10714095	Yes	
row_10	SOD1	SOD1	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	1012	0.4103841483592987	0.11187825	Yes	
row_11	SDC3	SDC3	SDC3	syndecan 3 (N-syndecan)	1110	0.3903844952583313	0.11590459	Yes	
row_12	ME1	ME1	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	1144	0.38364699482917786	0.12437487	Yes	
row_13	ALDOA	ALDOA	ALDOA	aldolase A, fructose-bisphosphate	1272	0.3588894009590149	0.12533715	Yes	
row_14	GALE	GALE	GALE	UDP-galactose-4-epimerase	1534	0.3147495687007904	0.115346156	Yes	
row_15	IDH1	IDH1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1739	0.2874079942703247	0.10870893	Yes	
