NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	102	0.7372415065765381	0.008262003	Yes	
row_1	EOMES	EOMES	EOMES	eomesodermin homolog (Xenopus laevis)	122	0.7133715152740479	0.022024577	Yes	
row_2	FGL2	FGL2	FGL2	fibrinogen-like 2	174	0.6831082701683044	0.032828983	Yes	
row_3	TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	185	0.6782954335212708	0.046498615	Yes	
row_4	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	202	0.6698607206344604	0.05955502	Yes	
row_5	CAPG	CAPG	CAPG	capping protein (actin filament), gelsolin-like	238	0.6442292928695679	0.070692405	Yes	
row_6	GPR65	GPR65	GPR65	G protein-coupled receptor 65	241	0.6434330940246582	0.08420126	Yes	
row_7	IL10RA	IL10RA	IL10RA	interleukin 10 receptor, alpha	249	0.6397123336791992	0.09726929	Yes	
row_8	GBP4	GBP4	GBP4	guanylate binding protein 4	250	0.6393494009971619	0.11083624	Yes	
row_9	PIM1	PIM1	PIM1	pim-1 oncogene	261	0.6357674598693848	0.12360343	Yes	
row_10	PRKCH	PRKCH	PRKCH	protein kinase C, eta	294	0.6202337145805359	0.13444877	Yes	
row_11	CD48	CD48	CD48	CD48 molecule	315	0.610081136226654	0.14594714	Yes	
row_12	CD86	CD86	CD86	CD86 molecule	344	0.5982726812362671	0.15661596	Yes	
row_13	CTSZ	CTSZ	CTSZ	cathepsin Z	345	0.5975304245948792	0.16929552	Yes	
row_14	GALM	GALM	GALM	galactose mutarotase (aldose 1-epimerase)	351	0.595429003238678	0.18156861	Yes	
row_15	IRF8	IRF8	IRF8	interferon regulatory factor 8	353	0.5949705839157104	0.19412147	Yes	
row_16	TNFRSF1B	TNFRSF1B	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	359	0.5925886034965515	0.20633428	Yes	
row_17	CDC42SE2	CDC42SE2	CDC42SE2	CDC42 small effector 2	465	0.5539814829826355	0.21049039	Yes	
row_18	CYFIP1	CYFIP1	CYFIP1	cytoplasmic FMR1 interacting protein 1	498	0.543520987033844	0.21970788	Yes	
row_19	SYNGR2	SYNGR2	SYNGR2	synaptogyrin 2	501	0.5432783365249634	0.23109145	Yes	
row_20	IL3RA	IL3RA	IL3RA	interleukin 3 receptor, alpha (low affinity)	535	0.5317360162734985	0.2399865	Yes	
row_21	PTCH1	PTCH1	PTCH1	patched homolog 1 (Drosophila)	545	0.527076005935669	0.25051963	Yes	
row_22	TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	570	0.5208122730255127	0.25983426	Yes	
row_23	LRRC8C	LRRC8C	LRRC8C	leucine rich repeat containing 8 family, member C	639	0.49655190110206604	0.26544958	Yes	
row_24	CSF1	CSF1	CSF1	colony stimulating factor 1 (macrophage)	661	0.4902417063713074	0.2743326	Yes	
row_25	TNFRSF4	TNFRSF4	TNFRSF4	tumor necrosis factor receptor superfamily, member 4	721	0.47235721349716187	0.2800859	Yes	
row_26	POU2F1	POU2F1	POU2F1	POU domain, class 2, transcription factor 1	751	0.4641757309436798	0.2878368	Yes	
row_27	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	841	0.4456799328327179	0.29085276	Yes	
