NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	44	0.8192944526672363	0.015698167	Yes	
row_1	CD40	CD40	CD40	CD40 molecule, TNF receptor superfamily member 5	50	0.8038784861564636	0.033858653	Yes	
row_2	ABCA1	ABCA1	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	86	0.7525791525840759	0.048669863	Yes	
row_3	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	102	0.7372415065765381	0.06457257	Yes	
row_4	CXCR6	CXCR6	CXCR6	chemokine (C-X-C motif) receptor 6	124	0.712327241897583	0.07946777	Yes	
row_5	CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	139	0.7012380361557007	0.09461319	Yes	
row_6	PTAFR	PTAFR	PTAFR	platelet-activating factor receptor	171	0.684509813785553	0.10814503	Yes	
row_7	IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	212	0.66066974401474	0.120477386	Yes	
row_8	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	215	0.6570410132408142	0.1354714	Yes	
row_9	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	246	0.6404169797897339	0.14805958	Yes	
row_10	IL10RA	IL10RA	IL10RA	interleukin 10 receptor, alpha	249	0.6397123336791992	0.16265433	Yes	
row_11	CD48	CD48	CD48	CD48 molecule	315	0.610081136226654	0.17201501	Yes	
row_12	IRF1	IRF1	IRF1	interferon regulatory factor 1	324	0.6082785129547119	0.18545206	Yes	
row_13	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	341	0.6011450886726379	0.1981468	Yes	
row_14	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	356	0.5938213467597961	0.21081728	Yes	
row_15	TNFRSF1B	TNFRSF1B	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	359	0.5925886034965515	0.2243263	Yes	
row_16	SCARF1	SCARF1	SCARF1	scavenger receptor class F, member 1	426	0.5672836303710938	0.23262866	Yes	
row_17	CXCL9	CXCL9	CXCL9	chemokine (C-X-C motif) ligand 9	444	0.5592765808105469	0.24428648	Yes	
row_18	CYBB	CYBB	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	462	0.5544402599334717	0.25583288	Yes	
row_19	C3AR1	C3AR1	C3AR1	complement component 3a receptor 1	486	0.5490024089813232	0.26682052	Yes	
row_20	IL15RA	IL15RA	IL15RA	interleukin 15 receptor, alpha	519	0.5366884469985962	0.27687424	Yes	
row_21	PIK3R5	PIK3R5	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5, p101	533	0.5323857069015503	0.28820148	Yes	
row_22	CMKLR1	CMKLR1	CMKLR1	chemokine-like receptor 1	569	0.5210594534873962	0.29767838	Yes	
row_23	GNA15	GNA15	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	598	0.509274959564209	0.30738947	Yes	
row_24	TAPBP	TAPBP	TAPBP	TAP binding protein (tapasin)	625	0.5013277530670166	0.31706193	Yes	
row_25	ITGB3	ITGB3	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	626	0.5009199976921082	0.32860333	Yes	
row_26	CSF3R	CSF3R	CSF3R	colony stimulating factor 3 receptor (granulocyte)	644	0.4954788088798523	0.33879125	Yes	
row_27	CSF1	CSF1	CSF1	colony stimulating factor 1 (macrophage)	661	0.4902417063713074	0.34893072	Yes	
row_28	SEMA4D	SEMA4D	SEMA4D	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	676	0.48755231499671936	0.3591527	Yes	
row_29	CD14	CD14	CD14	CD14 molecule	720	0.47248750925064087	0.36693254	Yes	
row_30	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	841	0.4456799328327179	0.36853194	Yes	
row_31	LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	912	0.42979809641838074	0.3733776	Yes	
row_32	SLC31A2	SLC31A2	SLC31A2	solute carrier family 31 (copper transporters), member 2	952	0.4223480522632599	0.38029116	Yes	
row_33	RHOG	RHOG	RHOG	ras homolog gene family, member G (rho G)	1024	0.40821215510368347	0.38456723	Yes	
