NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	42	0.8223224878311157	0.016350288	Yes	
row_1	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	116	0.7168920040130615	0.02797419	Yes	
row_2	CTSS	CTSS	CTSS	cathepsin S	190	0.6752430200576782	0.038616218	Yes	
row_3	LCP1	LCP1	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	200	0.6706126928329468	0.053775366	Yes	
row_4	LAPTM5	LAPTM5	LAPTM5	lysosomal associated multispanning membrane protein 5	218	0.6565512418746948	0.06802473	Yes	
row_5	SERPINA3	SERPINA3	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	236	0.6461498141288757	0.08202888	Yes	
row_6	FCER1G	FCER1G	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	237	0.644424557685852	0.09722122	Yes	
row_7	TMEM176B	TMEM176B	TMEM176B	transmembrane protein 176B	239	0.643551230430603	0.11232068	Yes	
row_8	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	243	0.6430257558822632	0.12726317	Yes	
row_9	ITGB2	ITGB2	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	245	0.6420380473136902	0.14232697	Yes	
row_10	IL10RA	IL10RA	IL10RA	interleukin 10 receptor, alpha	249	0.6397123336791992	0.15719135	Yes	
row_11	IRF8	IRF8	IRF8	interferon regulatory factor 8	353	0.5949705839157104	0.16377239	Yes	
row_12	TNFRSF1B	TNFRSF1B	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	359	0.5925886034965515	0.17738126	Yes	
row_13	DOCK2	DOCK2	DOCK2	dedicator of cytokinesis 2	400	0.5771164894104004	0.18809538	Yes	
row_14	TMEM176A	TMEM176A	TMEM176A	transmembrane protein 176A	416	0.5702707767486572	0.20045525	Yes	
row_15	C3AR1	C3AR1	C3AR1	complement component 3a receptor 1	486	0.5490024089813232	0.2084103	Yes	
row_16	CD37	CD37	CD37	CD37 molecule	558	0.5236621499061584	0.21562336	Yes	
row_17	CMKLR1	CMKLR1	CMKLR1	chemokine-like receptor 1	569	0.5210594534873962	0.2271845	Yes	
row_18	TLR8	TLR8	TLR8	toll-like receptor 8	571	0.5204904079437256	0.2393828	Yes	
row_19	MAFB	MAFB	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	605	0.5075445771217346	0.24896276	Yes	
row_20	PSMB8	PSMB8	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	612	0.5045185685157776	0.2604231	Yes	
row_21	LAT2	LAT2	LAT2	linker for activation of T cells family, member 2	615	0.5036256909370422	0.2721515	Yes	
row_22	CLEC4A	CLEC4A	CLEC4A	C-type lectin domain family 4, member A	736	0.46778178215026855	0.2745052	Yes	
row_23	ITGBL1	ITGBL1	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	816	0.4504298269748688	0.27941352	Yes	
row_24	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	841	0.4456799328327179	0.2881856	Yes	
row_25	PDCD1LG2	PDCD1LG2	PDCD1LG2	programmed cell death 1 ligand 2	919	0.4292488098144531	0.29273915	Yes	
row_26	MMP9	MMP9	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	945	0.42457184195518494	0.30094132	Yes	
row_27	PLAU	PLAU	PLAU	plasminogen activator, urokinase	1174	0.37741801142692566	0.29335782	Yes	
row_28	TRIB1	TRIB1	TRIB1	tribbles homolog 1 (Drosophila)	1254	0.36385616660118103	0.2962252	Yes	
row_29	BIRC3	BIRC3	BIRC3	baculoviral IAP repeat-containing 3	1258	0.361133337020874	0.30452207	Yes	
row_30	JUP	JUP	JUP	junction plakoglobin	1611	0.30478405952453613	0.2862628	No	
