NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPZL2	MPZL2	null	null	35	1.2800235748291016	0.023196092	Yes	
row_1	CLDN5	CLDN5	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	48	1.1870758533477783	0.046186145	Yes	
row_2	PARVA	PARVA	PARVA	parvin, alpha	91	1.033158779144287	0.063915074	Yes	
row_3	ADAM23	ADAM23	ADAM23	ADAM metallopeptidase domain 23	166	0.8865559101104736	0.07638536	Yes	
row_4	PIK3R3	PIK3R3	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	275	0.7886970043182373	0.0844321	Yes	
row_5	MMP2	MMP2	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	340	0.7408612370491028	0.094696894	Yes	
row_6	MPP5	MPP5	MPP5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	342	0.7401332259178162	0.1094994	Yes	
row_7	ACTN1	ACTN1	ACTN1	actinin, alpha 1	356	0.735705554485321	0.123345815	Yes	
row_8	COL16A1	COL16A1	COL16A1	collagen, type XVI, alpha 1	370	0.7270410656929016	0.1370181	Yes	
row_9	LIMA1	LIMA1	LIMA1	LIM domain and actin binding 1	477	0.6727952361106873	0.14288004	Yes	
row_10	WASL	WASL	WASL	Wiskott-Aldrich syndrome-like	587	0.6250312924385071	0.14756526	Yes	
row_11	TRO	TRO	TRO	trophinin	594	0.6222211718559265	0.15963674	Yes	
row_12	JUP	JUP	JUP	junction plakoglobin	614	0.6154937744140625	0.17063364	Yes	
row_13	GNAI1	GNAI1	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	618	0.6142182946205139	0.18276107	Yes	
row_14	ACTG2	ACTG2	ACTG2	actin, gamma 2, smooth muscle, enteric	750	0.5747339725494385	0.18484575	Yes	
row_15	CLDN15	CLDN15	CLDN15	claudin 15	795	0.5632719397544861	0.19298664	Yes	
row_16	HADH	HADH	HADH	hydroxyacyl-Coenzyme A dehydrogenase	912	0.5304872393608093	0.19526596	Yes	
row_17	LAYN	LAYN	LAYN	layilin	1078	0.4965669810771942	0.19332285	Yes	
row_18	MYH10	MYH10	MYH10	myosin, heavy chain 10, non-muscle	1156	0.4809495806694031	0.19742471	Yes	
row_19	PTEN	PTEN	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1215	0.46920210123062134	0.2026634	Yes	
row_20	MYL9	MYL9	MYL9	myosin, light chain 9, regulatory	1269	0.4605829417705536	0.20809019	Yes	
row_21	MAPK13	MAPK13	MAPK13	mitogen-activated protein kinase 13	1583	0.4114416539669037	0.19374186	No	
row_22	PCDH1	PCDH1	PCDH1	protocadherin 1 (cadherin-like 1)	1843	0.37676897644996643	0.18259872	No	
row_23	ITGA2	ITGA2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	1951	0.36206936836242676	0.18214361	No	
row_24	RHOF	RHOF	RHOF	ras homolog gene family, member F (in filopodia)	2004	0.355914443731308	0.18553907	No	
row_25	SGCE	SGCE	SGCE	sarcoglycan, epsilon	2186	0.33006584644317627	0.17909357	No	
row_26	PVRL1	PVRL1	PVRL1	poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)	2253	0.3213718831539154	0.18078318	No	
row_27	EPB41L2	EPB41L2	EPB41L2	erythrocyte membrane protein band 4.1-like 2	2293	0.3158692419528961	0.18431322	No	
row_28	HRAS	HRAS	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	2353	0.3092299997806549	0.18626463	No	
row_29	VCL	VCL	VCL	vinculin	2511	0.29270124435424805	0.18080242	No	
row_30	PIK3CB	PIK3CB	PIK3CB	phosphoinositide-3-kinase, catalytic, beta polypeptide	2846	0.25472959876060486	0.16178714	No	
row_31	DLG1	DLG1	DLG1	discs, large homolog 1 (Drosophila)	2869	0.2528929114341736	0.16527992	No	
row_32	ARPC2	ARPC2	ARPC2	actin related protein 2/3 complex, subunit 2, 34kDa	2886	0.2509034276008606	0.16916628	No	
row_33	SLIT2	SLIT2	SLIT2	slit homolog 2 (Drosophila)	2919	0.24899029731750488	0.17185804	No	
row_34	VWF	VWF	VWF	von Willebrand factor	3069	0.2313028872013092	0.16573995	No	
row_35	CD34	CD34	CD34	CD34 molecule	3199	0.22057704627513885	0.16085151	No	
row_36	MYL12B	MYL12B	null	null	3207	0.220132976770401	0.1647698	No	
row_37	SIRPA	SIRPA	SIRPA	signal-regulatory protein alpha	3297	0.21089576184749603	0.16257715	No	
row_38	NEXN	NEXN	NEXN	nexilin (F actin binding protein)	3381	0.20354099571704865	0.16067027	No	
row_39	CTNND1	CTNND1	CTNND1	catenin (cadherin-associated protein), delta 1	3471	0.19554145634174347	0.15816905	No	
row_40	VCAN	VCAN	null	null	3499	0.1928287148475647	0.1600934	No	
row_41	CD99	CD99	CD99	CD99 molecule	3570	0.18780602514743805	0.15880965	No	
