NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP8B1	ATP8B1	ATP8B1	ATPase, Class I, type 8B, member 1	703	0.5873832702636719	0.01601892	No	
row_1	MAL	MAL	MAL	mal, T-cell differentiation protein	826	0.5527392029762268	0.0697806	No	
row_2	LYPD3	LYPD3	LYPD3	LY6/PLAUR domain containing 3	1080	0.496529757976532	0.10779215	No	
row_3	EFNA5	EFNA5	EFNA5	ephrin-A5	2178	0.3310435712337494	0.066569574	No	
row_4	AKAP7	AKAP7	AKAP7	A kinase (PRKA) anchor protein 7	2250	0.3216567933559418	0.09785493	No	
row_5	CROCC	CROCC	CROCC	ciliary rootlet coiled-coil, rootletin	2741	0.2681035101413727	0.09303944	No	
row_6	AIM1	AIM1	AIM1	absent in melanoma 1	3431	0.19961407780647278	0.06620911	No	
row_7	PLAUR	PLAUR	PLAUR	plasminogen activator, urokinase receptor	4393	0.11406861990690231	0.010200566	No	
row_8	GAS1	GAS1	GAS1	growth arrest-specific 1	4909	0.07346823066473007	-0.018419007	No	
row_9	DCBLD2	DCBLD2	DCBLD2	discoidin, CUB and LCCL domain containing 2	5061	0.05976880341768265	-0.022487184	No	
row_10	THY1	THY1	THY1	Thy-1 cell surface antigen	5216	0.04830549657344818	-0.02806687	No	
row_11	EPHB4	EPHB4	EPHB4	EPH receptor B4	5496	0.026652436703443527	-0.045058463	No	
row_12	CX3CL1	CX3CL1	CX3CL1	chemokine (C-X3-C motif) ligand 1	6909	-0.07775380462408066	-0.13751289	No	
row_13	AFAP1L2	AFAP1L2	null	null	7578	-0.12740261852741241	-0.17100388	No	
row_14	HSPB1	HSPB1	HSPB1	heat shock 27kDa protein 1	8262	-0.17581771314144135	-0.20009513	Yes	
row_15	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	8478	-0.19157108664512634	-0.1938468	Yes	
row_16	SRPX	SRPX	SRPX	sushi-repeat-containing protein, X-linked	8684	-0.20574645698070526	-0.18527834	Yes	
row_17	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	9147	-0.24084047973155975	-0.19116928	Yes	
row_18	ADIPOR2	ADIPOR2	ADIPOR2	adiponectin receptor 2	9635	-0.27969321608543396	-0.19445896	Yes	
row_19	SHROOM2	SHROOM2	SHROOM2	shroom family member 2	10019	-0.30987781286239624	-0.18687771	Yes	
row_20	B4GALT1	B4GALT1	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	10031	-0.3107968270778656	-0.1525182	Yes	
row_21	NCOA6	NCOA6	NCOA6	nuclear receptor coactivator 6	10480	-0.3476480543613434	-0.14532632	Yes	
row_22	FLOT2	FLOT2	FLOT2	flotillin 2	10577	-0.3579736351966858	-0.111726485	Yes	
row_23	SULF2	SULF2	SULF2	sulfatase 2	10620	-0.36162760853767395	-0.073841356	Yes	
row_24	BRCA1	BRCA1	BRCA1	breast cancer 1, early onset	11140	-0.40667691826820374	-0.065064915	Yes	
row_25	GSTM3	GSTM3	GSTM3	glutathione S-transferase M3 (brain)	11538	-0.44764041900634766	-0.04290785	Yes	
row_26	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	11641	-0.4576132297515869	0.0015300651	Yes	
row_27	TMEM8B	TMEM8B	null	null	12344	-0.5470802187919617	0.013062782	Yes	
row_28	ADAM10	ADAM10	ADAM10	ADAM metallopeptidase domain 10	13637	-0.9173588752746582	0.024164569	Yes	
