NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB10	PSMB10	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	195	0.7144109606742859	-1.7660297E-4	Yes	
row_1	TNFAIP2	TNFAIP2	TNFAIP2	tumor necrosis factor, alpha-induced protein 2	233	0.6890420317649841	0.010597393	Yes	
row_2	IRF5	IRF5	IRF5	interferon regulatory factor 5	271	0.6714270114898682	0.021027435	Yes	
row_3	IRF8	IRF8	IRF8	interferon regulatory factor 8	352	0.646402895450592	0.027853811	Yes	
row_4	PTPN6	PTPN6	PTPN6	protein tyrosine phosphatase, non-receptor type 6	368	0.642516553401947	0.03931308	Yes	
row_5	NFKB1	NFKB1	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	402	0.633319079875946	0.04928879	Yes	
row_6	VAMP8	VAMP8	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	431	0.6243265271186829	0.05945112	Yes	
row_7	JAK2	JAK2	JAK2	Janus kinase 2 (a protein tyrosine kinase)	464	0.6129366159439087	0.06910128	Yes	
row_8	IL4R	IL4R	IL4R	interleukin 4 receptor	466	0.6126741766929626	0.08099204	Yes	
row_9	NLRC5	NLRC5	null	null	515	0.5965803861618042	0.08916374	Yes	
row_10	TXNIP	TXNIP	TXNIP	thioredoxin interacting protein	528	0.5943257212638855	0.09989936	Yes	
row_11	UBE2L6	UBE2L6	UBE2L6	ubiquitin-conjugating enzyme E2L 6	551	0.5882692933082581	0.109792285	Yes	
row_12	HLA-DMA	HLA-DMA	HLA-DMA	major histocompatibility complex, class II, DM alpha	560	0.5861448645591736	0.12065793	Yes	
row_13	CIITA	CIITA	CIITA	class II, major histocompatibility complex, transactivator	573	0.5834439992904663	0.13118106	Yes	
row_14	HLA-DQA1	HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	578	0.5818396210670471	0.14225242	Yes	
row_15	NMI	NMI	NMI	N-myc (and STAT) interactor	582	0.5808236598968506	0.15337637	Yes	
row_16	IL10RA	IL10RA	IL10RA	interleukin 10 receptor, alpha	585	0.5799351930618286	0.16455543	Yes	
row_17	CASP8	CASP8	CASP8	caspase 8, apoptosis-related cysteine peptidase	685	0.5538017749786377	0.16819724	Yes	
row_18	CSF2RB	CSF2RB	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	711	0.5464348793029785	0.17705597	Yes	
row_19	ITGB7	ITGB7	ITGB7	integrin, beta 7	728	0.5426701903343201	0.18649317	Yes	
row_20	CD40	CD40	CD40	CD40 molecule, TNF receptor superfamily member 5	751	0.5350919961929321	0.19534776	Yes	
row_21	NFKBIA	NFKBIA	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	756	0.534494161605835	0.20549463	Yes	
row_22	IRF2	IRF2	IRF2	interferon regulatory factor 2	772	0.5309963822364807	0.21477634	Yes	
row_23	ISG20	ISG20	ISG20	interferon stimulated exonuclease gene 20kDa	789	0.525117814540863	0.22387081	Yes	
row_24	CD74	CD74	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	848	0.5085396766662598	0.22959898	Yes	
row_25	PIM1	PIM1	PIM1	pim-1 oncogene	854	0.50816810131073	0.23915936	Yes	
row_26	IL18BP	IL18BP	IL18BP	interleukin 18 binding protein	856	0.5080962777137756	0.24900812	Yes	
row_27	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	953	0.4874223470687866	0.25157112	Yes	
row_28	NCOA3	NCOA3	NCOA3	nuclear receptor coactivator 3	1029	0.4730488657951355	0.25537476	Yes	
row_29	GBP4	GBP4	GBP4	guanylate binding protein 4	1050	0.46854957938194275	0.2630749	Yes	
row_30	EIF4E3	EIF4E3	EIF4E3	eukaryotic translation initiation factor 4E member 3	1065	0.4660741984844208	0.27116138	Yes	
row_31	MARCH1	MARCH1	MARCH1	membrane-associated ring finger (C3HC4) 1	1078	0.4625396132469177	0.2793237	Yes	
row_32	SERPING1	SERPING1	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	1094	0.45885956287384033	0.28719684	Yes	
row_33	IL15RA	IL15RA	IL15RA	interleukin 15 receptor, alpha	1164	0.44720426201820374	0.2909305	Yes	
row_34	TRAFD1	TRAFD1	TRAFD1	TRAF-type zinc finger domain containing 1	1182	0.4430096447467804	0.29834926	Yes	
row_35	TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	1204	0.4376969635486603	0.30537453	Yes	
row_36	IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	1322	0.41435471177101135	0.30498952	Yes	
row_37	SAMHD1	SAMHD1	SAMHD1	SAM domain and HD domain 1	1344	0.40849173069000244	0.3114445	Yes	
row_38	DHX58	DHX58	null	null	1362	0.4036896228790283	0.3180955	Yes	
row_39	PARP12	PARP12	PARP12	poly (ADP-ribose) polymerase family, member 12	1394	0.39737609028816223	0.32360902	Yes	
row_40	SLC25A28	SLC25A28	SLC25A28	solute carrier family 25, member 28	1416	0.3939043879508972	0.32977918	Yes	
row_41	IFNAR2	IFNAR2	IFNAR2	interferon (alpha, beta and omega) receptor 2	1485	0.3800008296966553	0.33227304	Yes	
row_42	SOCS1	SOCS1	SOCS1	suppressor of cytokine signaling 1	1495	0.37927350401878357	0.33902684	Yes	
row_43	CMKLR1	CMKLR1	CMKLR1	chemokine-like receptor 1	1503	0.37731093168258667	0.34588718	Yes	
row_44	BTG1	BTG1	BTG1	B-cell translocation gene 1, anti-proliferative	1504	0.37697312235832214	0.35324806	Yes	
row_45	OGFR	OGFR	OGFR	opioid growth factor receptor	1535	0.37342706322669983	0.35836637	Yes	
row_46	SP110	SP110	SP110	SP110 nuclear body protein	1538	0.3729514181613922	0.36550382	Yes	
row_47	NOD1	NOD1	null	null	1541	0.37271836400032043	0.3726367	Yes	
row_48	RNF213	RNF213	null	null	1548	0.3707720637321472	0.37944183	Yes	
row_49	HLA-G	HLA-G	HLA-G	HLA-G histocompatibility antigen, class I, G	1564	0.3687332570552826	0.38555515	Yes	
row_50	TRIM14	TRIM14	TRIM14	tripartite motif-containing 14	1580	0.3663763701915741	0.39162245	Yes	
row_51	IRF7	IRF7	IRF7	interferon regulatory factor 7	1599	0.3617585003376007	0.39738226	Yes	
row_52	CD86	CD86	CD86	CD86 molecule	1638	0.3553621470928192	0.4015683	Yes	
row_53	SAMD9L	SAMD9L	SAMD9L	sterile alpha motif domain containing 9-like	1670	0.35118111968040466	0.40617982	Yes	
row_54	VAMP5	VAMP5	VAMP5	vesicle-associated membrane protein 5 (myobrevin)	1673	0.3508674204349518	0.41288602	Yes	
row_55	C1S	C1S	C1S	complement component 1, s subcomponent	1681	0.34937217831611633	0.41920084	Yes	
row_56	EPSTI1	EPSTI1	EPSTI1	epithelial stromal interaction 1 (breast)	1707	0.3466431796550751	0.4241584	Yes	
row_57	SSPN	SSPN	SSPN	sarcospan (Kras oncogene-associated gene)	1732	0.3423825204372406	0.42910522	Yes	
row_58	TNFAIP3	TNFAIP3	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	1740	0.34087246656417847	0.43525407	Yes	
row_59	IRF9	IRF9	null	null	1816	0.3317975103855133	0.4362996	Yes	
row_60	HLA-A	HLA-A	HLA-A	major histocompatibility complex, class I, A	1840	0.32859766483306885	0.4410497	Yes	
row_61	DDX60	DDX60	null	null	1859	0.3257639706134796	0.44610664	Yes	
row_62	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	1881	0.32312238216400146	0.4508947	Yes	
row_63	IFI35	IFI35	IFI35	interferon-induced protein 35	1886	0.3225507140159607	0.45690313	Yes	
row_64	LAP3	LAP3	LAP3	leucine aminopeptidase 3	1915	0.31871315836906433	0.461098	Yes	
row_65	ST8SIA4	ST8SIA4	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	1927	0.3171546161174774	0.46649393	Yes	
row_66	CASP4	CASP4	CASP4	caspase 4, apoptosis-related cysteine peptidase	1992	0.3080264925956726	0.4678722	Yes	
row_67	CFH	CFH	CFH	complement factor H	1995	0.3077937364578247	0.47373736	Yes	
row_68	PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	2061	0.3008710443973541	0.47490343	Yes	
row_69	VCAM1	VCAM1	VCAM1	vascular cell adhesion molecule 1	2067	0.3003474771976471	0.4804059	Yes	
row_70	LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	2143	0.29053017497062683	0.48064563	Yes	
row_71	B2M	B2M	B2M	beta-2-microglobulin	2157	0.28849735856056213	0.48533714	Yes	
row_72	TAPBP	TAPBP	TAPBP	TAP binding protein (tapasin)	2165	0.28728705644607544	0.49043965	Yes	
row_73	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	2179	0.2848295569419861	0.49505955	Yes	
row_74	METTL7B	METTL7B	METTL7B	methyltransferase like 7B	2203	0.28122788667678833	0.49888468	Yes	
