NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	D2HGDH	D2HGDH	D2HGDH	D-2-hydroxyglutarate dehydrogenase	178	0.5159891247749329	0.0033889748	No	
row_1	ACADS	ACADS	ACADS	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	185	0.5098015069961548	0.019004622	No	
row_2	ACSS1	ACSS1	ACSS1	acyl-CoA synthetase short-chain family member 1	225	0.49186527729034424	0.031672437	No	
row_3	MAOA	MAOA	MAOA	monoamine oxidase A	239	0.48306000232696533	0.045940716	No	
row_4	AOC3	AOC3	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	380	0.4373859763145447	0.049599476	No	
row_5	ACSL5	ACSL5	ACSL5	acyl-CoA synthetase long-chain family member 5	605	0.3844492435455322	0.045525454	No	
row_6	CD1D	CD1D	CD1D	CD1d molecule	696	0.3670973777770996	0.050582368	No	
row_7	ECH1	ECH1	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	792	0.35039907693862915	0.054752514	No	
row_8	CPT1A	CPT1A	CPT1A	carnitine palmitoyltransferase 1A (liver)	821	0.3442028760910034	0.06356619	No	
row_9	VNN1	VNN1	VNN1	vanin 1	925	0.32810577750205994	0.06645679	No	
row_10	UBE2L6	UBE2L6	UBE2L6	ubiquitin-conjugating enzyme E2L 6	943	0.3256373405456543	0.07548041	No	
row_11	GSTZ1	GSTZ1	GSTZ1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	960	0.32321321964263916	0.08449993	No	
row_12	EHHADH	EHHADH	EHHADH	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase	964	0.3223201036453247	0.09443017	No	
row_13	CA2	CA2	CA2	carbonic anhydrase II	998	0.317076176404953	0.10202879	No	
row_14	ACADVL	ACADVL	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	1083	0.30274367332458496	0.105493106	No	
row_15	MCEE	MCEE	MCEE	methylmalonyl CoA epimerase	1141	0.2939705550670624	0.110631116	No	
row_16	HADH	HADH	HADH	hydroxyacyl-Coenzyme A dehydrogenase	1250	0.28074130415916443	0.11166955	No	
row_17	ACSL1	ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	1424	0.2586820125579834	0.10731938	No	
row_18	HMGCL	HMGCL	HMGCL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1470	0.2526726722717285	0.11202391	No	
row_19	ACAA1	ACAA1	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	1611	0.2359716296195984	0.109341994	No	
row_20	ALDH1A1	ALDH1A1	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	1628	0.23457005620002747	0.11557096	No	
row_21	MLYCD	MLYCD	MLYCD	malonyl-CoA decarboxylase	1996	0.20024824142456055	0.095371	No	
row_22	PPARA	PPARA	PPARA	peroxisome proliferative activated receptor, alpha	2147	0.18723690509796143	0.09043269	No	
row_23	ETFDH	ETFDH	ETFDH	electron-transferring-flavoprotein dehydrogenase	2343	0.16871409118175507	0.08166147	No	
row_24	OSTC	OSTC	null	null	2461	0.1590709090232849	0.07821967	No	
row_25	ME1	ME1	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	2478	0.15754085779190063	0.082023695	No	
row_26	CBR3	CBR3	CBR3	carbonyl reductase 3	2548	0.15258340537548065	0.08184411	No	
row_27	SLC22A5	SLC22A5	SLC22A5	solute carrier family 22 (organic cation transporter), member 5	2698	0.14179840683937073	0.07554758	No	
