NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	31	1.069420337677002	0.01953299	Yes	
row_1	WWC1	WWC1	WWC1	WW, C2 and coiled-coil domain containing 1	82	0.9092461466789246	0.03443146	Yes	
row_2	FHL2	FHL2	FHL2	four and a half LIM domains 2	152	0.8029617071151733	0.04579262	Yes	
row_3	RAPGEFL1	RAPGEFL1	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	203	0.7669035792350769	0.05779296	Yes	
row_4	SEMA3B	SEMA3B	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	205	0.764961838722229	0.073295504	Yes	
row_5	ZNF185	ZNF185	ZNF185	zinc finger protein 185 (LIM domain)	231	0.7376974821090698	0.086508214	Yes	
row_6	MREG	MREG	null	null	239	0.7344506978988647	0.10095586	Yes	
row_7	TOB1	TOB1	TOB1	transducer of ERBB2, 1	363	0.674784779548645	0.10580416	Yes	
row_8	MLPH	MLPH	MLPH	melanophilin	383	0.6661015748977661	0.11799284	Yes	
row_9	ENDOD1	ENDOD1	ENDOD1	endonuclease domain containing 1	434	0.6451738476753235	0.12751472	Yes	
row_10	PRSS23	PRSS23	PRSS23	protease, serine, 23	475	0.6278668642044067	0.13740705	Yes	
row_11	CD44	CD44	CD44	CD44 molecule (Indian blood group)	495	0.6234831213951111	0.148728	Yes	
row_12	PMAIP1	PMAIP1	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	512	0.6164330840110779	0.16012225	Yes	
row_13	RBBP8	RBBP8	RBBP8	retinoblastoma binding protein 8	557	0.6029665470123291	0.16921847	Yes	
row_14	UGCG	UGCG	UGCG	UDP-glucose ceramide glucosyltransferase	635	0.5772693753242493	0.17540623	Yes	
row_15	KCNK5	KCNK5	KCNK5	potassium channel, subfamily K, member 5	658	0.5724728107452393	0.18547176	Yes	
row_16	PEX11A	PEX11A	PEX11A	peroxisomal biogenesis factor 11A	664	0.5706075429916382	0.19672808	Yes	
row_17	FRK	FRK	FRK	fyn-related kinase	715	0.5582718849182129	0.20448062	Yes	
row_18	STC2	STC2	STC2	stanniocalcin 2	766	0.5454784035682678	0.21197268	Yes	
row_19	KRT18	KRT18	KRT18	keratin 18	815	0.5326342582702637	0.2193478	Yes	
row_20	CELSR2	CELSR2	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	820	0.5311662554740906	0.22987336	Yes	
row_21	ALDH3B1	ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	868	0.5231691598892212	0.23712805	Yes	
row_22	XBP1	XBP1	XBP1	X-box binding protein 1	895	0.5183976292610168	0.24580348	Yes	
row_23	PPIF	PPIF	PPIF	peptidylprolyl isomerase F (cyclophilin F)	935	0.5106786489486694	0.2533821	Yes	
row_24	IL17RB	IL17RB	IL17RB	interleukin 17 receptor B	990	0.4995974898338318	0.2596509	Yes	
row_25	RHOBTB3	RHOBTB3	RHOBTB3	Rho-related BTB domain containing 3	1119	0.47576645016670227	0.2600857	Yes	
row_26	ANXA9	ANXA9	ANXA9	annexin A9	1247	0.45455923676490784	0.26016104	Yes	
row_27	AQP3	AQP3	AQP3	aquaporin 3 (Gill blood group)	1405	0.4345758259296417	0.2576611	Yes	
row_28	CHPT1	CHPT1	CHPT1	choline phosphotransferase 1	1439	0.4299412667751312	0.26402956	Yes	
row_29	SLC22A5	SLC22A5	SLC22A5	solute carrier family 22 (organic cation transporter), member 5	1474	0.4250488877296448	0.27022612	Yes	
row_30	ARL3	ARL3	ARL3	ADP-ribosylation factor-like 3	1850	0.3734555244445801	0.2507246	No	
row_31	SLC1A4	SLC1A4	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	2018	0.3548007905483246	0.24587762	No	
row_32	IGF1R	IGF1R	IGF1R	insulin-like growth factor 1 receptor	2025	0.354337215423584	0.25265834	No	
row_33	NAV2	NAV2	NAV2	neuron navigator 2	2187	0.3371460735797882	0.24788557	No	
row_34	GJA1	GJA1	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)	2207	0.3343222439289093	0.25331914	No	
row_35	SLC9A3R1	SLC9A3R1	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	3262	0.23271486163139343	0.18187368	No	
row_36	NXT1	NXT1	NXT1	NTF2-like export factor 1	3269	0.23216548562049866	0.18616694	No	
row_37	KAZN	KAZN	null	null	3483	0.21362091600894928	0.17512059	No	
row_38	FDFT1	FDFT1	FDFT1	farnesyl-diphosphate farnesyltransferase 1	3702	0.19353565573692322	0.16330388	No	
row_39	ABHD2	ABHD2	ABHD2	abhydrolase domain containing 2	3905	0.17750681936740875	0.15231732	No	
row_40	FARP1	FARP1	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	3945	0.17413321137428284	0.15304378	No	
row_41	TMEM164	TMEM164	TMEM164	transmembrane protein 164	3971	0.17162065207958221	0.15473102	No	
row_42	TPBG	TPBG	TPBG	trophoblast glycoprotein	4081	0.1639786809682846	0.1501911	No	
row_43	SLC19A2	SLC19A2	SLC19A2	solute carrier family 19 (thiamine transporter), member 2	4118	0.16157576441764832	0.15087873	No	
