NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC1A5	SLC1A5	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	117	0.8550481200218201	0.0079668695	No	
row_1	WLS	WLS	null	null	175	0.7832791805267334	0.01889676	No	
row_2	HK2	HK2	HK2	hexokinase 2	336	0.6869287490844727	0.020520136	No	
row_3	ST3GAL4	ST3GAL4	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	351	0.6794371008872986	0.03256621	No	
row_4	CA2	CA2	CA2	carbonic anhydrase II	370	0.6727817058563232	0.04419486	No	
row_5	ARL4A	ARL4A	ARL4A	ADP-ribosylation factor-like 4A	476	0.6277233362197876	0.048660863	No	
row_6	CD44	CD44	CD44	CD44 molecule (Indian blood group)	495	0.6234831213951111	0.05934196	No	
row_7	ANXA4	ANXA4	ANXA4	annexin A4	647	0.5747182965278625	0.059459932	No	
row_8	ITGAE	ITGAE	ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	710	0.55907142162323	0.0657185	No	
row_9	CDCP1	CDCP1	CDCP1	CUB domain containing protein 1	723	0.5566428303718567	0.07554912	No	
row_10	NCS1	NCS1	null	null	865	0.5239163041114807	0.07541438	No	
row_11	PRNP	PRNP	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	884	0.5202678442001343	0.0841116	No	
row_12	XBP1	XBP1	XBP1	X-box binding protein 1	895	0.5183976292610168	0.09335186	No	
row_13	ITGA6	ITGA6	ITGA6	integrin, alpha 6	910	0.5156183242797852	0.10224921	No	
row_14	MYO1C	MYO1C	MYO1C	myosin IC	944	0.5094425082206726	0.109652735	No	
row_15	HOPX	HOPX	null	null	995	0.49881047010421753	0.11562154	No	
row_16	MXD1	MXD1	MXD1	MAX dimerization protein 1	1046	0.48885589838027954	0.121399	No	
row_17	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	1047	0.48869308829307556	0.13079207	No	
