NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	IFI27	IFI27	interferon, alpha-inducible protein 27	20	1.1518388986587524	0.021453086	Yes	
row_1	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	90	0.9005080461502075	0.03435928	Yes	
row_2	PLA2G4A	PLA2G4A	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	101	0.8787811994552612	0.051107604	Yes	
row_3	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	217	0.7496535181999207	0.057682	Yes	
row_4	RTP4	RTP4	RTP4	receptor transporter protein 4	243	0.7317869067192078	0.070421	Yes	
row_5	NAMPT	NAMPT	null	null	257	0.7249310612678528	0.08389301	Yes	
row_6	TDRD7	TDRD7	TDRD7	tudor domain containing 7	398	0.6592883467674255	0.086859606	Yes	
row_7	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	414	0.6526587009429932	0.098749734	Yes	
row_8	BATF2	BATF2	BATF2	basic leucine zipper transcription factor, ATF-like 2	459	0.6346276998519897	0.108180515	Yes	
row_9	ARL4A	ARL4A	ARL4A	ADP-ribosylation factor-like 4A	476	0.6277233362197876	0.11950242	Yes	
row_10	MTHFD2	MTHFD2	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	482	0.6263752579689026	0.13159437	Yes	
row_11	ST3GAL5	ST3GAL5	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	517	0.6154261231422424	0.14136781	Yes	
row_12	BPGM	BPGM	BPGM	2,3-bisphosphoglycerate mutase	546	0.6054030060768127	0.1513766	Yes	
row_13	FAS	FAS	FAS	Fas (TNF receptor superfamily, member 6)	768	0.5452328324317932	0.14620757	Yes	
row_14	RIPK2	RIPK2	RIPK2	receptor-interacting serine-threonine kinase 2	966	0.5055227875709534	0.14198762	Yes	
row_15	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	1047	0.48869308829307556	0.14590886	Yes	
row_16	SPPL2A	SPPL2A	SPPL2A	-	1141	0.4730291962623596	0.14857689	Yes	
row_17	CASP4	CASP4	CASP4	caspase 4, apoptosis-related cysteine peptidase	1413	0.43388956785202026	0.1375719	Yes	
row_18	ARID5B	ARID5B	ARID5B	AT rich interactive domain 5B (MRF1-like)	1438	0.4300825893878937	0.14438458	Yes	
row_19	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	1485	0.423675537109375	0.14947613	Yes	
row_20	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	1502	0.42145222425460815	0.15669675	Yes	
row_21	LATS2	LATS2	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	1596	0.40748053789138794	0.15806147	Yes	
row_22	IFITM3	IFITM3	IFITM3	interferon induced transmembrane protein 3 (1-8U)	1710	0.39035099744796753	0.15763678	Yes	
row_23	AUTS2	AUTS2	AUTS2	autism susceptibility candidate 2	1744	0.38569650053977966	0.16291493	Yes	
row_24	LY6E	LY6E	LY6E	lymphocyte antigen 6 complex, locus E	1809	0.3790154457092285	0.16581453	Yes	
row_25	OASL	OASL	OASL	2'-5'-oligoadenylate synthetase-like	1840	0.3743618428707123	0.17108467	Yes	
row_26	CASP1	CASP1	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1857	0.37272557616233826	0.17733647	Yes	
row_27	BST2	BST2	BST2	bone marrow stromal cell antigen 2	1878	0.37078970670700073	0.18326	Yes	
row_28	TNFAIP6	TNFAIP6	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	1931	0.3646553158760071	0.1867434	Yes	
row_29	LGALS3BP	LGALS3BP	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein	1935	0.36414533853530884	0.19376634	Yes	
row_30	STAT1	STAT1	STAT1	signal transducer and activator of transcription 1, 91kDa	2026	0.35424119234085083	0.19428985	Yes	
row_31	CFB	CFB	CFB	complement factor B	2051	0.3517717719078064	0.19954547	Yes	
row_32	PLSCR1	PLSCR1	PLSCR1	phospholipid scramblase 1	2193	0.33649197220802307	0.1960215	Yes	
row_33	IFIH1	IFIH1	IFIH1	interferon induced with helicase C domain 1	2249	0.32997825741767883	0.19859809	Yes	
row_34	APOL6	APOL6	APOL6	apolipoprotein L, 6	2305	0.3236531615257263	0.20104891	Yes	
row_35	FPR1	FPR1	FPR1	formyl peptide receptor 1	2371	0.31614482402801514	0.202626	Yes	
row_36	LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	2440	0.30822911858558655	0.20382841	Yes	
row_37	SRI	SRI	SRI	sorcin	2475	0.30495965480804443	0.20742884	Yes	
row_38	PSMA3	PSMA3	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	2532	0.2992117702960968	0.20932126	Yes	
row_39	SLAMF7	SLAMF7	SLAMF7	SLAM family member 7	2628	0.28871870040893555	0.20817977	Yes	
row_40	FGL2	FGL2	FGL2	fibrinogen-like 2	2787	0.274181067943573	0.20218533	Yes	
row_41	NMI	NMI	NMI	N-myc (and STAT) interactor	2789	0.27386555075645447	0.20755814	Yes	
row_42	IFNAR2	IFNAR2	IFNAR2	interferon (alpha, beta and omega) receptor 2	2871	0.2662685811519623	0.20698448	Yes	
row_43	PFKP	PFKP	PFKP	phosphofructokinase, platelet	2907	0.2639251947402954	0.20969659	Yes	
row_44	WARS	WARS	WARS	tryptophanyl-tRNA synthetase	3035	0.2530284523963928	0.2055273	Yes	
row_45	EIF2AK2	EIF2AK2	EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	3072	0.2503264844417572	0.20789659	Yes	
row_46	DDX60	DDX60	null	null	3138	0.24416954815387726	0.20804262	Yes	
row_47	CD38	CD38	CD38	CD38 molecule	3167	0.2410254329442978	0.21080652	Yes	
row_48	TRIM21	TRIM21	TRIM21	tripartite motif-containing 21	3375	0.22404344379901886	0.2002655	No	
row_49	STAT3	STAT3	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	3434	0.2187449187040329	0.20041311	No	
row_50	EIF4E3	EIF4E3	EIF4E3	eukaryotic translation initiation factor 4E member 3	3456	0.21650077402591705	0.20319648	No	
