NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGSF6	IGSF6	IGSF6	immunoglobulin superfamily, member 6	8	0.5786038637161255	0.0172393	Yes	
row_1	PRF1	PRF1	PRF1	perforin 1 (pore forming protein)	22	0.54366534948349	0.033041388	Yes	
row_2	CTSS	CTSS	CTSS	cathepsin S	27	0.5299922823905945	0.049072813	Yes	
row_3	CCL4	CCL4	CCL4	chemokine (C-C motif) ligand 4	42	0.511965811252594	0.06382649	Yes	
row_4	DEGS1	DEGS1	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	52	0.4986501634120941	0.078531444	Yes	
row_5	GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	59	0.49081316590309143	0.09321186	Yes	
row_6	CD8A	CD8A	CD8A	CD8a molecule	61	0.49010199308395386	0.10823171	Yes	
row_7	STAT1	STAT1	STAT1	signal transducer and activator of transcription 1, 91kDa	75	0.48062998056411743	0.122092694	Yes	
row_8	ICAM1	ICAM1	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	78	0.4791254699230194	0.13670227	Yes	
row_9	CCR5	CCR5	CCR5	chemokine (C-C motif) receptor 5	85	0.47314417362213135	0.15083858	Yes	
row_10	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	91	0.4624653458595276	0.16471833	Yes	
row_11	CCR1	CCR1	CCR1	chemokine (C-C motif) receptor 1	102	0.4562230408191681	0.17804453	Yes	
row_12	HLA-DQA1	HLA-DQA1	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	125	0.4373939335346222	0.18992373	Yes	
row_13	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	130	0.4353519380092621	0.20304082	Yes	
row_14	GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	150	0.42475828528404236	0.21474773	Yes	
row_15	IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	157	0.42139577865600586	0.22729051	Yes	
row_16	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	158	0.42124396562576294	0.24026223	Yes	
row_17	TLR3	TLR3	TLR3	toll-like receptor 3	175	0.41643303632736206	0.25192955	Yes	
row_18	HLA-DMB	HLA-DMB	HLA-DMB	major histocompatibility complex, class II, DM beta	178	0.41500091552734375	0.26456448	Yes	
