NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDCBP	SDCBP	SDCBP	syndecan binding protein (syntenin)	82	0.4744197726249695	0.015595944	No	
row_1	GTF2B	GTF2B	GTF2B	general transcription factor IIB	441	0.33807164430618286	0.005063054	No	
row_2	VPS28	VPS28	VPS28	vacuolar protein sorting 28 homolog (S. cerevisiae)	646	0.29378822445869446	0.0036492958	No	
row_3	RRM2B	RRM2B	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)	804	0.26726585626602173	0.004428596	No	
row_4	POLA1	POLA1	POLA1	polymerase (DNA directed), alpha 1	1096	0.22930650413036346	-0.006196846	No	
row_5	NUDT21	NUDT21	NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	1287	0.2064293771982193	-0.010561852	No	
row_6	POLR2K	POLR2K	POLR2K	polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa	1296	0.20540101826190948	-0.0018222687	No	
row_7	TMED2	TMED2	TMED2	transmembrane emp24 domain trafficking protein 2	1563	0.1810472011566162	-0.0128304195	No	
row_8	VPS37D	VPS37D	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	1613	0.17636536061763763	-0.00837063	No	
row_9	STX3	STX3	STX3	syntaxin 3	1666	0.17230254411697388	-0.004311922	No	
row_10	APRT	APRT	APRT	adenine phosphoribosyltransferase	1701	0.1699678748846054	9.415495E-4	No	
row_11	ZNRD1	ZNRD1	ZNRD1	zinc ribbon domain containing 1	1994	0.14916157722473145	-0.013391786	No	
row_12	AK1	AK1	AK1	adenylate kinase 1	2080	0.14303947985172272	-0.013045112	No	
row_13	ARL6IP1	ARL6IP1	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	2095	0.14173352718353271	-0.00762725	No	
row_14	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	2184	0.13473603129386902	-0.007874026	No	
row_15	DDB2	DDB2	DDB2	damage-specific DNA binding protein 2, 48kDa	2469	0.11541270464658737	-0.023160243	No	
row_16	BCAM	BCAM	BCAM	basal cell adhesion molecule (Lutheran blood group)	2491	0.11378780752420425	-0.01951591	No	
row_17	GUK1	GUK1	GUK1	guanylate kinase 1	2568	0.10939677059650421	-0.02004504	No	
row_18	HPRT1	HPRT1	HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	2622	0.10619635134935379	-0.019057384	No	
row_19	BRF2	BRF2	BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	2641	0.10501545667648315	-0.015594213	No	
row_20	ADA	ADA	ADA	adenosine deaminase	2648	0.10475076735019684	-0.011275934	No	
row_21	BOLA2	BOLA2	BOLA2	bolA homolog 2 (E. coli)	2670	0.10326603055000305	-0.008108901	No	
row_22	TAF10	TAF10	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	2679	0.10289115458726883	-0.0040194993	No	
row_23	POLR2G	POLR2G	POLR2G	polymerase (RNA) II (DNA directed) polypeptide G	2695	0.1017363891005516	-4.882987E-4	No	
row_24	TSG101	TSG101	TSG101	tumor susceptibility gene 101	2817	0.09401626884937286	-0.004966821	No	
row_25	NME4	NME4	NME4	non-metastatic cells 4, protein expressed in	2842	0.09275682270526886	-0.0024932986	No	
row_26	GTF2H3	GTF2H3	GTF2H3	general transcription factor IIH, polypeptide 3, 34kDa	2849	0.09238871186971664	0.001264197	No	
row_27	COX17	COX17	COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	2866	0.09155701100826263	0.0042613684	No	
row_28	BCAP31	BCAP31	BCAP31	B-cell receptor-associated protein 31	3120	0.07714279741048813	-0.010520851	No	
row_29	DCTN4	DCTN4	DCTN4	dynactin 4 (p62)	3158	0.07542656362056732	-0.0097728595	No	
row_30	NME1	NME1	NME1	non-metastatic cells 1, protein (NM23A) expressed in	3290	0.06802809238433838	-0.016152887	No	
row_31	RALA	RALA	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	3345	0.06469933688640594	-0.01711993	No	
row_32	POLH	POLH	POLH	polymerase (DNA directed), eta	3367	0.06390418112277985	-0.015738478	No	
row_33	RPA3	RPA3	RPA3	replication protein A3, 14kDa	3386	0.06308845430612564	-0.014177252	No	
row_34	RAD51	RAD51	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	3387	0.06305103749036789	-0.011317051	No	
row_35	GTF2A2	GTF2A2	GTF2A2	general transcription factor IIA, 2, 12kDa	3548	0.05469498038291931	-0.020397438	No	
row_36	TAF12	TAF12	TAF12	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	3674	0.04914253577589989	-0.027200617	No	
row_37	ZNF707	ZNF707	ZNF707	zinc finger protein 707	3949	0.03570888563990593	-0.045379866	No	
row_38	MPG	MPG	MPG	N-methylpurine-DNA glycosylase	4024	0.03267093375325203	-0.04924501	No	
row_39	CDA	CDA	CDA	cytidine deaminase	4200	0.02636759728193283	-0.060694315	No	
row_40	PRIM1	PRIM1	PRIM1	primase, polypeptide 1, 49kDa	4264	0.02367042377591133	-0.0641729	No	
row_41	ELL	ELL	ELL	elongation factor RNA polymerase II	4528	0.013206829316914082	-0.082578056	No	
row_42	GTF2H1	GTF2H1	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	4709	0.006134170573204756	-0.095306516	No	
