NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH3B1	ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	28	0.529233455657959	0.01996289	Yes	
row_1	ANXA9	ANXA9	ANXA9	annexin A9	39	0.51557457447052	0.04065938	Yes	
row_2	SLC2A1	SLC2A1	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	174	0.4169597327709198	0.048296187	Yes	
row_3	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	249	0.38998645544052124	0.059149228	Yes	
row_4	RAPGEFL1	RAPGEFL1	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	254	0.3888302743434906	0.07501387	Yes	
row_5	CD44	CD44	CD44	CD44 molecule (Indian blood group)	261	0.38684409856796265	0.09065144	Yes	
row_6	WWC1	WWC1	WWC1	WW, C2 and coiled-coil domain containing 1	294	0.37417346239089966	0.10388331	Yes	
row_7	FAM63A	FAM63A	FAM63A	family with sequence similarity 63, member A	438	0.33919060230255127	0.10763872	Yes	
row_8	AQP3	AQP3	AQP3	aquaporin 3 (Gill blood group)	465	0.3323734998703003	0.119567715	Yes	
row_9	CHPT1	CHPT1	CHPT1	choline phosphotransferase 1	495	0.32537785172462463	0.13098925	Yes	
row_10	KCNK5	KCNK5	KCNK5	potassium channel, subfamily K, member 5	735	0.27788445353507996	0.12525879	Yes	
row_11	BLVRB	BLVRB	BLVRB	biliverdin reductase B (flavin reductase (NADPH))	745	0.2766668200492859	0.13610226	Yes	
row_12	TGM2	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	760	0.2738126814365387	0.14646575	Yes	
row_13	KRT18	KRT18	KRT18	keratin 18	778	0.270161509513855	0.1564607	Yes	
row_14	DHRS3	DHRS3	DHRS3	dehydrogenase/reductase (SDR family) member 3	943	0.24787774682044983	0.15490466	Yes	
row_15	KAZN	KAZN	null	null	1022	0.23879729211330414	0.15918751	Yes	
row_16	TOB1	TOB1	TOB1	transducer of ERBB2, 1	1023	0.23874983191490173	0.16910626	Yes	
row_17	PPIF	PPIF	PPIF	peptidylprolyl isomerase F (cyclophilin F)	1118	0.22648954391479492	0.1717213	Yes	
row_18	GLA	GLA	GLA	galactosidase, alpha	1246	0.2116742730140686	0.17133558	Yes	
row_19	ZNF185	ZNF185	ZNF185	zinc finger protein 185 (LIM domain)	1275	0.2080449014902115	0.17795485	Yes	
row_20	AFF1	AFF1	AFF1	AF4/FMR2 family, member 1	1478	0.1895284801721573	0.17122807	Yes	
row_21	RHOBTB3	RHOBTB3	RHOBTB3	Rho-related BTB domain containing 3	1546	0.18286648392677307	0.17398237	Yes	
row_22	PLA2G16	PLA2G16	null	null	1552	0.18219874799251556	0.18119033	Yes	
row_23	XBP1	XBP1	XBP1	X-box binding protein 1	1790	0.16376808285713196	0.17086352	No	
row_24	ADCY9	ADCY9	ADCY9	adenylate cyclase 9	2016	0.1477556824684143	0.16073887	No	
row_25	INPP5F	INPP5F	INPP5F	inositol polyphosphate-5-phosphatase F	2124	0.139067143201828	0.15878233	No	
row_26	FRK	FRK	FRK	fyn-related kinase	2140	0.1381535828113556	0.16343765	No	
row_27	JAK2	JAK2	JAK2	Janus kinase 2 (a protein tyrosine kinase)	2325	0.12487369030714035	0.15532586	No	
row_28	MLPH	MLPH	MLPH	melanophilin	2367	0.12227937579154968	0.1574424	No	
row_29	TMEM164	TMEM164	TMEM164	transmembrane protein 164	2400	0.12071598321199417	0.16014451	No	
row_30	FDFT1	FDFT1	FDFT1	farnesyl-diphosphate farnesyltransferase 1	2549	0.11065423488616943	0.15404408	No	
row_31	SLC22A5	SLC22A5	SLC22A5	solute carrier family 22 (organic cation transporter), member 5	2567	0.10946609824895859	0.15736303	No	
row_32	CISH	CISH	CISH	cytokine inducible SH2-containing protein	2618	0.10639898478984833	0.1581693	No	
row_33	UGCG	UGCG	UGCG	UDP-glucose ceramide glucosyltransferase	2735	0.09945573657751083	0.15391661	No	
row_34	NRIP1	NRIP1	NRIP1	nuclear receptor interacting protein 1	2876	0.09095394611358643	0.14757597	No	
row_35	KLF4	KLF4	KLF4	Kruppel-like factor 4 (gut)	2973	0.08520858734846115	0.144177	No	
row_36	IL17RB	IL17RB	IL17RB	interleukin 17 receptor B	3068	0.0795917958021164	0.14068925	No	
row_37	PEX11A	PEX11A	PEX11A	peroxisomal biogenesis factor 11A	3160	0.07525698840618134	0.13723825	No	
row_38	CELSR2	CELSR2	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	3254	0.07036197930574417	0.13343932	No	
row_39	NBL1	NBL1	NBL1	neuroblastoma, suppression of tumorigenicity 1	3394	0.06258757412433624	0.1259925	No	
row_40	ELOVL5	ELOVL5	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	3401	0.062380239367485046	0.12815037	No	
row_41	GJA1	GJA1	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)	3447	0.059456903487443924	0.12736787	No	
row_42	ABHD2	ABHD2	ABHD2	abhydrolase domain containing 2	3572	0.05373198539018631	0.12063736	No	
row_43	FLNB	FLNB	FLNB	filamin B, beta (actin binding protein 278)	3575	0.05365654453635216	0.12272193	No	
row_44	TUBB2B	TUBB2B	TUBB2B	tubulin, beta 2B	3865	0.03938551992177963	0.10346913	No	
row_45	ITPK1	ITPK1	ITPK1	inositol 1,3,4-triphosphate 5/6 kinase	4029	0.03252580761909485	0.09303869	No	
row_46	TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	4151	0.027693847194314003	0.08544328	No	
row_47	FAM134B	FAM134B	null	null	4169	0.027171125635504723	0.08534332	No	
row_48	MREG	MREG	null	null	4224	0.025507090613245964	0.08249986	No	
row_49	MYBL1	MYBL1	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	4268	0.02356128953397274	0.08037064	No	
row_50	B4GALT1	B4GALT1	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	4342	0.020153582096099854	0.075931445	No	
row_51	MYOF	MYOF	null	null	4761	0.0038177885580807924	0.045876823	No	
row_52	SLC26A2	SLC26A2	SLC26A2	solute carrier family 26 (sulfate transporter), member 2	4875	-0.0015791163314133883	0.037774738	No	
row_53	SLC19A2	SLC19A2	SLC19A2	solute carrier family 19 (thiamine transporter), member 2	4891	-0.002417325507849455	0.036790956	No	
row_54	RPS6KA2	RPS6KA2	RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	4903	-0.0028577593620866537	0.036114596	No	
row_55	AMFR	AMFR	AMFR	autocrine motility factor receptor	4942	-0.004469893407076597	0.033553638	No	
row_56	KLF10	KLF10	KLF10	Kruppel-like factor 10	5064	-0.009398669935762882	0.025198167	No	
row_57	SEC14L2	SEC14L2	SEC14L2	SEC14-like 2 (S. cerevisiae)	5226	-0.01563820242881775	0.014210697	No	
row_58	NADSYN1	NADSYN1	NADSYN1	NAD synthetase 1	5450	-0.023427220061421394	-9.3457033E-4	No	
row_59	SLC9A3R1	SLC9A3R1	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	5490	-0.024734100326895714	-0.0027259418	No	
row_60	SVIL	SVIL	SVIL	supervillin	5530	-0.026478692889213562	-0.004444835	No	
row_61	ELF1	ELF1	ELF1	E74-like factor 1 (ets domain transcription factor)	5681	-0.03181147947907448	-0.01396531	No	
row_62	RAB31	RAB31	RAB31	RAB31, member RAS oncogene family	5712	-0.03285154700279236	-0.014768922	No	
