NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GALM	GALM	GALM	galactose mutarotase (aldose 1-epimerase)	24	0.539897620677948	0.015126893	Yes	
row_1	FGL2	FGL2	FGL2	fibrinogen-like 2	48	0.503623366355896	0.029193122	Yes	
row_2	EOMES	EOMES	EOMES	eomesodermin homolog (Xenopus laevis)	65	0.4863991439342499	0.04322797	Yes	
row_3	CDCP1	CDCP1	CDCP1	CUB domain containing protein 1	99	0.4575078785419464	0.05513002	Yes	
row_4	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	124	0.4374224543571472	0.06705607	Yes	
row_5	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	134	0.4332081079483032	0.079936095	Yes	
row_6	PTCH1	PTCH1	PTCH1	patched homolog 1 (Drosophila)	142	0.42918771505355835	0.0928353	Yes	
row_7	SLC39A8	SLC39A8	SLC39A8	solute carrier family 39 (zinc transporter), member 8	169	0.418336421251297	0.10402044	Yes	
row_8	PIM1	PIM1	PIM1	pim-1 oncogene	182	0.4140949845314026	0.116086334	Yes	
row_9	CA2	CA2	CA2	carbonic anhydrase II	193	0.41077667474746704	0.12819333	Yes	
row_10	CD44	CD44	CD44	CD44 molecule (Indian blood group)	261	0.38684409856796265	0.13542745	Yes	
row_11	TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	304	0.3695337474346161	0.14393023	Yes	
row_12	TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	306	0.36926695704460144	0.15539202	Yes	
row_13	HOPX	HOPX	null	null	340	0.36197376251220703	0.16431004	Yes	
row_14	ANXA4	ANXA4	ANXA4	annexin A4	362	0.35634860396385193	0.17392084	Yes	
row_15	GBP4	GBP4	GBP4	guanylate binding protein 4	389	0.350115031003952	0.18297505	Yes	
row_16	IFITM3	IFITM3	IFITM3	interferon induced transmembrane protein 3 (1-8U)	390	0.34995999932289124	0.19390617	Yes	
row_17	CD86	CD86	CD86	CD86 molecule	437	0.3392130136489868	0.20117238	Yes	
row_18	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	450	0.3356620967388153	0.2107884	Yes	
row_19	MXD1	MXD1	MXD1	MAX dimerization protein 1	458	0.33354315161705017	0.22070011	Yes	
row_20	CYFIP1	CYFIP1	CYFIP1	cytoplasmic FMR1 interacting protein 1	494	0.32555949687957764	0.22833596	Yes	
row_21	GPR65	GPR65	GPR65	G protein-coupled receptor 65	503	0.32318565249443054	0.23785177	Yes	
row_22	CTSZ	CTSZ	CTSZ	cathepsin Z	521	0.3182835876941681	0.2465631	Yes	
row_23	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	674	0.28727248311042786	0.24453521	Yes	
row_24	TGM2	TGM2	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	760	0.2738126814365387	0.24693601	Yes	
row_25	CSF1	CSF1	CSF1	colony stimulating factor 1 (macrophage)	800	0.26747873425483704	0.25246817	Yes	
row_26	CAPG	CAPG	CAPG	capping protein (actin filament), gelsolin-like	828	0.2637135088443756	0.25875124	Yes	
row_27	AHR	AHR	AHR	aryl hydrocarbon receptor	832	0.26283714175224304	0.26674393	Yes	
row_28	DHRS3	DHRS3	DHRS3	dehydrogenase/reductase (SDR family) member 3	943	0.24787774682044983	0.26652527	Yes	
row_29	HK2	HK2	HK2	hexokinase 2	1032	0.237688809633255	0.2675806	Yes	
row_30	PRKCH	PRKCH	PRKCH	protein kinase C, eta	1138	0.22350406646728516	0.26696247	Yes	
row_31	IL10RA	IL10RA	IL10RA	interleukin 10 receptor, alpha	1253	0.2105121910572052	0.2652872	Yes	
row_32	TNFRSF1B	TNFRSF1B	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	1280	0.2074689120054245	0.2698858	Yes	
row_33	LRRC8C	LRRC8C	LRRC8C	leucine rich repeat containing 8 family, member C	1332	0.20218157768249512	0.27250993	Yes	
row_34	SMPDL3A	SMPDL3A	SMPDL3A	sphingomyelin phosphodiesterase, acid-like 3A	1584	0.1789855659008026	0.25993457	Yes	
row_35	FAM126B	FAM126B	FAM126B	family with sequence similarity 126, member B	1639	0.1746050864458084	0.26148018	Yes	
row_36	ARL4A	ARL4A	ARL4A	ADP-ribosylation factor-like 4A	1706	0.16961073875427246	0.2620013	Yes	
row_37	XBP1	XBP1	XBP1	X-box binding protein 1	1790	0.16376808285713196	0.26110956	Yes	
row_38	SLC1A5	SLC1A5	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	1935	0.15336307883262634	0.25547796	Yes	
row_39	POU2F1	POU2F1	POU2F1	POU domain, class 2, transcription factor 1	1971	0.1505754292011261	0.25764814	Yes	
row_40	PHTF2	PHTF2	PHTF2	putative homeodomain transcription factor 2	2000	0.14891360700130463	0.260273	Yes	
row_41	SH3BGRL2	SH3BGRL2	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	2023	0.14729717373847961	0.26328164	Yes	
row_42	IGF2R	IGF2R	IGF2R	insulin-like growth factor 2 receptor	2065	0.1440422683954239	0.2648135	Yes	
row_43	CDC42SE2	CDC42SE2	CDC42SE2	CDC42 small effector 2	2069	0.14370732009410858	0.2690851	Yes	
row_44	AHNAK	AHNAK	AHNAK	AHNAK nucleoprotein (desmoyokin)	2099	0.14114080369472504	0.27139485	Yes	
row_45	P4HA1	P4HA1	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	2114	0.1398729830980301	0.27475056	Yes	
row_46	GPX4	GPX4	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	2184	0.13473603129386902	0.27396524	Yes	
row_47	METTL20	METTL20	null	null	2238	0.13078388571739197	0.27421448	Yes	
row_48	SERPINB6	SERPINB6	SERPINB6	serpin peptidase inhibitor, clade B (ovalbumin), member 6	2251	0.12965673208236694	0.27739584	Yes	
row_49	SPRY4	SPRY4	SPRY4	sprouty homolog 4 (Drosophila)	2365	0.12236430495977402	0.2730396	No	
row_50	TTC39B	TTC39B	null	null	2476	0.1150217205286026	0.26867115	No	
row_51	P2RX4	P2RX4	P2RX4	purinergic receptor P2X, ligand-gated ion channel, 4	2477	0.11490979790687561	0.2722604	No	
row_52	MYO1E	MYO1E	MYO1E	myosin IE	2504	0.11313045769929886	0.2739123	No	
row_53	BATF3	BATF3	null	null	2557	0.11016587913036346	0.2735899	No	
row_54	SOCS1	SOCS1	SOCS1	suppressor of cytokine signaling 1	2562	0.10955959558486938	0.27672255	No	
row_55	CISH	CISH	CISH	cytokine inducible SH2-containing protein	2618	0.10639898478984833	0.27606535	No	
row_56	PLSCR1	PLSCR1	PLSCR1	phospholipid scramblase 1	2652	0.10447975993156433	0.27694044	No	
row_57	CCND2	CCND2	CCND2	cyclin D2	2786	0.0959734246134758	0.27031237	No	
row_58	GSTO1	GSTO1	GSTO1	glutathione S-transferase omega 1	2808	0.09427949041128159	0.27173737	No	
row_59	ST3GAL4	ST3GAL4	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	3182	0.07394759356975555	0.24705142	No	
row_60	GLIPR2	GLIPR2	null	null	3183	0.0738711804151535	0.2493588	No	
row_61	ECM1	ECM1	ECM1	extracellular matrix protein 1	3193	0.07340572774410248	0.2510003	No	
row_62	SYNGR2	SYNGR2	SYNGR2	synaptogyrin 2	3292	0.06784497946500778	0.24602674	No	
row_63	RNH1	RNH1	RNH1	ribonuclease/angiogenin inhibitor 1	3427	0.06105431169271469	0.2382356	No	
row_64	IFNGR1	IFNGR1	IFNGR1	interferon gamma receptor 1	3665	0.04961826279759407	0.22263265	No	
row_65	IL3RA	IL3RA	IL3RA	interleukin 3 receptor, alpha (low affinity)	4020	0.03278333321213722	0.19803603	No	
row_66	PRNP	PRNP	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	4028	0.03253595158457756	0.19854568	No	
row_67	AKAP2	AKAP2	AKAP2	A kinase (PRKA) anchor protein 2	4067	0.030822256579995155	0.1967582	No	
row_68	TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	4151	0.027693847194314003	0.19161612	No	
row_69	ITGA6	ITGA6	ITGA6	integrin, alpha 6	4412	0.017418285831809044	0.1733428	No	
row_70	CKAP4	CKAP4	CKAP4	cytoskeleton-associated protein 4	4440	0.016381753608584404	0.17190036	No	
row_71	PLIN2	PLIN2	null	null	4535	0.012995190918445587	0.16550307	No	
row_72	PHLDA1	PHLDA1	PHLDA1	pleckstrin homology-like domain, family A, member 1	4543	0.012719806283712387	0.16539375	No	
row_73	AHCY	AHCY	AHCY	S-adenosylhomocysteine hydrolase	4653	0.008574876002967358	0.15777275	No	
row_74	MAP3K8	MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	4659	0.008219683542847633	0.15766762	No	
row_75	NFKBIZ	NFKBIZ	NFKBIZ	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	4947	-0.004712371155619621	0.1370433	No	
row_76	S100A1	S100A1	S100A1	S100 calcium binding protein A1	5132	-0.011823683977127075	0.12409569	No	
