NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	IFI27	IFI27	interferon, alpha-inducible protein 27	0	0.7011176943778992	0.035417635	Yes	
row_1	BATF2	BATF2	BATF2	basic leucine zipper transcription factor, ATF-like 2	3	0.613772988319397	0.06627897	Yes	
row_2	CCRL2	CCRL2	CCRL2	chemokine (C-C motif) receptor-like 2	9	0.5783092975616455	0.09513283	Yes	
row_3	IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	89	0.4644567370414734	0.11290735	Yes	
row_4	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	91	0.4624653458595276	0.13619724	Yes	
row_5	IRF1	IRF1	IRF1	interferon regulatory factor 1	123	0.43793749809265137	0.15608808	Yes	
row_6	CXCL10	CXCL10	CXCL10	chemokine (C-X-C motif) ligand 10	134	0.4332081079483032	0.17725201	Yes	
row_7	GBP2	GBP2	GBP2	guanylate binding protein 2, interferon-inducible	150	0.42475828528404236	0.1976291	Yes	
row_8	LAP3	LAP3	LAP3	leucine aminopeptidase 3	163	0.4199296534061432	0.21797825	Yes	
row_9	TRIM21	TRIM21	TRIM21	tripartite motif-containing 21	199	0.40685489773750305	0.23601094	Yes	
row_10	B2M	B2M	B2M	beta-2-microglobulin	229	0.39664533734321594	0.2539599	Yes	
row_11	NMI	NMI	NMI	N-myc (and STAT) interactor	235	0.39470672607421875	0.2735389	Yes	
row_12	PSMB8	PSMB8	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	248	0.38999634981155396	0.29237592	Yes	
row_13	PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	299	0.3721367120742798	0.3075748	Yes	
row_14	WARS	WARS	WARS	tryptophanyl-tRNA synthetase	332	0.3633670508861542	0.32362667	Yes	
row_15	PSME2	PSME2	PSME2	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	366	0.3557576835155487	0.3392221	Yes	
row_16	GBP4	GBP4	GBP4	guanylate binding protein 4	389	0.350115031003952	0.35532454	Yes	
row_17	IFITM3	IFITM3	IFITM3	interferon induced transmembrane protein 3 (1-8U)	390	0.34995999932289124	0.3730031	Yes	
row_18	RTP4	RTP4	RTP4	receptor transporter protein 4	418	0.3425265848636627	0.38836217	Yes	
row_19	GMPR	GMPR	GMPR	guanosine monophosphate reductase	420	0.3421112895011902	0.40557224	Yes	
row_20	TRAFD1	TRAFD1	TRAFD1	TRAF-type zinc finger domain containing 1	432	0.3398333787918091	0.42194727	Yes	
row_21	PARP9	PARP9	PARP9	poly (ADP-ribose) polymerase family, member 9	607	0.3002678453922272	0.4245877	Yes	
