NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB4	ITGB4	ITGB4	integrin, beta 4	62	0.48995116353034973	0.016289316	No	
row_1	IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	213	0.40323933959007263	0.0225533	No	
row_2	HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	249	0.38998645544052124	0.036554694	No	
row_3	DAPK2	DAPK2	DAPK2	death-associated protein kinase 2	591	0.3040194511413574	0.024830204	No	
row_4	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	604	0.3015402555465698	0.036743157	No	
row_5	MRAS	MRAS	MRAS	muscle RAS oncogene homolog	632	0.2960126996040344	0.047339376	No	
row_6	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	660	0.2914324998855591	0.05774149	No	
row_7	SCD	SCD	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	737	0.2776305377483368	0.06402257	No	
row_8	SOD3	SOD3	SOD3	superoxide dismutase 3, extracellular	841	0.26199784874916077	0.06769269	No	
row_9	AGL	AGL	AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	842	0.261944055557251	0.078793585	No	
row_10	HBEGF	HBEGF	HBEGF	heparin-binding EGF-like growth factor	995	0.2419964075088501	0.07807994	No	
row_11	ACSL1	ACSL1	ACSL1	acyl-CoA synthetase long-chain family member 1	1024	0.2387423813343048	0.08617694	No	
row_12	PTP4A3	PTP4A3	PTP4A3	protein tyrosine phosphatase type IVA, member 3	1078	0.23217150568962097	0.09219133	No	
row_13	SLC6A8	SLC6A8	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	1496	0.187385693192482	0.070039436	No	
row_14	FOXO4	FOXO4	null	null	1502	0.18669070303440094	0.077590354	No	
row_15	CDKN1A	CDKN1A	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1505	0.18631994724273682	0.08534206	No	
row_16	SPARC	SPARC	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1769	0.16489633917808533	0.0733506	No	
row_17	GPX3	GPX3	GPX3	glutathione peroxidase 3 (plasma)	1771	0.1648353636264801	0.08026398	No	
row_18	ADCY9	ADCY9	ADCY9	adenylate cyclase 9	2016	0.1477556824684143	0.068917274	No	
row_19	FABP3	FABP3	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	2040	0.1461372822523117	0.073450595	No	
row_20	AK1	AK1	AK1	adenylate kinase 1	2080	0.14303947985172272	0.07669799	No	
row_21	GJA5	GJA5	GJA5	gap junction protein, alpha 5, 40kDa (connexin 40)	2292	0.12714412808418274	0.06685926	No	
row_22	LARGE	LARGE	LARGE	like-glycosyltransferase	2523	0.11209007352590561	0.055011403	No	
row_23	COX7A1	COX7A1	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	2631	0.10557921230792999	0.051764004	No	
row_24	NQO1	NQO1	NQO1	NAD(P)H dehydrogenase, quinone 1	3099	0.07812333852052689	0.021373406	No	
row_25	PC	PC	PC	pyruvate carboxylase	3283	0.06846652925014496	0.011068621	No	
row_26	SYNGR2	SYNGR2	SYNGR2	synaptogyrin 2	3292	0.06784497946500778	0.013366491	No	
row_27	CRYAB	CRYAB	CRYAB	crystallin, alpha B	3300	0.06723789125680923	0.015710797	No	
row_28	CRAT	CRAT	CRAT	carnitine acetyltransferase	3419	0.06164348125457764	0.0098076295	No	
row_29	OCEL1	OCEL1	OCEL1	occludin/ELL domain containing 1	3787	0.04291059821844101	-0.014858675	No	
row_30	PFKM	PFKM	PFKM	phosphofructokinase, muscle	3944	0.03586121276021004	-0.024596766	No	
row_31	ATP6AP1	ATP6AP1	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	3978	0.03458188846707344	-0.02551269	No	
row_32	PRNP	PRNP	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	4028	0.03253595158457756	-0.027669972	No	
row_33	RIT1	RIT1	RIT1	Ras-like without CAAX 1	4092	0.029776431620121002	-0.030954517	No	
row_34	BDKRB2	BDKRB2	BDKRB2	bradykinin receptor B2	4157	0.027559110894799232	-0.034405198	No	
row_35	IFRD1	IFRD1	IFRD1	interferon-related developmental regulator 1	4305	0.021895401179790497	-0.04408565	No	
row_36	SPTAN1	SPTAN1	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	4523	0.013317451812326908	-0.05918123	No	
row_37	CFD	CFD	CFD	complement factor D (adipsin)	4738	0.004847502335906029	-0.07441925	No	
row_38	MEF2A	MEF2A	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	4895	-0.0024526589550077915	-0.08557316	No	
