NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	44	0.5079469084739685	0.013641287	Yes	
row_1	TIMM8B	TIMM8B	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B (yeast)	116	0.44429996609687805	0.02321366	Yes	
row_2	ATP6V1H	ATP6V1H	ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	138	0.4300898313522339	0.035943788	Yes	
row_3	PDHX	PDHX	PDHX	pyruvate dehydrogenase complex, component X	314	0.3684734106063843	0.035455372	Yes	
row_4	ATP6V1C1	ATP6V1C1	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	472	0.3311513662338257	0.035036355	Yes	
row_5	SDHD	SDHD	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	535	0.31492435932159424	0.040974084	Yes	
row_6	ATP6V0C	ATP6V0C	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	610	0.3001857101917267	0.04555245	Yes	
row_7	COX5B	COX5B	COX5B	cytochrome c oxidase subunit Vb	613	0.29951295256614685	0.055333864	Yes	
row_8	ATP6V0E1	ATP6V0E1	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	649	0.2929947078227997	0.0625043	Yes	
row_9	IDH2	IDH2	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	670	0.28800779581069946	0.070598066	Yes	
row_10	ATP5G3	ATP5G3	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	837	0.262206494808197	0.06724089	Yes	
row_11	NDUFB3	NDUFB3	NDUFB3	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa	872	0.25791090726852417	0.073321134	Yes	
row_12	MDH2	MDH2	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	923	0.24982541799545288	0.077972226	Yes	
row_13	ATP6V0B	ATP6V0B	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	982	0.24310104548931122	0.081819855	Yes	
row_14	ACAA1	ACAA1	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	992	0.24224676191806793	0.08919531	Yes	
row_15	OAT	OAT	OAT	ornithine aminotransferase (gyrate atrophy)	993	0.24216873943805695	0.09722135	Yes	
row_16	ATP1B1	ATP1B1	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1087	0.2308950275182724	0.098124355	Yes	
row_17	COX8A	COX8A	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	1112	0.227281853556633	0.10391523	Yes	
row_18	RETSAT	RETSAT	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	1146	0.2228648066520691	0.10890654	Yes	
row_19	IDH1	IDH1	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	1209	0.21644771099090576	0.11158052	Yes	
