NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRA	RXRA	RXRA	retinoid X receptor, alpha	17	0.5598195791244507	0.015185388	Yes	
row_1	TNFSF9	TNFSF9	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	35	0.520248293876648	0.029210338	Yes	
row_2	NINJ1	NINJ1	NINJ1	ninjurin 1	50	0.5003999471664429	0.042870544	Yes	
row_3	ITGB4	ITGB4	ITGB4	integrin, beta 4	62	0.48995116353034973	0.05644165	Yes	
row_4	BAK1	BAK1	BAK1	BCL2-antagonist/killer 1	87	0.46921247243881226	0.0684629	Yes	
row_5	IFI30	IFI30	IFI30	interferon, gamma-inducible protein 30	89	0.4644567370414734	0.08201075	Yes	
row_6	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	91	0.4624653458595276	0.09550021	Yes	
row_7	VAMP8	VAMP8	VAMP8	vesicle-associated membrane protein 8 (endobrevin)	92	0.4624500572681427	0.10906165	Yes	
row_8	NDRG1	NDRG1	NDRG1	N-myc downstream regulated gene 1	124	0.4374224543571472	0.11964359	Yes	
row_9	CCNG1	CCNG1	CCNG1	cyclin G1	146	0.4262678623199463	0.1306228	Yes	
row_10	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	158	0.42124396562576294	0.14217906	Yes	
row_11	RAP2B	RAP2B	RAP2B	RAP2B, member of RAS oncogene family	211	0.403501033782959	0.15024506	Yes	
row_12	RNF19B	RNF19B	null	null	220	0.40007397532463074	0.1613978	Yes	
row_13	GM2A	GM2A	GM2A	GM2 ganglioside activator	255	0.3881933093070984	0.17031878	Yes	
row_14	FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	265	0.3842408061027527	0.18093477	Yes	
row_15	HIST3H2A	HIST3H2A	HIST3H2A	histone cluster 3, H2a	300	0.37092193961143494	0.18934926	Yes	
row_16	ST14	ST14	ST14	suppression of tumorigenicity 14 (colon carcinoma)	391	0.3498166501522064	0.19308834	Yes	
