NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAM10	ADAM10	ADAM10	ADAM metallopeptidase domain 10	222	0.48703673481941223	0.06049998	Yes	
row_1	HSPB1	HSPB1	HSPB1	heat shock 27kDa protein 1	380	0.4275453984737396	0.11632631	Yes	
row_2	LYPD3	LYPD3	LYPD3	LY6/PLAUR domain containing 3	807	0.33789095282554626	0.13879672	Yes	
row_3	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	843	0.3310222625732422	0.1882261	Yes	
row_4	IL2RB	IL2RB	IL2RB	interleukin 2 receptor, beta	1423	0.25391408801078796	0.18654922	Yes	
row_5	EFNA5	EFNA5	EFNA5	ephrin-A5	1678	0.22534511983394623	0.2036939	Yes	
row_6	ATP8B1	ATP8B1	ATP8B1	ATPase, Class I, type 8B, member 1	1746	0.21909283101558685	0.23326643	Yes	
row_7	CX3CL1	CX3CL1	CX3CL1	chemokine (C-X3-C motif) ligand 1	3760	0.08090898394584656	0.10161899	No	
row_8	IL2RG	IL2RG	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	4545	0.03840322047472	0.051427808	No	
row_9	AFAP1L2	AFAP1L2	null	null	5874	-0.021967383101582527	-0.04034984	No	
row_10	AIM1	AIM1	AIM1	absent in melanoma 1	6541	-0.05062301456928253	-0.080162466	No	
row_11	GSTM3	GSTM3	GSTM3	glutathione S-transferase M3 (brain)	6739	-0.059464506804943085	-0.0849581	No	
row_12	MAL	MAL	MAL	mal, T-cell differentiation protein	7334	-0.08245492726564407	-0.11461336	No	
row_13	SULF2	SULF2	SULF2	sulfatase 2	7449	-0.08764605224132538	-0.10903564	No	
row_14	PLAUR	PLAUR	PLAUR	plasminogen activator, urokinase receptor	7589	-0.09383128583431244	-0.104280055	No	
row_15	CROCC	CROCC	CROCC	ciliary rootlet coiled-coil, rootletin	7743	-0.099677674472332	-0.099611014	No	
row_16	B4GALT1	B4GALT1	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	7759	-0.10041645169258118	-0.08493074	No	
row_17	NCOA6	NCOA6	NCOA6	nuclear receptor coactivator 6	8100	-0.1153210997581482	-0.09121603	No	
row_18	ADIPOR2	ADIPOR2	ADIPOR2	adiponectin receptor 2	8510	-0.13142099976539612	-0.09992281	No	
row_19	BRCA1	BRCA1	BRCA1	breast cancer 1, early onset	8533	-0.13232631981372833	-0.08073766	No	
row_20	EPHB4	EPHB4	EPHB4	EPH receptor B4	10045	-0.1982918232679367	-0.15797116	No	
row_21	SHROOM2	SHROOM2	SHROOM2	shroom family member 2	10923	-0.24079979956150055	-0.18307386	No	
row_22	DCBLD2	DCBLD2	DCBLD2	discoidin, CUB and LCCL domain containing 2	11845	-0.29132816195487976	-0.20340344	No	
row_23	FLOT2	FLOT2	FLOT2	flotillin 2	11886	-0.2939257323741913	-0.16015323	No	
row_24	THY1	THY1	THY1	Thy-1 cell surface antigen	12448	-0.32870328426361084	-0.1488046	No	
row_25	GAS1	GAS1	GAS1	growth arrest-specific 1	12846	-0.3625425696372986	-0.12038679	No	
row_26	AKAP7	AKAP7	AKAP7	A kinase (PRKA) anchor protein 7	13048	-0.38053902983665466	-0.07509103	No	
row_27	TMEM8B	TMEM8B	null	null	13453	-0.4349886178970337	-0.03580799	No	
row_28	SRPX	SRPX	SRPX	sushi-repeat-containing protein, X-linked	13592	-0.46585342288017273	0.027391454	No	
