NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAP1	TAP1	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	21	0.702817440032959	0.022513425	Yes	
row_1	ERBB2	ERBB2	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	58	0.6230377554893494	0.041214567	Yes	
row_2	SQSTM1	SQSTM1	SQSTM1	sequestosome 1	116	0.5465714931488037	0.055782977	Yes	
row_3	GCH1	GCH1	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	137	0.5343700051307678	0.07260895	Yes	
row_4	PRF1	PRF1	PRF1	perforin 1 (pore forming protein)	158	0.5203572511672974	0.088955775	Yes	
row_5	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	164	0.5165464878082275	0.106256664	Yes	
row_6	SOD2	SOD2	SOD2	superoxide dismutase 2, mitochondrial	205	0.49479129910469055	0.12028349	Yes	
row_7	IRF1	IRF1	IRF1	interferon regulatory factor 1	227	0.4854297935962677	0.13536376	Yes	
row_8	IFITM3	IFITM3	IFITM3	interferon induced transmembrane protein 3 (1-8U)	255	0.47237542271614075	0.1495639	Yes	
row_9	F2R	F2R	F2R	coagulation factor II (thrombin) receptor	272	0.4638739824295044	0.16426854	Yes	
row_10	GNA15	GNA15	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	307	0.4511783719062805	0.17723785	Yes	
row_11	SOD1	SOD1	SOD1	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	358	0.4353806972503662	0.18851034	Yes	
row_12	HSPB1	HSPB1	HSPB1	heat shock 27kDa protein 1	380	0.4275453984737396	0.20161135	Yes	
row_13	CD38	CD38	CD38	CD38 molecule	392	0.42528480291366577	0.21535797	Yes	
row_14	TNFSF10	TNFSF10	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	518	0.3917463421821594	0.21971665	Yes	
row_15	IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	637	0.3659091293811798	0.2236979	Yes	
row_16	CD14	CD14	CD14	CD14 molecule	668	0.3600511848926544	0.23384045	Yes	
row_17	CD44	CD44	CD44	CD44 molecule (Indian blood group)	696	0.35456544160842896	0.24401231	Yes	
row_18	TOP2A	TOP2A	TOP2A	topoisomerase (DNA) II alpha 170kDa	785	0.3401084542274475	0.24928008	Yes	
row_19	FEZ1	FEZ1	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	836	0.33156540989875793	0.2570028	Yes	
row_20	GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	889	0.32335272431373596	0.2643001	Yes	
row_21	GSR	GSR	GSR	glutathione reductase	895	0.3221863806247711	0.2749552	Yes	
row_22	DNAJC3	DNAJC3	DNAJC3	DnaJ (Hsp40) homolog, subfamily C, member 3	1178	0.28253403306007385	0.26422992	Yes	
row_23	SAT1	SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	1225	0.2767174541950226	0.27036637	Yes	
row_24	RNASEL	RNASEL	RNASEL	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)	1331	0.2637825906276703	0.2717954	Yes	
row_25	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	1354	0.2611360251903534	0.27913404	Yes	
row_26	KRT18	KRT18	KRT18	keratin 18	1400	0.2557617127895355	0.28462625	Yes	
row_27	AIFM3	AIFM3	null	null	1511	0.24426111578941345	0.2850263	Yes	
row_28	CASP4	CASP4	CASP4	caspase 4, apoptosis-related cysteine peptidase	1617	0.23259294033050537	0.28538883	Yes	
row_29	CDC25B	CDC25B	CDC25B	cell division cycle 25B	1674	0.22595618665218353	0.2890667	Yes	
row_30	PTK2	PTK2	PTK2	PTK2 protein tyrosine kinase 2	1840	0.21005535125732422	0.28432116	Yes	
row_31	CFLAR	CFLAR	CFLAR	CASP8 and FADD-like apoptosis regulator	1934	0.20193591713905334	0.28450292	Yes	
row_32	BID	BID	BID	BH3 interacting domain death agonist	2049	0.19292092323303223	0.28285834	Yes	
