NAME	PROBE	DESCRIPTION<br>(from dataset)	GENE SYMBOL	GENE_TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C2	C2	C2	complement component 2	7	0.8388986587524414	0.025485277	Yes	
row_1	VCPIP1	VCPIP1	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	36	0.6598824262619019	0.043906163	Yes	
row_2	CTSS	CTSS	CTSS	cathepsin S	74	0.6039029359817505	0.05994209	Yes	
row_3	LAP3	LAP3	LAP3	leucine aminopeptidase 3	117	0.5462856888771057	0.073831454	Yes	
row_4	PLA2G7	PLA2G7	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	161	0.517716109752655	0.08676337	Yes	
row_5	CASP7	CASP7	CASP7	caspase 7, apoptosis-related cysteine peptidase	164	0.5165464878082275	0.10262276	Yes	
row_6	SERPINA1	SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	172	0.515080451965332	0.118075304	Yes	
row_7	IRF1	IRF1	IRF1	interferon regulatory factor 1	227	0.4854297935962677	0.12921177	Yes	
row_8	CCL5	CCL5	CCL5	chemokine (C-C motif) ligand 5	250	0.4743506610393524	0.1423181	Yes	
row_9	C1QA	C1QA	C1QA	complement component 1, q subcomponent, A chain	254	0.4728076159954071	0.15675007	Yes	
row_10	GZMA	GZMA	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	288	0.4587508738040924	0.16857794	Yes	
row_11	C1QC	C1QC	C1QC	complement component 1, q subcomponent, C chain	306	0.45177003741264343	0.1813461	Yes	
row_12	PSMB9	PSMB9	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	312	0.449770450592041	0.19491974	Yes	
row_13	LIPA	LIPA	LIPA	lipase A, lysosomal acid, cholesterol esterase (Wolman disease)	346	0.4383855164051056	0.20611665	Yes	
row_14	S100A9	S100A9	S100A9	S100 calcium binding protein A9	351	0.43706750869750977	0.219369	Yes	
row_15	CTSC	CTSC	CTSC	cathepsin C	395	0.4229153096675873	0.22936374	Yes	
row_16	FCER1G	FCER1G	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	404	0.4204690158367157	0.24181269	Yes	
row_17	SRC	SRC	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	413	0.4179607331752777	0.25418392	Yes	
row_18	PDP1	PDP1	null	null	477	0.401790976524353	0.26207846	Yes	
row_19	CA2	CA2	CA2	carbonic anhydrase II	499	0.3959590196609497	0.2728283	Yes	
row_20	C1S	C1S	C1S	complement component 1, s subcomponent	514	0.39234209060668945	0.28397208	Yes	
row_21	CFB	CFB	CFB	complement factor B	561	0.3812611997127533	0.29245943	Yes	
row_22	LCP2	LCP2	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	639	0.3656376898288727	0.29822183	Yes	
row_23	CD59	CD59	CD59	CD59 molecule, complement regulatory protein	662	0.3613291084766388	0.3078265	Yes	
row_24	RABIF	RABIF	RABIF	RAB interacting factor	758	0.344787061214447	0.31164175	Yes	
row_25	LYN	LYN	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	843	0.3310222625732422	0.31582567	Yes	
row_26	CTSH	CTSH	CTSH	cathepsin H	866	0.32719579339027405	0.32437277	Yes	
row_27	SERPING1	SERPING1	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	1066	0.2978847622871399	0.31921718	Yes	
row_28	CTSB	CTSB	CTSB	cathepsin B	1137	0.2886184751987457	0.32309934	Yes	
row_29	GZMB	GZMB	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	1167	0.2848384976387024	0.3298281	Yes	
row_30	PRCP	PRCP	PRCP	prolylcarboxypeptidase (angiotensinase C)	1176	0.28318318724632263	0.33802357	Yes	
row_31	KYNU	KYNU	KYNU	kynureninase (L-kynurenine hydrolase)	1201	0.27990689873695374	0.34496096	Yes	
row_32	PIM1	PIM1	PIM1	pim-1 oncogene	1215	0.27762138843536377	0.3526227	Yes	
row_33	CD36	CD36	CD36	CD36 molecule (thrombospondin receptor)	1217	0.27749940752983093	0.36114806	Yes	
row_34	CASP10	CASP10	CASP10	caspase 10, apoptosis-related cysteine peptidase	1295	0.268189936876297	0.36389127	Yes	
row_35	ANG	ANG	ANG	angiogenin, ribonuclease, RNase A family, 5	1347	0.2619917690753937	0.36832193	Yes	
row_36	CASP3	CASP3	CASP3	caspase 3, apoptosis-related cysteine peptidase	1354	0.2611360251903534	0.3759789	Yes	
row_37	PLEK	PLEK	PLEK	pleckstrin	1375	0.2583846151828766	0.3825386	Yes	
row_38	C1R	C1R	C1R	complement component 1, r subcomponent	1384	0.25749367475509644	0.38993815	Yes	
row_39	ATOX1	ATOX1	ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	1424	0.25369444489479065	0.39497912	Yes	
